split,case,patch_index,patch_kind,action_family,strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HEM_PA97.nii.gz,1,context,gamma,0.15,0.007986098527908325,0.007351089734584093,0.0016265080776065588
train,HEM_PA97.nii.gz,1,context,gamma,0.3,0.029458392411470413,0.025246640667319298,0.007649001199752092
train,HEM_PA97.nii.gz,1,context,contrast,-0.3,3.9921804604508074e-14,1.1390619647499989e-06,2.5594033559173113e-07
train,HEM_PA97.nii.gz,1,context,contrast,-0.15,3.225164979306079e-15,0.0,0.0
train,HEM_PA97.nii.gz,1,context,contrast,0.15,0.001799430581741035,0.0018661506474018097,0.0004566457646433264
train,HEM_PA97.nii.gz,1,context,contrast,0.3,0.006744855083525181,0.007413413375616074,0.0019686862360686064
train,HEM_PA97.nii.gz,2,foreground,gamma,-0.3,0.03944537416100502,0.3759978711605072,0.2126576006412506
train,HEM_PA97.nii.gz,2,foreground,gamma,-0.15,0.010000208392739296,0.05343378335237503,0.036109670996665955
train,HEM_PA97.nii.gz,2,foreground,gamma,0.15,0.00997169315814972,0.016589701175689697,0.009352314285933971
train,HEM_PA97.nii.gz,2,foreground,gamma,0.3,0.039095163345336914,0.04478560388088226,0.024721551686525345
train,HEM_PA97.nii.gz,2,foreground,contrast,-0.3,5.171727710797866e-14,1.010769324238936e-06,2.599340405140538e-07
train,HEM_PA97.nii.gz,2,foreground,contrast,-0.15,3.2418405169386743e-15,0.0,0.0
train,HEM_PA97.nii.gz,2,foreground,contrast,0.15,0.0017652271781116724,0.0038983002305030823,0.0023047826252877712
train,HEM_PA97.nii.gz,2,foreground,contrast,0.3,0.0064776879735291,0.013035580515861511,0.007593267597258091
train,HEM_PA97.nii.gz,3,context_fill,gamma,-0.3,0.0315803661942482,0.010147636756300926,0.0017629385692998767
train,HEM_PA97.nii.gz,3,context_fill,gamma,-0.15,0.006916830316185951,0.002660720143467188,0.0004707945045083761
train,HEM_PA97.nii.gz,3,context_fill,gamma,0.15,0.005435286555439234,0.0027390052564442158,0.0007418774184770882
train,HEM_PA97.nii.gz,3,context_fill,gamma,0.3,0.019560687243938446,0.008728978224098682,0.002048448659479618
train,HEM_PA97.nii.gz,3,context_fill,contrast,-0.3,4.262968084545356e-14,5.154304858479009e-07,1.6057575180639105e-07
train,HEM_PA97.nii.gz,3,context_fill,contrast,-0.15,3.54751819046028e-15,0.0,0.0
train,HEM_PA97.nii.gz,3,context_fill,contrast,0.15,0.0017508052987977862,0.0006703833350911736,0.0001503928506281227
train,HEM_PA97.nii.gz,3,context_fill,contrast,0.3,0.006715129595249891,0.003260301426053047,0.0012175393057987094
train,CYST_PA69.nii.gz,0,context,gamma,-0.3,0.020796943455934525,0.010776120238006115,0.0014780148630961776
train,CYST_PA69.nii.gz,0,context,gamma,-0.15,0.004666217602789402,0.0028527372051030397,0.00035852155997417867
train,CYST_PA69.nii.gz,0,context,gamma,0.15,0.0037784504238516092,0.0021698346827179193,0.0003137592866551131
train,CYST_PA69.nii.gz,0,context,gamma,0.3,0.013613302260637283,0.007673296611756086,0.0013694302178919315
train,CYST_PA69.nii.gz,0,context,contrast,-0.3,2.554581912217295e-14,0.0,0.0
train,CYST_PA69.nii.gz,0,context,contrast,-0.15,5.268685962907466e-15,0.0,0.0
train,CYST_PA69.nii.gz,0,context,contrast,0.15,0.0023726699873805046,0.005137675441801548,0.0009301684913225472
train,CYST_PA69.nii.gz,0,context,contrast,0.3,0.008259574882686138,0.028079135343432426,0.008726377971470356
train,CYST_PA69.nii.gz,1,context,gamma,-0.3,0.01638275943696499,0.005902089178562164,0.001039964030496776
train,CYST_PA69.nii.gz,1,context,gamma,-0.15,0.003524686675518751,0.0016126791015267372,0.00026156732928939164
train,CYST_PA69.nii.gz,1,context,gamma,0.15,0.0027230894193053246,0.0011879121884703636,0.00022914705914445221
train,CYST_PA69.nii.gz,1,context,gamma,0.3,0.009717399254441261,0.0041245161555707455,0.0008141910075210035
train,CYST_PA69.nii.gz,1,context,contrast,-0.3,2.245295624230502e-14,0.0,0.0
train,CYST_PA69.nii.gz,1,context,contrast,-0.15,5.3939875467947946e-15,0.0,0.0
train,CYST_PA69.nii.gz,1,context,contrast,0.15,0.0012735147029161453,0.0005358031485229731,8.573434024583548e-05
train,CYST_PA69.nii.gz,1,context,contrast,0.3,0.004987332038581371,0.002053380711004138,0.00037991077988408506
train,CYST_PA69.nii.gz,2,foreground,gamma,-0.3,0.057469651103019714,0.04655422642827034,0.00935963075608015
train,CYST_PA69.nii.gz,2,foreground,gamma,-0.15,0.013217444531619549,0.013880155980587006,0.0027593104168772697
train,CYST_PA69.nii.gz,2,foreground,gamma,0.15,0.010902385227382183,0.013273422606289387,0.003169605042785406
train,CYST_PA69.nii.gz,2,foreground,gamma,0.3,0.03909922018647194,0.04190141707658768,0.011717024259269238
train,CYST_PA69.nii.gz,2,foreground,contrast,-0.3,2.3637020211140017e-14,0.0,0.0
train,CYST_PA69.nii.gz,2,foreground,contrast,-0.15,6.215685738596719e-15,0.0,0.0
train,CYST_PA69.nii.gz,2,foreground,contrast,0.15,0.0037308670580387115,0.003752762684598565,0.0009054678957909346
train,CYST_PA69.nii.gz,2,foreground,contrast,0.3,0.01373510342091322,0.013456904329359531,0.0031015961430966854
train,CYST_PA69.nii.gz,3,foreground,gamma,-0.3,0.06538236141204834,0.055062804371118546,0.028391113504767418
train,CYST_PA69.nii.gz,3,foreground,gamma,-0.15,0.014523761346936226,0.014994125813245773,0.006867879536002874
train,CYST_PA69.nii.gz,3,foreground,gamma,0.15,0.011146153323352337,0.008465560153126717,0.0018222942017018795
train,CYST_PA69.nii.gz,3,foreground,gamma,0.3,0.038883257657289505,0.02588963322341442,0.004950292408466339
train,CYST_PA69.nii.gz,3,foreground,contrast,-0.3,2.337639664359934e-14,0.0,0.0
train,CYST_PA69.nii.gz,3,foreground,contrast,-0.15,6.4587460779760766e-15,0.0,0.0
train,CYST_PA69.nii.gz,3,foreground,contrast,0.15,0.004062279127538204,0.0023673372343182564,0.000517881300766021
train,CYST_PA69.nii.gz,3,foreground,contrast,0.3,0.015703555196523666,0.008709205314517021,0.0018043203745037317
train,HCC_10076307_20130925.nii.gz,0,context,gamma,-0.3,0.027344830334186554,0.023658372461795807,0.010590368881821632
train,HCC_10076307_20130925.nii.gz,0,context,gamma,-0.15,0.006113715935498476,0.00899375881999731,0.004882954526692629
train,HCC_10076307_20130925.nii.gz,0,context,gamma,0.15,0.004864932037889957,0.00698087178170681,0.0039942581206560135
train,HCC_10076307_20130925.nii.gz,0,context,gamma,0.3,0.017405755817890167,0.01865481398999691,0.010314994491636753
train,HCC_10076307_20130925.nii.gz,0,context,contrast,-0.3,3.3002294626082286e-15,1.8433943296258803e-06,8.509732083439303e-07
train,HCC_10076307_20130925.nii.gz,0,context,contrast,-0.15,2.660957561337763e-14,0.0,0.0
train,HCC_10076307_20130925.nii.gz,0,context,contrast,0.15,0.0017243912443518639,0.003527140012010932,0.0021014390513300896
train,HCC_10076307_20130925.nii.gz,0,context,contrast,0.3,0.006192092318087816,0.01258635800331831,0.007747596129775047
train,HCC_10076307_20130925.nii.gz,1,context,gamma,-0.3,0.023695435374975204,0.02486775442957878,0.006470112130045891
train,HCC_10076307_20130925.nii.gz,1,context,gamma,-0.15,0.005603966768831015,0.004692310933023691,0.0010051197605207562
train,HCC_10076307_20130925.nii.gz,1,context,gamma,0.15,0.004926583264023066,0.0033162529580295086,0.0006578189786523581
train,HCC_10076307_20130925.nii.gz,1,context,gamma,0.3,0.018341967836022377,0.011115489527583122,0.0020685482304543257
train,HCC_10076307_20130925.nii.gz,1,context,contrast,-0.3,3.780755700508566e-15,1.6481961893077823e-06,3.6192196262163634e-07
train,HCC_10076307_20130925.nii.gz,1,context,contrast,-0.15,3.663124423475099e-14,0.0,0.0
train,HCC_10076307_20130925.nii.gz,1,context,contrast,0.15,0.0013878233730793,0.0016028302488848567,0.0003134608850814402
train,HCC_10076307_20130925.nii.gz,1,context,contrast,0.3,0.005029330495744944,0.005618796218186617,0.0011644584592431784
train,HCC_10076307_20130925.nii.gz,2,foreground,gamma,-0.3,0.051412180066108704,0.02078539878129959,0.004244774114340544
train,HCC_10076307_20130925.nii.gz,2,foreground,gamma,-0.15,0.013295609503984451,0.006494790781289339,0.0013374792179092765
train,HCC_10076307_20130925.nii.gz,2,foreground,gamma,0.15,0.013732466846704483,0.005710284225642681,0.001277788425795734
train,HCC_10076307_20130925.nii.gz,2,foreground,gamma,0.3,0.054859086871147156,0.018832266330718994,0.004861616995185614
train,HCC_10076307_20130925.nii.gz,2,foreground,contrast,-0.3,8.17317337398725e-15,0.0,0.0
train,HCC_10076307_20130925.nii.gz,2,foreground,contrast,-0.15,9.081718531497515e-14,0.0,0.0
train,HCC_10076307_20130925.nii.gz,2,foreground,contrast,0.15,0.003969239071011543,0.0018712487071752548,0.00039457797538489103
train,HCC_10076307_20130925.nii.gz,2,foreground,contrast,0.3,0.014980969950556755,0.007221261505037546,0.0016168017173185945
train,HCC_10076307_20130925.nii.gz,3,foreground,gamma,-0.3,0.03808579593896866,0.015366335399448872,0.0027366764843463898
train,HCC_10076307_20130925.nii.gz,3,foreground,gamma,-0.15,0.00921495072543621,0.004157007671892643,0.0007318870630115271
train,HCC_10076307_20130925.nii.gz,3,foreground,gamma,0.15,0.008308175019919872,0.0034508591052144766,0.0005980818532407284
train,HCC_10076307_20130925.nii.gz,3,foreground,gamma,0.3,0.031088031828403473,0.01153622381389141,0.0020006480626761913
train,HCC_10076307_20130925.nii.gz,3,foreground,contrast,-0.3,5.601571181727827e-15,1.0985364724547253e-06,2.344087448591381e-07
train,HCC_10076307_20130925.nii.gz,3,foreground,contrast,-0.15,5.5805742514049295e-14,0.0,0.0
train,HCC_10076307_20130925.nii.gz,3,foreground,contrast,0.15,0.002407968742772937,0.0011337019968777895,0.00020247678912710398
train,HCC_10076307_20130925.nii.gz,3,foreground,contrast,0.3,0.008963110856711864,0.004282757639884949,0.0007639098912477493
train,CYST_PA20.nii.gz,0,context,gamma,-0.3,0.014322003349661827,0.058765433728694916,0.03702755272388458
train,CYST_PA20.nii.gz,0,context,gamma,-0.15,0.003368533682078123,0.006064319051802158,0.0035141303669661283
train,CYST_PA20.nii.gz,0,context,gamma,0.15,0.002965532010421157,0.001885022153146565,0.0005058476817794144
train,CYST_PA20.nii.gz,0,context,gamma,0.3,0.011098764836788177,0.006196516565978527,0.0016032499261200428
train,CYST_PA20.nii.gz,0,context,contrast,-0.3,5.4819498007847856e-15,0.0,0.0
train,CYST_PA20.nii.gz,0,context,contrast,-0.15,2.3431798527580403e-15,0.0,0.0
train,CYST_PA20.nii.gz,0,context,contrast,0.15,0.0014879322843626142,0.0013220506953075528,0.0005726622766815126
train,CYST_PA20.nii.gz,0,context,contrast,0.3,0.005126505624502897,0.003652098122984171,0.001326094032265246
train,CYST_PA20.nii.gz,1,context,gamma,-0.3,0.01843305677175522,0.012041669338941574,0.0026135838124901056
train,CYST_PA20.nii.gz,1,context,gamma,-0.15,0.004405450075864792,0.002751941094174981,0.0006004534661769867
train,CYST_PA20.nii.gz,1,context,gamma,0.15,0.003984981216490269,0.0022211105097085238,0.00041154830250889063
train,CYST_PA20.nii.gz,1,context,gamma,0.3,0.015085093677043915,0.00761018879711628,0.001380345900543034
train,CYST_PA20.nii.gz,1,context,contrast,-0.3,5.4517670522587994e-15,0.0,0.0
train,CYST_PA20.nii.gz,1,context,contrast,-0.15,2.415654744582197e-15,0.0,0.0
train,CYST_PA20.nii.gz,1,context,contrast,0.15,0.0019115338800475001,0.002167109400033951,0.0004606624133884907
train,CYST_PA20.nii.gz,1,context,contrast,0.3,0.006920297164469957,0.007013751659542322,0.0013911824207752943
train,CYST_PA20.nii.gz,2,foreground,gamma,-0.3,0.01798188127577305,0.010116430930793285,0.0019989926367998123
train,CYST_PA20.nii.gz,2,foreground,gamma,-0.15,0.004214258398860693,0.002273974474519491,0.00043669636943377554
train,CYST_PA20.nii.gz,2,foreground,gamma,0.15,0.00368630513548851,0.001625486882403493,0.0003191096766386181
train,CYST_PA20.nii.gz,2,foreground,gamma,0.3,0.013758755289018154,0.005540824960917234,0.001125421724282205
train,CYST_PA20.nii.gz,2,foreground,contrast,-0.3,5.198044685655878e-15,0.0,0.0
train,CYST_PA20.nii.gz,2,foreground,contrast,-0.15,2.3754238559611698e-15,0.0,0.0
train,CYST_PA20.nii.gz,2,foreground,contrast,0.15,0.0016280729323625565,0.002013484248891473,0.0003873759997077286
train,CYST_PA20.nii.gz,2,foreground,contrast,0.3,0.006010210607200861,0.006855933926999569,0.0013011966366320848
train,CYST_PA20.nii.gz,3,foreground,gamma,-0.3,0.02373768575489521,0.009539966471493244,0.0017744828946888447
train,CYST_PA20.nii.gz,3,foreground,gamma,-0.15,0.005451658740639687,0.0023085984867066145,0.00041704130126163363
train,CYST_PA20.nii.gz,3,foreground,gamma,0.15,0.004584258422255516,0.0017778733745217323,0.0003421613946557045
train,CYST_PA20.nii.gz,3,foreground,gamma,0.3,0.01682167872786522,0.006105104926973581,0.0012719674268737435
train,CYST_PA20.nii.gz,3,foreground,contrast,-0.3,4.691195840128429e-15,0.0,0.0
train,CYST_PA20.nii.gz,3,foreground,contrast,-0.15,2.4703741317660087e-15,0.0,0.0
train,CYST_PA20.nii.gz,3,foreground,contrast,0.15,0.001954140840098262,0.0006100234459154308,0.00013451182167045772
train,CYST_PA20.nii.gz,3,foreground,contrast,0.3,0.00727573037147522,0.002326584653928876,0.0005146798794157803
train,CYST_PA56.nii.gz,0,context,gamma,-0.3,0.017854541540145874,0.0055311075411736965,0.0007947382400743663
train,CYST_PA56.nii.gz,0,context,gamma,-0.15,0.00427106861025095,0.0011960684787482023,0.00018071317754220217
train,CYST_PA56.nii.gz,0,context,gamma,0.15,0.003997518215328455,0.0007929583662189543,0.0001404518843628466
train,CYST_PA56.nii.gz,0,context,gamma,0.3,0.015449730679392815,0.0026037264615297318,0.0004914199816994369
train,CYST_PA56.nii.gz,0,context,contrast,-0.3,5.8933033048058376e-15,5.501185569301015e-07,1.7957107445454312e-07
train,CYST_PA56.nii.gz,0,context,contrast,-0.15,9.238939027342817e-15,4.7480963871748827e-07,1.3454405234369915e-07
train,CYST_PA56.nii.gz,0,context,contrast,0.15,0.0014744483632966876,0.0005954777006991208,9.970214159693569e-05
train,CYST_PA56.nii.gz,0,context,contrast,0.3,0.004926669877022505,0.0025707546155899763,0.00046926914365030825
train,CYST_PA56.nii.gz,1,context,gamma,-0.3,0.015994757413864136,0.008502596989274025,0.0016246060840785503
train,CYST_PA56.nii.gz,1,context,gamma,-0.15,0.0040868171490728855,0.002159074181690812,0.00036042489227838814
train,CYST_PA56.nii.gz,1,context,gamma,0.15,0.004233581013977528,0.001921243267133832,0.0002901984262280166
train,CYST_PA56.nii.gz,1,context,gamma,0.3,0.01716351881623268,0.006847827695310116,0.001109803095459938
train,CYST_PA56.nii.gz,1,context,contrast,-0.3,4.679004071402124e-15,1.050971604854567e-06,2.3620233946530789e-07
train,CYST_PA56.nii.gz,1,context,contrast,-0.15,8.70978060453411e-15,0.0,0.0
train,CYST_PA56.nii.gz,1,context,contrast,0.15,5.549510387936607e-05,2.655332355061546e-05,4.443493253347697e-06
train,CYST_PA56.nii.gz,1,context,contrast,0.3,0.0011246794601902366,0.0006934337434358895,0.00011103568249382079
train,CYST_PA56.nii.gz,2,foreground,gamma,-0.3,0.018463147804141045,0.010831521824002266,0.0028258790262043476
train,CYST_PA56.nii.gz,2,foreground,gamma,-0.15,0.004710792563855648,0.0027421617414802313,0.000736111425794661
train,CYST_PA56.nii.gz,2,foreground,gamma,0.15,0.004872446414083242,0.002542659640312195,0.0006715685012750328
