case,patch_index,patch_kind,candidate_state,action,context_test,skip_context,mask_embedding_context,probability_mse,logits_mse,predicted_mask_dice_vs_real,predicted_mask_iou_vs_real,mean_absolute_probability_error
HCC_10140276_20170721.nii.gz,3,foreground,final_decoder_feature,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,1.793835144781042e-05,884.88818359375,0.9308774014656368,0.8706928492034087,5.1174185500713065e-05
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,0,context,final_decoder_feature,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,1.793835144781042e-05,884.88818359375,0.9308774014656368,0.8706928492034087,5.1174185500713065e-05
HEM_PA97.nii.gz,0,context,final_decoder_feature,gamma,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,1.0,0.0
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,6.019677867679101e-18,380.78533935546875,1.0,0.0,4.24978635615858e-10
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,0.0,0.0
HEM_PA97.nii.gz,0,context,final_decoder_feature,blur,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,6.019677867679101e-18,380.78533935546875,1.0,0.0,4.24978635615858e-10
HEM_PA97.nii.gz,0,context,final_decoder_feature,blur,action_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,action_specific_mask_embedding,0.0,0.0,1.0,0.0,0.0
HEM_PA97.nii.gz,1,context,final_decoder_stage_input,gamma,source_mask_embedding,not_used_after_final_boundary; skip_embedded_in_candidate_state,source_side_mask_embedding,7.151335012167692e-06,0.10097037255764008,0.996352465564904,0.9927314434401534,0.0003529700916260481
