candidate_state,case,scope,method,patch_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,confidence_rank,4,0.9950252462316442,0.5000000677296943,0.9905843891144951,0.9999473976152362,0.13689720038019368,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,gamma_joint_product,4,0.9979846224644774,0.3083286463385929,0.9916292695080932,0.9999774049546196,0.08353394128402192,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,gamma_joint_product,4,0.9207335983430864,0.0829505580946377,0.9039116994835924,0.9902432323316744,0.3765788248265798,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,gamma_joint_product,4,0.9950252462316442,0.29879331319880403,0.9890514350927492,0.9999385735681283,0.13644854474924212,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,gamma_world_stability,4,0.9979846224644774,0.5077321633357199,0.9684215940907026,0.9997045543111199,0.07924681654927247,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,gamma_world_stability,4,0.9207335983430864,0.3123838859714996,0.8892236145651795,0.988874424305297,0.3707067810057289,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,gamma_world_stability,4,0.9950252462316442,0.49999993220129635,0.9782782407599572,0.9996878950214504,0.13332883423263717,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,background,pairwise_joint_product,4,0.9979846224644774,0.3143004936121845,0.995527822009105,0.9999880640692289,0.08426236026688079,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,foreground,pairwise_joint_product,4,0.9207335983430864,0.04345499084160709,0.9000722907756317,0.9898960347868492,0.372883324425523,case_patch_macro
penultimate_decoder_stage_output,HEM_PA99.nii.gz,overall,pairwise_joint_product,4,0.9950252462316442,0.30295576411311825,0.9907764629494075,0.9999499640878489,0.13695391354672307,case_patch_macro
