case,patch_index,patch_kind,candidate_state,action,state_shape,channels,spatial_resolution,tensor_memory_mb,normalized_mse,delta_rms,delta_l2_norm,relative_delta_norm,relative_delta_norm_valid,gamma_vs_blur_delta_cosine,gamma_vs_blur_delta_cosine_valid,state_variance,delta_variance
HCC_10140276_20170721.nii.gz,3,foreground,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.046548712998628616,0.14811357855796814,2190.173828125,0.21382221579551697,True,-0.015381178818643093,True,0.30666494369506836,0.021937182173132896
HEM_PA97.nii.gz,0,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.20944739878177643,0.9879520535469055,1971.288818359375,0.6562715768814087,True,0.8398324847221375,True,2.199610948562622,0.974609375
HEM_PA97.nii.gz,0,context,decoder_stage_1_low_to_high,blur,1x288x24x24x24,288,24x24x24,15.1875,0.37694770097732544,1.3439847230911255,2681.675048828125,0.8927697539329529,True,0.8398324847221375,True,2.199610948562622,1.8041044473648071
HEM_PA97.nii.gz,0,context,penultimate_decoder_stage_output,gamma,1x96x96x96x96,96,96x96x96,324.0,0.32365426421165466,2.7091073989868164,24897.904296875,0.9945435523986816,True,0.9159833788871765,True,7.321521282196045,7.305572509765625
HEM_PA97.nii.gz,0,context,penultimate_decoder_stage_output,blur,1x96x96x96x96,96,96x96x96,324.0,0.32065683603286743,2.223912477493286,20438.181640625,0.8164005279541016,True,0.9159833788871765,True,7.321521282196045,4.917514801025391
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,gamma,1x64x192x192x192,64,192x192x192,1728.0,0.22405965626239777,0.817075788974762,16741.98046875,0.7051672339439392,True,0.930730938911438,True,1.2884529829025269,0.6619154810905457
HEM_PA97.nii.gz,0,context,final_decoder_stage_input,blur,1x64x192x192x192,64,192x192x192,1728.0,0.2114175707101822,0.6698376536369324,13643.8896484375,0.5746765732765198,True,0.930730938911438,True,1.2884529829025269,0.4467306435108185
HEM_PA97.nii.gz,0,context,final_decoder_feature,gamma,1x32x192x192x192,32,192x192x192,864.0,0.04916125163435936,0.15492293238639832,2287.801513671875,0.22235111892223358,True,0.7248765826225281,True,0.30350425839424133,0.02390137128531933
HEM_PA97.nii.gz,0,context,final_decoder_feature,blur,1x32x192x192x192,32,192x192x192,864.0,0.09734244644641876,0.21919772028923035,3230.228271484375,0.3139454424381256,True,0.7248765826225281,True,0.30350425839424133,0.04800838977098465
HEM_PA97.nii.gz,1,context,decoder_stage_1_low_to_high,gamma,1x288x24x24x24,288,24x24x24,15.1875,0.02522275224328041,0.19494299590587616,388.9763488769531,0.15678109228610992,True,0.0997057780623436,True,1.4692745208740234,0.03799208253622055
