method,case,region,voxel_count,reliability_mean,aggregation
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,FP,32,0.31296115554869175,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,TN,54028,0.503407358003464,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA107.nii.gz,TP,692,0.31983681651898205,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,FN,624,0.36844895392273314,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,FP,26,0.34762843447522473,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,TN,53391,0.5070068509020942,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,TP,1255,0.2720694803171193,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA81.nii.gz,FN,624,0.20861411215613238,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA81.nii.gz,FP,26,0.26047654522699304,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA81.nii.gz,TN,53391,0.2754994822163299,case_voxel_weighted
real_stage_blur_joint_product,HEM_PA81.nii.gz,TP,1255,0.153347985385185,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA81.nii.gz,FN,624,0.37265429225487584,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA81.nii.gz,FP,26,0.5002810129752526,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA81.nii.gz,TN,53391,0.5065576176776355,case_voxel_weighted
real_stage_blur_world_stability,HEM_PA81.nii.gz,TP,1255,0.2827399616697395,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA81.nii.gz,FN,624,0.22429403297532446,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA81.nii.gz,FP,26,0.27644074069953956,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA81.nii.gz,TN,53391,0.2755958053078985,case_voxel_weighted
real_stage_gamma_joint_product,HEM_PA81.nii.gz,TP,1255,0.16360800437602058,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA81.nii.gz,FN,624,0.4005879308932867,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA81.nii.gz,FP,26,0.49669052545840925,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA81.nii.gz,TN,53391,0.5059407574209985,case_voxel_weighted
real_stage_gamma_world_stability,HEM_PA81.nii.gz,TP,1255,0.29516828240626364,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,FN,624,0.21612096306446843,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,FP,26,0.2619270580247618,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,TN,53391,0.2759083417706409,case_voxel_weighted
real_stage_pairwise_joint_product,HEM_PA81.nii.gz,TP,1255,0.14569200135565752,case_voxel_weighted
real_stage_pairwise_world_stability,HEM_PA81.nii.gz,FN,624,0.38717242788809997,case_voxel_weighted
