method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.28298981258027056,0.86072993071894,0.9995017977693335,0.08267404662361477,case_patch_macro
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.15529975864184503,0.3903943339126266,0.6676610751402916,-0.19116237093675695,case_patch_macro
real_stage_pairwise_joint_product,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.2805616686631552,0.6397629249548178,0.9929575470009216,0.042424530405782326,case_patch_macro
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,background,4,2,0.9977486035801564,0.5036728175708605,0.8677526183192825,0.9995263938271685,0.08436344279949538,case_patch_macro
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,foreground,4,2,0.7324450476014229,0.27568277938200775,0.3931985467015955,0.6693976709945616,-0.19203683359834647,case_patch_macro
real_stage_pairwise_world_stability,CYST_PA62.nii.gz,overall,4,2,0.992115162037037,0.499963831026064,0.6414607352114567,0.9929852684980678,0.04331621107544752,case_patch_macro
confidence_rank,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.5068116544973358,0.9460599135203587,0.9996577538378042,0.11256036838792344,case_patch_macro
confidence_rank,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.3172021586158698,0.30572593964469574,0.32542541698833605,-0.33609945546317654,case_patch_macro
confidence_rank,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.5000361761140115,0.6298720393427678,0.9842253960975742,0.1179819669234412,case_patch_macro
real_stage_blur_joint_product,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.2774727936910189,0.9532841996866906,0.999525188296864,0.09083380298782401,case_patch_macro
real_stage_blur_joint_product,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.17163177250030304,0.2901353615094507,0.32753667516798834,-0.3451555239010186,case_patch_macro
real_stage_blur_joint_product,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.2728896344013379,0.6407378658044728,0.9832818887301393,0.09758898616260679,case_patch_macro
real_stage_blur_world_stability,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.5070058350505089,0.9512653549347957,0.9995080639766929,0.09011102088896153,case_patch_macro
real_stage_blur_world_stability,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.31057570416014857,0.2940605529148298,0.33147272946721473,-0.33721722288641665,case_patch_macro
real_stage_blur_world_stability,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.4999638310023497,0.643336795857729,0.9832878173140471,0.0987875365816435,case_patch_macro
real_stage_gamma_joint_product,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.2771187454841939,0.9435032903213832,0.9991562641196245,0.08782568173886043,case_patch_macro
real_stage_gamma_joint_product,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.2047073746077246,0.29681666343700647,0.3499893527001387,-0.3375205813162444,case_patch_macro
real_stage_gamma_joint_product,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.2737547896949436,0.5637028693985382,0.9765002144163266,0.048028039774575676,case_patch_macro
real_stage_gamma_world_stability,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.505008206125461,0.9419145794031896,0.999165537668775,0.08782895467884107,case_patch_macro
real_stage_gamma_world_stability,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.3611491298406727,0.3024255585974433,0.35611092138702133,-0.3279038345466997,case_patch_macro
real_stage_gamma_world_stability,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.4999638310443886,0.5644428261085853,0.9765765642769293,0.04864357649183596,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.2778101898771145,0.9529725331848182,0.9995232140513722,0.09089993434053084,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.1754768778088306,0.29053595542351773,0.32521029007613844,-0.34464339459077653,case_patch_macro
real_stage_pairwise_joint_product,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.27335070135113726,0.6300502729570795,0.9825198006234177,0.09082685217186906,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA29.nii.gz,background,4,2,0.9974960868138325,0.5068322418569986,0.9509844245042544,0.9995129357975032,0.09043495905448962,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA29.nii.gz,foreground,4,2,0.42565449256625726,0.31440347819403747,0.2943092013651262,0.3280819702775819,-0.33692367712233556,case_patch_macro
real_stage_pairwise_world_stability,HEM_PA29.nii.gz,overall,4,2,0.9786241319444444,0.4999638310206743,0.6342132617616503,0.9825728624919021,0.09322073874395628,case_patch_macro
confidence_rank,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.5045607115734915,0.7582851867024882,0.9958987605193522,0.07892510080930695,case_patch_macro
confidence_rank,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.38554894665395084,0.2921111104005088,0.2712030883859873,-0.5791784742624888,case_patch_macro
confidence_rank,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.5000361629332469,0.5569516746736946,0.9827041313966971,0.04707910957887064,case_patch_macro
real_stage_blur_joint_product,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.2802550049342877,0.7095681237787267,0.9920413155677936,0.04402090331975814,case_patch_macro
real_stage_blur_joint_product,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.21524391017161593,0.1843547199334897,0.2873954483246088,-0.4281168939426889,case_patch_macro
real_stage_blur_joint_product,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.2773756415112343,0.5370875223999163,0.9790261939474754,0.029778829771692966,case_patch_macro
real_stage_blur_world_stability,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.5048906802928411,0.7076059323002806,0.9917603989657636,0.04301048791716429,case_patch_macro
real_stage_blur_world_stability,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.41408817869419795,0.2139575762182512,0.29574638395716013,-0.3778442840815959,case_patch_macro
real_stage_blur_world_stability,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.49996383102821984,0.5464971371139986,0.9789637749803451,0.03376283213218105,case_patch_macro
real_stage_gamma_joint_product,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.28150914334126703,0.6639316949248812,0.9902260127100758,0.037633508443856684,case_patch_macro
real_stage_gamma_joint_product,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.2408350102791035,0.15491585536816305,0.27574786185794903,-0.46744988807200444,case_patch_macro
real_stage_gamma_joint_product,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.279171135764084,0.48166948093166895,0.9758123223833484,0.0044888480273558,case_patch_macro
real_stage_gamma_world_stability,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.5038699680316985,0.6632638963773299,0.989829112568364,0.03701278837748744,case_patch_macro
real_stage_gamma_world_stability,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.4589992572930568,0.15980844388239612,0.27778906433758177,-0.4590788233769521,case_patch_macro
real_stage_gamma_world_stability,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.499963831159726,0.48262288268774245,0.9754679188938402,0.0048192146292057435,case_patch_macro
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.28067041410867805,0.7107132251019075,0.9921580863413249,0.04509765580517133,case_patch_macro
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.2155266636442881,0.18299978082733812,0.28687476454322436,-0.4304335365076614,case_patch_macro
real_stage_pairwise_joint_product,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.27777424058704014,0.5386629181778508,0.9790635213296018,0.030728728558999056,case_patch_macro
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,background,4,4,0.9936117837927707,0.504886209953291,0.7125525119227969,0.9922053457729325,0.046012341439330764,case_patch_macro
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,foreground,4,3,0.3713642362985908,0.4149229979138036,0.21213032367806814,0.2950234265612721,-0.3809454914813248,case_patch_macro
real_stage_pairwise_world_stability,HEP_PA28.nii.gz,overall,4,4,0.9797815393518519,0.4999638310325315,0.5519167777705873,0.9793266044270732,0.03660906919849141,case_patch_macro
