case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
HEM_PA29.nii.gz,0,context,real_stage_blur_joint_product,overall,13824,1.0,0.2500000042081878,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_blur_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_blur_joint_product,background,13824,1.0,0.2500000042081878,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_joint_product,overall,13824,1.0,0.2500000042081878,,1.0,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_stage_pairwise_joint_product,background,13824,1.0,0.2500000042081878,,1.0,
HEM_PA29.nii.gz,1,context,confidence_rank,overall,13824,1.0,0.5000361800193787,,1.0,
HEM_PA29.nii.gz,1,context,confidence_rank,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,confidence_rank,background,13824,1.0,0.5000361800193787,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_gamma_world_stability,overall,13824,1.0,0.4999638310616353,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_gamma_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_gamma_world_stability,background,13824,1.0,0.4999638310616353,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_blur_world_stability,overall,13824,1.0,0.4999638309969601,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_blur_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_blur_world_stability,background,13824,1.0,0.4999638309969601,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_world_stability,overall,13824,1.0,0.4999638310228302,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_world_stability,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_world_stability,background,13824,1.0,0.4999638310228302,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_gamma_joint_product,overall,13824,1.0,0.2500000042642396,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_gamma_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_gamma_joint_product,background,13824,1.0,0.2500000042642396,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_blur_joint_product,overall,13824,1.0,0.2500000041866294,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_blur_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_blur_joint_product,background,13824,1.0,0.2500000041866294,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_joint_product,overall,13824,1.0,0.25000000421896695,,1.0,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,1,context,real_stage_pairwise_joint_product,background,13824,1.0,0.25000000421896695,,1.0,
HEM_PA29.nii.gz,2,foreground,confidence_rank,overall,13824,0.9649160879629629,0.5000361585798326,0.6163657765037488,0.9729965873165447,0.10782319492074176
HEM_PA29.nii.gz,2,foreground,confidence_rank,foreground,1040,0.5403846153846154,0.28792244100774184,0.32608064444080465,0.43350561992474446,-0.3137696891984713
HEM_PA29.nii.gz,2,foreground,confidence_rank,background,12784,0.9994524405506884,0.5172919678942081,0.9825467637160523,0.999990342949381,0.060910641911579515
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_world_stability,overall,13824,0.9649160879629629,0.49996383102714187,0.5033596546210128,0.9514757608170195,0.0021413321620205625
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_world_stability,foreground,1040,0.5403846153846154,0.362094629326692,0.3193857115204217,0.43860436124980096,-0.311813059999608
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_world_stability,background,12784,0.9994524405506884,0.5111797235309332,0.9749438164559086,0.9999860702988431,0.038488374309938546
HEM_PA29.nii.gz,2,foreground,real_stage_blur_world_stability,overall,13824,0.9649160879629629,0.4999638310055835,0.663476295770174,0.9736537194736974,0.10419435567914347
HEM_PA29.nii.gz,2,foreground,real_stage_blur_world_stability,foreground,1040,0.5403846153846154,0.27475777245484867,0.3860372399827276,0.4648152898121966,-0.19674482049195302
HEM_PA29.nii.gz,2,foreground,real_stage_blur_world_stability,background,12784,0.9994524405506884,0.5182847243795481,0.9816634801373003,0.999989860909747,0.03903292067750248
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_world_stability,overall,13824,0.9649160879629629,0.49996383103145353,0.6411128363229133,0.9707602762105904,0.08994063011268305
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_world_stability,foreground,1040,0.5403846153846154,0.28656767474917266,0.38432488571896545,0.4576644575631953,-0.19970077922056936
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_world_stability,background,12784,0.9994524405506884,0.5173239689017267,0.9783763235277675,0.9999880239724308,0.03876653692933489
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_joint_product,overall,13824,0.9649160879629629,0.2869400596356637,0.5042661508034343,0.951444558024545,0.0027191026808978712
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_joint_product,foreground,1040,0.5403846153846154,0.19671422600547125,0.3092307062344585,0.4302586061887096,-0.32934312605948224
HEM_PA29.nii.gz,2,foreground,real_stage_gamma_joint_product,background,12784,0.9994524405506884,0.29428008364813246,0.9791589798633705,0.9999884483913892,0.0388299616312238
HEM_PA29.nii.gz,2,foreground,real_stage_blur_joint_product,overall,13824,0.9649160879629629,0.2866121883272001,0.650685031026762,0.9731086174506626,0.09604162874435229
HEM_PA29.nii.gz,2,foreground,real_stage_blur_joint_product,foreground,1040,0.5403846153846154,0.1466479482003448,0.3592854271207135,0.4530604865644678,-0.24292868765141815
HEM_PA29.nii.gz,2,foreground,real_stage_blur_joint_product,background,12784,0.9994524405506884,0.2979985157467816,0.9813056943838818,0.9999896594194979,0.03900392652804206
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_joint_product,overall,13824,0.9649160879629629,0.28745265154757493,0.6284843374555504,0.9702512244793645,0.08189164479379334
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_joint_product,foreground,1040,0.5403846153846154,0.15444319413867377,0.35716731934662516,0.4479026311134346,-0.24658533185146872
HEM_PA29.nii.gz,2,foreground,real_stage_pairwise_joint_product,background,12784,0.9994524405506884,0.2982731956421663,0.9799639978085624,0.9999889098041059,0.0388951984675655
HEM_PA29.nii.gz,3,foreground,confidence_rank,overall,13824,0.9495804398148148,0.5000361858374562,0.6433783021817868,0.9639049970737517,0.12814073892614067
HEM_PA29.nii.gz,3,foreground,confidence_rank,foreground,833,0.31092436974789917,0.3464818762239978,0.2853712348485868,0.2173452140519277,-0.3584292217278817
HEM_PA29.nii.gz,3,foreground,confidence_rank,background,12991,0.9905319067046416,0.5098822900563779,0.9095730633246649,0.9986406724018356,0.16421009486426735
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_world_stability,overall,13824,0.9495804398148148,0.49996383107025866,0.6255259975961578,0.9548304962906975,0.09514582082165136
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_world_stability,foreground,833,0.31092436974789917,0.36020363035465347,0.2854654056744649,0.2736174815242417,-0.34399460909379137
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_world_stability,background,12991,0.9905319067046416,0.5089254388907574,0.9088853423504705,0.9966760803762571,0.1371695350477436
HEM_PA29.nii.gz,3,foreground,real_stage_blur_world_stability,overall,13824,0.9495804398148148,0.49996383098833674,0.6231972959452841,0.9594975497824916,0.09338071748414355
HEM_PA29.nii.gz,3,foreground,real_stage_blur_world_stability,foreground,833,0.31092436974789917,0.34639363586544847,0.20208386584693205,0.1981301691222329,-0.4776896252808802
HEM_PA29.nii.gz,3,foreground,real_stage_blur_world_stability,background,12991,0.9905319067046416,0.5098109538070086,0.9208672297322911,0.9980423949970246,0.14118912110042056
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_world_stability,overall,13824,0.9495804398148148,0.49996383100989517,0.6273136872003873,0.9595311737570182,0.0965008473752295
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_world_stability,foreground,833,0.31092436974789917,0.3422392816389022,0.20429351701128703,0.1984994829919685,-0.4741465750241018
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_world_stability,background,12991,0.9905319067046416,0.5100773364849192,0.9235925254807412,0.9980637192175822,0.14210338117964436
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_joint_product,overall,13824,0.9495804398148148,0.30807909066090416,0.6231395879936421,0.954556299640761,0.09333697686825349
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_joint_product,foreground,833,0.31092436974789917,0.2127005232099779,0.28440262063955446,0.2697200992115678,-0.34569803657300663
HEM_PA29.nii.gz,3,foreground,real_stage_gamma_joint_product,background,12991,0.9905319067046416,0.31419488980543664,0.907847600779396,0.996636608087109,0.13682140184649708
HEM_PA29.nii.gz,3,foreground,real_stage_blur_joint_product,overall,13824,0.9495804398148148,0.30494634088333444,0.6307907005821836,0.9600189374698951,0.09913634358086129
HEM_PA29.nii.gz,3,foreground,real_stage_blur_joint_product,foreground,833,0.31092436974789917,0.19661559680026125,0.22098529589818788,0.2020128637715089,-0.4473823601506191
HEM_PA29.nii.gz,3,foreground,real_stage_blur_joint_product,background,12991,0.9905319067046416,0.3118926506224769,0.9252627049894995,0.998111093767958,0.14266367944760597
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_joint_product,overall,13824,0.9495804398148148,0.3059501454298194,0.6316162084586086,0.9598279780143064,0.09976205954994477
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_joint_product,foreground,833,0.31092436974789917,0.19651056147898738,0.2239045915004103,0.20251794903884232,-0.44270145733008437
HEM_PA29.nii.gz,3,foreground,real_stage_pairwise_joint_product,background,12991,0.9905319067046416,0.3129675554391369,0.9259810685610742,0.998103946401383,0.14290467021349618
HEP_PA28.nii.gz,0,context,confidence_rank,overall,13824,0.9786603009259259,0.5000361622427384,0.6206684698657373,0.9840921187874241,0.07631659541928959
HEP_PA28.nii.gz,0,context,confidence_rank,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,confidence_rank,background,13824,0.9786603009259259,0.5000361622427384,0.6206684698657373,0.9840921187874241,0.07631659541928959
HEP_PA28.nii.gz,0,context,real_stage_gamma_world_stability,overall,13824,0.9786603009259259,0.4999638312211674,0.5360826899153232,0.9597393799865306,0.018063410754994524
HEP_PA28.nii.gz,0,context,real_stage_gamma_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_gamma_world_stability,background,13824,0.9786603009259259,0.4999638312211674,0.5360826899153232,0.9597393799865306,0.018063410754994524
HEP_PA28.nii.gz,0,context,real_stage_blur_world_stability,overall,13824,0.9786603009259259,0.4999638310573236,0.580587087875261,0.9675227478212695,0.04034281935736931
HEP_PA28.nii.gz,0,context,real_stage_blur_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_blur_world_stability,background,13824,0.9786603009259259,0.4999638310573236,0.580587087875261,0.9675227478212695,0.04034281935736931
HEP_PA28.nii.gz,0,context,real_stage_pairwise_world_stability,overall,13824,0.9786603009259259,0.49996383107888204,0.6042039009735521,0.9692836234689901,0.05216566571235582
HEP_PA28.nii.gz,0,context,real_stage_pairwise_world_stability,foreground,0,,,,,
HEP_PA28.nii.gz,0,context,real_stage_pairwise_world_stability,background,13824,0.9786603009259259,0.49996383107888204,0.6042039009735521,0.9692836234689901,0.05216566571235582
