variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A1_world,forward,4,HEP_PA28.nii.gz,0,context,0,162144,6915744,0,0.0,0.0,0.0
A1_world,forward,4,HEP_PA28.nii.gz,1,foreground,217014,15751,6655873,189250,0.6791992225704937,0.9323308916718579,0.5341698993757753
A1_world,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,4,HEM_PA107.nii.gz,1,foreground,203827,10623,6825948,37490,0.8944350951253601,0.9504639776171602,0.844644181719481
A1_world,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,CYST_PA62.nii.gz,1,foreground,223641,29969,6684672,139606,0.7250983615327378,0.8818303694649264,0.6156719807734131
A1_world,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,HEM_PA29.nii.gz,1,foreground,358028,8129,6534328,177403,0.7942164270154438,0.97779914080572,0.6686725273658044
A1_world,forward,8,HEP_PA28.nii.gz,0,context,0,162955,6914933,0,0.0,0.0,0.0
A1_world,forward,8,HEP_PA28.nii.gz,1,foreground,228253,18039,6653585,178011,0.6995660142577802,0.9267576697578485,0.561834176791446
A1_world,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,8,HEM_PA107.nii.gz,1,foreground,205423,11113,6825458,35894,0.8973316763240603,0.9486782798241401,0.8512578890007749
A1_world,forward,12,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,12,CYST_PA62.nii.gz,1,foreground,231349,31838,6682803,131898,0.7386221054412755,0.8790289793948789,0.6368917017896913
A1_world,forward,12,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,12,HEM_PA29.nii.gz,1,foreground,370482,10199,6532258,164949,0.8088137694954328,0.9732085394332788,0.6919322937969599
A1_world,forward,12,HEP_PA28.nii.gz,0,context,0,164313,6913575,0,0.0,0.0,0.0
A1_world,forward,12,HEP_PA28.nii.gz,1,foreground,239615,20993,6650631,166649,0.7186236639115152,0.9194460645874263,0.5898012130043518
A1_world,forward,12,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,12,HEM_PA107.nii.gz,1,foreground,207733,11956,6824615,33584,0.9012160362338018,0.9455776119878555,0.8608303600658056
A1_world,forward,16,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,16,CYST_PA62.nii.gz,1,foreground,241380,34604,6680037,121867,0.7552199439639191,0.8746159197634645,0.6645065203566719
A1_world,forward,16,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,16,HEM_PA29.nii.gz,1,foreground,386868,13675,6528782,148563,0.8266639885295959,0.9658588466157192,0.7225356768659267
A1_world,forward,16,HEP_PA28.nii.gz,0,context,0,166189,6911699,0,0.0,0.0,0.0
A1_world,forward,16,HEP_PA28.nii.gz,1,foreground,252329,25164,6646460,153935,0.7380663013321984,0.9093166314105221,0.6210961345332099
A1_world,forward,16,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,16,HEM_PA107.nii.gz,1,foreground,210784,13173,6823398,30533,0.9060639537132958,0.941180673075635,0.8734734809400083
A1_world,forward,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,20,CYST_PA62.nii.gz,1,foreground,253899,38710,6675931,109348,0.7742522748896099,0.8677074184321056,0.6989706728479519
A1_world,forward,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,20,HEM_PA29.nii.gz,1,foreground,406158,19445,6523012,129273,0.845252093058102,0.9543118822000785,0.7585627279705508
A1_world,forward,20,HEP_PA28.nii.gz,0,context,0,168691,6909197,0,0.0,0.0,0.0
A1_world,forward,20,HEP_PA28.nii.gz,1,foreground,267623,31000,6640624,138641,0.7593358935545698,0.8961901795909893,0.6587416064431011
A1_world,forward,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,forward,20,HEM_PA107.nii.gz,1,foreground,214480,15121,6821450,26837,0.9109016856437852,0.9341422728995082,0.8887894346440574
A1_world,reverse,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,reverse,20,CYST_PA62.nii.gz,1,foreground,255985,39264,6675377,107262,0.7774838419671494,0.867013944162385,0.7047133217893059
A1_world,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,reverse,20,HEM_PA29.nii.gz,1,foreground,409047,21402,6521055,126384,0.8469934153310971,0.9502798240906588,0.7639583811919743
A1_world,reverse,20,HEP_PA28.nii.gz,0,context,0,169169,6908719,0,0.0,0.0,0.0
A1_world,reverse,20,HEP_PA28.nii.gz,1,foreground,269874,32702,6638922,136390,0.7614525139664804,0.8919213685156787,0.6642823385778706
A1_world,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,reverse,20,HEM_PA107.nii.gz,1,foreground,214890,15488,6821083,26427,0.9111396135214492,0.9327713583762338,0.8904884446599286
A2_joint_product,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,CYST_PA62.nii.gz,1,foreground,217886,28608,6686033,145361,0.7146837755702832,0.8839403798875429,0.5998287666518926
A2_joint_product,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,HEM_PA29.nii.gz,1,foreground,349043,6924,6535533,186388,0.7831361524257402,0.9805487587332533,0.6518916536397781
A2_joint_product,forward,4,HEP_PA28.nii.gz,0,context,0,162045,6915843,0,0.0,0.0,0.0
A2_joint_product,forward,4,HEP_PA28.nii.gz,1,foreground,217110,15749,6655875,189154,0.6793997399561587,0.9323667970746246,0.5344061989248371
A2_joint_product,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,HEM_PA107.nii.gz,1,foreground,203702,10579,6825992,37615,0.8942181484554366,0.9506302471987718,0.8441261908609837
A2_joint_product,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,CYST_PA62.nii.gz,1,foreground,223313,29749,6684892,139934,0.7246786920197499,0.8824438279947207,0.6147690139216566
A2_joint_product,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,HEM_PA29.nii.gz,1,foreground,357051,8068,6534389,178380,0.7929620787296652,0.9779030946075116,0.666847829132045
A2_joint_product,forward,8,HEP_PA28.nii.gz,0,context,0,162741,6915147,0,0.0,0.0,0.0
A2_joint_product,forward,8,HEP_PA28.nii.gz,1,foreground,228271,17946,6653678,177993,0.6997016005063749,0.9271130750516821,0.561878482956895
A2_joint_product,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,HEM_PA107.nii.gz,1,foreground,205217,11050,6825521,36100,0.8969588097485927,0.9489057507617898,0.8504042400659713
A2_joint_product,forward,12,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,12,CYST_PA62.nii.gz,1,foreground,231084,31528,6683113,132163,0.738453869002443,0.879944556989018,0.6361621706442173
A2_joint_product,forward,12,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,12,HEM_PA29.nii.gz,1,foreground,369232,10155,6532302,166199,0.8072250436698885,0.9732331366124828,0.6895977259441459
A2_joint_product,forward,12,HEP_PA28.nii.gz,0,context,0,163911,6913977,0,0.0,0.0,0.0
A2_joint_product,forward,12,HEP_PA28.nii.gz,1,foreground,239236,20809,6650815,167028,0.7180932570323979,0.9199792343632833,0.5888683220762854
