variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A1_world,forward,12,CYST_PA62.nii.gz,full_volume,416332,247200,11843870,796994,0.443647841232528,0.6274482617266387,0.3431328431105902,0.28505620577791835,0.013952123432008079,0.011417699743497156,-0.044613476412447506,0.02732653878677288
A1_world,forward,12,HEM_PA29.nii.gz,full_volume,603804,156258,14345249,808251,0.5559590022084445,0.7944141398991135,0.42760657339834496,0.38500222850923255,0.034366957087004435,0.032195654789000605,-0.0059078835450137035,0.040746996398865476
A1_world,forward,12,HEP_PA28.nii.gz,full_volume,448114,194402,6774383,460256,0.5778812885021852,0.6974363284338444,0.49331660006385064,0.4063523556999996,0.0228159599008666,0.02220673334876816,-0.04100763050319911,0.048670695861818436
A1_world,forward,12,HEM_PA107.nii.gz,full_volume,435244,65809,11712792,385371,0.6586283393408935,0.8686586049779165,0.5303875751722793,0.4910110737073906,0.03399707744790481,0.0368555846472714,-0.0552042775807946,0.058573143313246756
A1_world,forward,16,CYST_PA62.nii.gz,full_volume,433498,267299,11823771,779828,0.45294685869194407,0.6185785612666721,0.35728073081760386,0.2927804136766568,0.02325114089142416,0.01914190764223561,-0.05348317687241411,0.04147442649378652
A1_world,forward,16,HEM_PA29.nii.gz,full_volume,658348,172371,14329136,753707,0.5870836740572166,0.7925038430564366,0.4662339639744911,0.41551198983101767,0.06549162893577654,0.06270541611078573,-0.007818180387690554,0.07937438697501159
A1_world,forward,16,HEP_PA28.nii.gz,full_volume,507046,219998,6748787,401324,0.62008274357441,0.6974075846853836,0.5581932472450654,0.44936226479304625,0.06501741497309133,0.0652166424418148,-0.04103637425165996,0.11354734304303316
A1_world,forward,16,HEM_PA107.nii.gz,full_volume,468447,81257,11697344,352168,0.6837050351049646,0.8521804462037751,0.5708486927487312,0.5194162808025973,0.05907377321197593,0.06526079174247806,-0.07168243635493599,0.09903426088969863
A1_world,forward,20,CYST_PA62.nii.gz,full_volume,528827,302305,11788765,684499,0.5173273307644374,0.6362731792302546,0.4358490628240061,0.3489154022318097,0.08763161296391747,0.07527689619738853,-0.03578855890883159,0.12004275850018875
A1_world,forward,20,HEM_PA29.nii.gz,full_volume,695400,212254,14289253,716655,0.5995579617960701,0.7661509782362002,0.4924737350882225,0.42812051155291264,0.07796591667463004,0.0753139378326807,-0.03417104520792702,0.10561415808874303
A1_world,forward,20,HEP_PA28.nii.gz,full_volume,545526,250437,6718348,362844,0.6401636299948426,0.6853660283204118,0.6005548399881105,0.4707651921329436,0.08509830139352392,0.08661956978171215,-0.053077930616631686,0.15590893578607834
A1_world,forward,20,HEM_PA107.nii.gz,full_volume,483325,93325,11685276,337290,0.6918157972897052,0.83816006242955,0.5889789974592227,0.5288366851215616,0.06718453539671654,0.07468119606144236,-0.08570282012916108,0.11716456560019012
A1_world,reverse,20,CYST_PA62.nii.gz,full_volume,546412,310895,11780175,666914,0.5277729080913904,0.6373586124923744,0.4503422822885193,0.35848607255771964,0.09807719029087053,0.08484756652329845,-0.03470312564671185,0.13453597796470196
A1_world,reverse,20,HEM_PA29.nii.gz,full_volume,709549,223871,14277636,702506,0.6050365064645754,0.7601604850978123,0.5024938830286356,0.43372927626310726,0.08344446134313532,0.08092270254287531,-0.04016153834631486,0.11563430602915614
A1_world,reverse,20,HEP_PA28.nii.gz,full_volume,548908,255931,6712854,359462,0.6407951394138135,0.6820096938642387,0.6042779924480113,0.4714485343566655,0.08572981081249487,0.08730291200543405,-0.0564342650728048,0.15963208824597908
A1_world,reverse,20,HEM_PA107.nii.gz,full_volume,489801,96879,11681722,330814,0.6960885954970351,0.8348690938842299,0.5968706397031495,0.5338465428656755,0.07145733360404638,0.07969105380555624,-0.08899378867448116,0.12505620784411692
A2_joint_product,forward,4,CYST_PA62.nii.gz,full_volume,390073,195425,11895645,823253,0.43369779366964195,0.6662243081957582,0.3214906793392707,0.2768927936874579,0.004002075869122046,0.0032542876530367026,-0.005837429943328032,0.00568437501545338
A2_joint_product,forward,4,HEM_PA29.nii.gz,full_volume,553654,139812,14361695,858401,0.5259068895537019,0.7983866548612333,0.3920909596297595,0.356766398151388,0.004314844432261822,0.003959824431156056,-0.0019353685828938927,0.0052313826302800015
A2_joint_product,forward,4,HEP_PA28.nii.gz,full_volume,418231,159286,6809499,490139,0.5629378277082981,0.7241882057151564,0.4604192124354613,0.3917282345624433,0.007872499106979514,0.00758261221121187,-0.014255753221887102,0.015773308233429095
A2_joint_product,forward,4,HEM_PA107.nii.gz,full_volume,407974,36983,11741618,412641,0.6447266532445408,0.9168841034077451,0.497156400991939,0.47571706090732485,0.02009539135155214,0.02156157184720564,-0.006978779150966008,0.025341969132906428
A2_joint_product,forward,8,CYST_PA62.nii.gz,full_volume,401578,229805,11861265,811748,0.43538357540403394,0.6360291613806517,0.3309728795064146,0.2782685702129606,0.005687857603514035,0.004630064178539395,-0.03603257675843452,0.01516657518259723
A2_joint_product,forward,8,HEM_PA29.nii.gz,full_volume,566139,145877,14355630,845916,0.5330697514348626,0.7951211770522011,0.4009326832170135,0.3633913418557421,0.011477706313422487,0.01058476813551018,-0.005200846391926084,0.014073106217533993
A2_joint_product,forward,8,HEP_PA28.nii.gz,full_volume,430528,175178,6793607,477842,0.568700646466888,0.7107870815213981,0.4739566476215639,0.3973317287282151,0.013635317865569374,0.013186106376983642,-0.027656877415645376,0.029310743419531715
A2_joint_product,forward,8,HEM_PA107.nii.gz,full_volume,420835,50933,11727668,399780,0.6512543108351008,0.8920380356446389,0.5128287930393668,0.4828592343737809,0.026623048942112093,0.02870374531366171,-0.03182484691407217,0.04101436118033425
