source,action,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
world_pairwise,all,CYST_PA62.nii.gz,background,4,2,0.9979150784085106,0.5104896128177643,0.989798251897283,0.9999775657092487,0.10933528769787625
joint_product,all,CYST_PA62.nii.gz,overall,4,2,0.9875421877260562,0.2636147290468216,0.9684461834070301,0.9995882308183014,0.25293406025841797
joint_product,all,CYST_PA62.nii.gz,foreground,4,2,0.5915974529727706,0.006083508487790823,0.38236710347020675,0.5050829729069691,-0.20029807836664926
joint_product,all,CYST_PA62.nii.gz,background,4,2,0.9979150784085106,0.2709489166736603,0.9969275312070005,0.9999935673542641,0.11092672213314676
confidence_rank,blur,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.5186796188354492,0.9993175690377952,0.9999996651419221,0.054131470930359554
confidence_rank,blur,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.0435076467692852,0.46369072767596964,0.5771627240546116,-0.06024905081807643
confidence_rank,blur,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.5000000596046448,0.9655485007744017,0.9994897066014139,0.26552415781000976
confidence_rank,gamma,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.5186796188354492,0.9993175690377952,0.9999996651419221,0.054131470930359554
confidence_rank,gamma,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.0435076467692852,0.46369072767596964,0.5771627240546116,-0.06024905081807643
confidence_rank,gamma,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.5000000596046448,0.9655485007744017,0.9994897066014139,0.26552415781000976
joint_product,blur,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.26729191839694977,0.9990108143422919,0.999999514568509,0.05409805259646663
joint_product,blur,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.006529228761792183,0.35056889541967057,0.5248619289679013,-0.2479554317880709
joint_product,blur,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.2567747235298157,0.946524051443522,0.999166781970344,0.25467301610878773
joint_product,gamma,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.26729191839694977,0.9990108143422919,0.999999514568509,0.05409805259646663
joint_product,gamma,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.006529228761792183,0.35056889541967057,0.5248619289679013,-0.2479554317880709
joint_product,gamma,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.2567747235298157,0.946524051443522,0.999166781970344,0.25467301610878773
world_pairwise,blur,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.5167146921157837,0.9967244044048147,0.9999983896548251,0.053850181565421415
world_pairwise,blur,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.09152292460203171,0.26923014280174334,0.4968182784061146,-0.38292322345764
world_pairwise,blur,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.49999991059303284,0.8349506467078162,0.9959723803599945,0.19103761862173724
world_pairwise,gamma,HEM_PA29.nii.gz,background,2,1,0.999509817183361,0.5167146921157837,0.9967244044048147,0.9999983896548251,0.053850181565421415
world_pairwise,gamma,HEM_PA29.nii.gz,foreground,2,1,0.6433602088784549,0.09152292460203171,0.26923014280174334,0.4968182784061146,-0.38292322345764
world_pairwise,gamma,HEM_PA29.nii.gz,overall,2,1,0.9860572814941406,0.49999991059303284,0.8349506467078162,0.9959723803599945,0.19103761862173724
confidence_rank,all,HEM_PA29.nii.gz,overall,4,2,0.9860572814941406,0.5000000596046448,0.9655485007744017,0.9994897066014139,0.26552415781000976
confidence_rank,all,HEM_PA29.nii.gz,foreground,4,2,0.6433602088784549,0.0435076467692852,0.46369072767596964,0.5771627240546116,-0.06024905081807643
confidence_rank,all,HEM_PA29.nii.gz,background,4,2,0.999509817183361,0.5186796188354492,0.9993175690377952,0.9999996651419221,0.054131470930359554
world_pairwise,all,HEM_PA29.nii.gz,overall,4,2,0.9860572814941406,0.49999991059303284,0.8349506467078162,0.9959723803599945,0.19103761862173724
world_pairwise,all,HEM_PA29.nii.gz,foreground,4,2,0.6433602088784549,0.09152292460203171,0.26923014280174334,0.4968182784061146,-0.38292322345764
world_pairwise,all,HEM_PA29.nii.gz,background,4,2,0.999509817183361,0.5167146921157837,0.9967244044048147,0.9999983896548251,0.053850181565421415
joint_product,all,HEM_PA29.nii.gz,overall,4,2,0.9860572814941406,0.2567747235298157,0.946524051443522,0.999166781970344,0.25467301610878773
joint_product,all,HEM_PA29.nii.gz,foreground,4,2,0.6433602088784549,0.006529228761792183,0.35056889541967057,0.5248619289679013,-0.2479554317880709
joint_product,all,HEM_PA29.nii.gz,background,4,2,0.999509817183361,0.26729191839694977,0.9990108143422919,0.999999514568509,0.05409805259646663
confidence_rank,blur,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.5139430165290833,0.9949504906002047,0.9998988562260291,0.1664867110646654
confidence_rank,blur,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.04206050559878349,0.23329674682575446,0.3638929239101814,-0.46182245277510114
confidence_rank,blur,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.5000000596046448,0.974294881031702,0.9991661667335262,0.2623308853221387
confidence_rank,gamma,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.5139430165290833,0.9949504906002047,0.9998988562260291,0.1664867110646654
confidence_rank,gamma,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.04206050559878349,0.23329674682575446,0.3638929239101814,-0.46182245277510114
confidence_rank,gamma,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.5000000596046448,0.974294881031702,0.9991661667335262,0.2623308853221387
joint_product,blur,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.2844940423965454,0.993666794358228,0.9998639443070929,0.1656927261549123
joint_product,blur,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.010620965622365475,0.14967668103967546,0.34272449874181926,-0.6066186475162714
joint_product,blur,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.2760210484266281,0.9616132079672082,0.9986302710534114,0.25481424938759367
joint_product,gamma,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.2844940423965454,0.993666794358228,0.9998639443070929,0.1656927261549123
joint_product,gamma,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.010620965622365475,0.14967668103967546,0.34272449874181926,-0.6066186475162714
joint_product,gamma,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.2760210484266281,0.9616132079672082,0.9986302710534114,0.25481424938759367
world_pairwise,blur,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.5122055113315582,0.9557592802987022,0.9951449930113135,0.14632905895912796
world_pairwise,blur,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.09912262111902237,0.11417415641078721,0.3320236731117276,-0.6680946963805101
world_pairwise,blur,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.4999999403953552,0.8783841770090954,0.9911115563157009,0.20836838683543507
world_pairwise,gamma,HEP_PA28.nii.gz,background,2,2,0.9875476349971308,0.5122055113315582,0.9557592802987022,0.9951449930113135,0.14632905895912796
world_pairwise,gamma,HEP_PA28.nii.gz,foreground,2,1,0.511450682314948,0.09912262111902237,0.11417415641078721,0.3320236731117276,-0.6680946963805101
world_pairwise,gamma,HEP_PA28.nii.gz,overall,2,2,0.9735859058521412,0.4999999403953552,0.8783841770090954,0.9911115563157009,0.20836838683543507
confidence_rank,all,HEP_PA28.nii.gz,overall,4,4,0.9735859058521412,0.5000000596046448,0.974294881031702,0.9991661667335262,0.2623308853221387
confidence_rank,all,HEP_PA28.nii.gz,foreground,4,2,0.511450682314948,0.04206050559878349,0.23329674682575446,0.3638929239101814,-0.46182245277510114
confidence_rank,all,HEP_PA28.nii.gz,background,4,4,0.9875476349971308,0.5139430165290833,0.9949504906002047,0.9998988562260291,0.1664867110646654
world_pairwise,all,HEP_PA28.nii.gz,overall,4,4,0.9735859058521412,0.4999999403953552,0.8783841770090954,0.9911115563157009,0.20836838683543507
world_pairwise,all,HEP_PA28.nii.gz,foreground,4,2,0.511450682314948,0.09912262111902237,0.11417415641078721,0.3320236731117276,-0.6680946963805101
world_pairwise,all,HEP_PA28.nii.gz,background,4,4,0.9875476349971308,0.5122055113315582,0.9557592802987022,0.9951449930113135,0.14632905895912796
joint_product,all,HEP_PA28.nii.gz,overall,4,4,0.9735859058521412,0.2760210484266281,0.9616132079672082,0.9986302710534114,0.25481424938759367
joint_product,all,HEP_PA28.nii.gz,foreground,4,2,0.511450682314948,0.010620965622365475,0.14967668103967546,0.34272449874181926,-0.6066186475162714
joint_product,all,HEP_PA28.nii.gz,background,4,4,0.9875476349971308,0.2844940423965454,0.993666794358228,0.9998639443070929,0.1656927261549123
confidence_rank,blur,HEM_PA107.nii.gz,background,2,1,0.9992431878495813,0.5083922147750854,0.9973922984893143,0.9999980167887982,0.06698412919313215
confidence_rank,blur,HEM_PA107.nii.gz,foreground,2,1,0.8403883688260669,0.024497011676430702,0.7068809032503335,0.9031756397024421,0.26247223344795195
confidence_rank,blur,HEM_PA107.nii.gz,overall,2,1,0.9965480521873191,0.5000000596046448,0.9879605848406531,0.9999575605499028,0.13996518525477702
confidence_rank,gamma,HEM_PA107.nii.gz,background,2,1,0.9992431878495813,0.5083922147750854,0.9973922984893143,0.9999980167887982,0.06698412919313215
