case,patch_index,patch_kind,action,action_strength,wrong_type_action,wrong_type_strength,true_shift_norm,conditioned_shift_norm,same_model_no_action_shift_norm,matched_wrong_shift_norm,conditioned_vs_same_model_no_action_distance,gamma_vs_blur_conditioned_distance,conditioned_state_mse,same_model_no_action_state_mse,matched_wrong_state_mse,correct_vs_same_model_no_action_margin,correct_vs_matched_wrong_margin,conditioned_delta_cosine,same_model_no_action_delta_cosine,matched_wrong_delta_cosine,conditioned_delta_cosine_valid,same_model_no_action_delta_cosine_valid,matched_wrong_delta_cosine_valid,magnitude_ratio_conditioned,magnitude_ratio_conditioned_valid,repeat_forward_distance
HEM_PA107.nii.gz,1,context,blur,1.5,gamma,0.3,889.5537109375,341.130615234375,233.40707397460938,14.15542221069336,0.08336657285690308,0.17101994156837463,0.18977075815200806,0.19126705825328827,0.1990874707698822,0.0014963001012802124,0.009316712617874146,0.2506793737411499,0.20298509299755096,-0.04459996148943901,True,True,True,0.3834851241021272,True,0.0
HEM_PA107.nii.gz,2,foreground,gamma,0.3,blur,1.5,396.5439453125,16.650541305541992,220.8841552734375,337.73486328125,0.10980614274740219,0.16890813410282135,0.03933936730027199,0.05275595560669899,0.07091106474399567,0.013416588306427002,0.03157169744372368,0.06830890476703644,-0.022839434444904327,-0.041093915700912476,True,True,True,0.041989145219252774,True,0.0
HEM_PA107.nii.gz,2,foreground,blur,1.5,gamma,0.3,959.3858642578125,337.73486328125,220.8841552734375,16.650541305541992,0.08662787079811096,0.16890813410282135,0.21484681963920593,0.21820789575576782,0.23139798641204834,0.0033610761165618896,0.016551166772842407,0.27639496326446533,0.23702473938465118,-0.017811717465519905,True,True,True,0.3520323530538195,True,0.0
HEM_PA107.nii.gz,3,context_fill,gamma,0.3,blur,1.5,362.4449462890625,15.221320152282715,316.7855529785156,388.5935363769531,0.1585915982723236,0.1948825567960739,0.0330340750515461,0.06409240514039993,0.07873015105724335,0.031058330088853836,0.04569607600569725,0.007165913004428148,-0.10212936252355576,-0.11032813042402267,True,True,True,0.04199622675975507,True,0.0
HEM_PA107.nii.gz,3,context_fill,blur,1.5,gamma,0.3,1024.0042724609375,388.5935363769531,316.7855529785156,15.221320152282715,0.07342130690813065,0.1948825567960739,0.27224358916282654,0.2680959105491638,0.26333844661712646,-0.00414767861366272,-0.008905142545700073,0.14538390934467316,0.12571939826011658,0.012313008308410645,True,True,True,0.37948429203626854,True,0.0
HEM_PA81.nii.gz,0,context,gamma,0.3,blur,1.5,397.7773742675781,18.846406936645508,287.0417785644531,328.47296142578125,0.14269758760929108,0.16365185379981995,0.03975675255060196,0.061092060059309006,0.06798028945922852,0.021335307508707047,0.028223536908626556,0.0198748130351305,-0.01141513604670763,-0.017333008348941803,True,True,True,0.047379283377661015,True,0.0
HEM_PA81.nii.gz,0,context,blur,1.5,gamma,0.3,801.1554565429688,328.47296142578125,287.0417785644531,18.846406936645508,0.055547889322042465,0.16365185379981995,0.16406290233135223,0.16314272582530975,0.16104896366596222,-0.0009201765060424805,-0.0030139386653900146,0.18346185982227325,0.1624613106250763,0.03374653682112694,True,True,True,0.4099990317024872,True,0.0
HEM_PA81.nii.gz,1,context,gamma,0.3,blur,1.5,434.7108459472656,18.045331954956055,307.29925537109375,364.0712890625,0.15322382748126984,0.18192143738269806,0.04761862754821777,0.09048549830913544,0.10491704195737839,0.042866870760917664,0.057298414409160614,-0.018194913864135742,-0.2876216471195221,-0.30387523770332336,True,True,True,0.04151111508532529,True,0.0
HEM_PA81.nii.gz,1,context,blur,1.5,gamma,0.3,2546.796875,364.0712890625,307.29925537109375,18.045331954956055,0.06365622580051422,0.18192143738269806,1.3359570503234863,1.3764948844909668,1.627553105354309,0.04053783416748047,0.29159605503082275,0.7009480595588684,0.7029839754104614,0.07292523235082626,True,True,True,0.1429526212460505,True,0.0
HEM_PA81.nii.gz,2,foreground,gamma,0.3,blur,1.5,769.0802001953125,15.500325202941895,205.3949737548828,311.3962097167969,0.10201071947813034,0.15572898089885712,0.14790648221969604,0.12804937362670898,0.13214892148971558,-0.01985710859298706,-0.01575756072998047,0.12007036060094833,0.3920702636241913,0.33890077471733093,True,True,True,0.020154367774655353,True,0.0
