source,action,case,region,count,mean,median,p10,p50,p90
confidence_rank,blur,HEM_PA107.nii.gz,FN,38517,0.016232514972621473,0.015,0.005,0.015,0.035
confidence_rank,blur,HEM_PA107.nii.gz,FP,10348,0.012340502536932552,0.005,0.005,0.005,0.025
confidence_rank,blur,HEM_PA107.nii.gz,TN,13904111,0.5086157379453891,0.505,0.235,0.505,0.805
confidence_rank,blur,HEM_PA107.nii.gz,TP,202800,0.026066653661134802,0.025,0.005,0.025,0.045
confidence_rank,gamma,HEM_PA107.nii.gz,FN,38517,0.016232514972621473,0.015,0.005,0.015,0.035
confidence_rank,gamma,HEM_PA107.nii.gz,FP,10348,0.012340502536932552,0.005,0.005,0.005,0.025
confidence_rank,gamma,HEM_PA107.nii.gz,TN,13904111,0.5086157379453891,0.505,0.235,0.505,0.805
confidence_rank,gamma,HEM_PA107.nii.gz,TP,202800,0.026066653661134802,0.025,0.005,0.025,0.045
joint_product,blur,HEM_PA107.nii.gz,FN,38517,0.0020734643466247694,0.005,0.005,0.005,0.005
joint_product,blur,HEM_PA107.nii.gz,FP,10348,0.0014506094709095393,0.005,0.005,0.005,0.005
joint_product,blur,HEM_PA107.nii.gz,TN,13904111,0.25962309817391416,0.215,0.045,0.215,0.485
joint_product,blur,HEM_PA107.nii.gz,TP,202800,0.00239324128372682,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA107.nii.gz,FN,38517,0.0020734643466247694,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA107.nii.gz,FP,10348,0.0014506094709095393,0.005,0.005,0.005,0.005
joint_product,gamma,HEM_PA107.nii.gz,TN,13904111,0.25962309817391416,0.215,0.045,0.215,0.485
joint_product,gamma,HEM_PA107.nii.gz,TP,202800,0.00239324128372682,0.005,0.005,0.005,0.005
world_pairwise,blur,HEM_PA107.nii.gz,FN,38517,0.0706089283582079,0.025,0.005,0.025,0.215
world_pairwise,blur,HEM_PA107.nii.gz,FP,10348,0.06171173672326799,0.015,0.005,0.015,0.165
world_pairwise,blur,HEM_PA107.nii.gz,TN,13904111,0.5078749180681971,0.505,0.115,0.505,0.905
world_pairwise,blur,HEM_PA107.nii.gz,TP,202800,0.0640016180732429,0.025,0.005,0.025,0.145
world_pairwise,gamma,HEM_PA107.nii.gz,FN,38517,0.0706089283582079,0.025,0.005,0.025,0.215
world_pairwise,gamma,HEM_PA107.nii.gz,FP,10348,0.06171173672326799,0.015,0.005,0.015,0.165
world_pairwise,gamma,HEM_PA107.nii.gz,TN,13904111,0.5078749180681971,0.505,0.115,0.505,0.905
world_pairwise,gamma,HEM_PA107.nii.gz,TP,202800,0.0640016180732429,0.025,0.005,0.025,0.145
confidence_rank,all,HEM_PA107.nii.gz,TP,405600,0.026066653661134802,0.025,0.005,0.025,0.045
confidence_rank,all,HEM_PA107.nii.gz,FP,20696,0.012340502536932552,0.005,0.005,0.005,0.025
confidence_rank,all,HEM_PA107.nii.gz,TN,27808222,0.5086157379453891,0.505,0.235,0.505,0.805
confidence_rank,all,HEM_PA107.nii.gz,FN,77034,0.016232514972621473,0.015,0.005,0.015,0.035
world_pairwise,all,HEM_PA107.nii.gz,TP,405600,0.0640016180732429,0.025,0.005,0.025,0.145
world_pairwise,all,HEM_PA107.nii.gz,FP,20696,0.06171173672326799,0.015,0.005,0.015,0.165
world_pairwise,all,HEM_PA107.nii.gz,TN,27808222,0.5078749180681971,0.505,0.115,0.505,0.905
world_pairwise,all,HEM_PA107.nii.gz,FN,77034,0.0706089283582079,0.025,0.005,0.025,0.215
