source,action,case,scope,decile,voxel_count,reliability_mean,pseudo_label_accuracy,aggregation
joint_product,gamma,CYST_PA62.nii.gz,overall,8,285752,0.7508373319753932,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,9,303423,0.8509107585423948,1.0,case_voxel_bins
joint_product,gamma,CYST_PA62.nii.gz,overall,10,260124,0.9439538217640706,1.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,1,1146134,0.05485090852395539,0.9764966400089344,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,2,1386677,0.15013811257117818,0.999442552230981,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,3,1397783,0.25001969297131466,0.9998147065746257,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,4,1398121,0.34998565168242185,0.9999842645951245,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,5,1407621,0.45000483366034005,0.9999971583259982,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,6,1408011,0.549997084541426,0.9999978693348276,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,7,1408118,0.6500001321160763,1.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,8,1411812,0.7500263358579718,1.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,9,1414820,0.8500086988629253,1.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,background,10,1413432,0.9499265226307416,1.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,1,269444,0.029365392394486763,0.6774246225560785,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,2,28901,0.14337194085529506,0.5056572436939898,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,3,17795,0.248453129640822,0.43737004776622646,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,4,17455,0.3511458467972787,0.4427957605270696,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,5,7956,0.4491234365391815,0.016465560583207643,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,6,7568,0.550525241765739,0.0005285412262156448,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,7,7460,0.649969697326182,0.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,8,3766,0.7401271157136827,0.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,9,758,0.8338161890141882,0.0,case_voxel_bins
world_pairwise,blur,CYST_PA62.nii.gz,foreground,10,2144,0.9984306440090955,0.9827425373134329,case_voxel_bins
