variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A0_confidence_rank,forward,12,HCC_10074592_20130816.nii.gz,full_volume,257275,64674,3868191,9860,0.8734747506297913,0.7991172514901429,0.9630898234974825,0.7753707705336503
A0_confidence_rank,forward,12,CYST_PA19.nii.gz,full_volume,242515,31798,5681143,29688,0.8874946021708422,0.8840813231600398,0.8909343394451935,0.797744086368137
A0_confidence_rank,forward,12,HEM_PA13.nii.gz,full_volume,390666,58353,5751617,44194,0.8839807258685861,0.8700433611940698,0.8983718898036149,0.7920837447512535
A0_confidence_rank,forward,16,HEM_PA81.nii.gz,full_volume,1119773,272324,13470485,422666,0.7631686917454753,0.8043785741941833,0.7259755491140979,0.6170353925002879
A0_confidence_rank,forward,16,HEM_PA89.nii.gz,full_volume,502749,162255,6922491,155478,0.7598809278198592,0.7560089864121118,0.7637927341175612,0.6127483601102767
A0_confidence_rank,forward,16,HEM_PA101.nii.gz,full_volume,803152,161284,13275108,216646,0.8095335529982854,0.8327685818447258,0.7875598893114126,0.6800137501037185
A0_confidence_rank,forward,16,HCC_10020116_20180118.nii.gz,full_volume,233909,84426,2962479,23734,0.8122150498803774,0.734788823095167,0.9078802839588113,0.6838064834872496
A0_confidence_rank,forward,16,MET_PA13.nii.gz,full_volume,209407,35576,5066052,18693,0.8852865142057524,0.8547817603670459,0.9180491012713722,0.7941830124850195
A0_confidence_rank,forward,16,HCC_10074592_20130816.nii.gz,full_volume,258280,69729,3863136,8855,0.8679580068017152,0.7874174184244944,0.966851966234301,0.7667189132706375
A0_confidence_rank,forward,16,CYST_PA19.nii.gz,full_volume,243985,34329,5678612,28218,0.886384979937041,0.8766537076826894,0.8963347207782427,0.7959527879634101
A0_confidence_rank,forward,16,HEM_PA13.nii.gz,full_volume,395227,64064,5745906,39633,0.8840274181877558,0.8605154466340512,0.9088603228625305,0.7921587255774426
A0_confidence_rank,forward,20,HEM_PA81.nii.gz,full_volume,1192035,345847,13396962,350404,0.7739680377467154,0.7751147357209461,0.7728247275905238,0.6312788422940169
A0_confidence_rank,forward,20,HEM_PA89.nii.gz,full_volume,514073,203631,6881115,144154,0.7472365983468647,0.7162743972445464,0.7809965255147541,0.5964706482970512
A0_confidence_rank,forward,20,HEM_PA101.nii.gz,full_volume,824035,188904,13247488,195763,0.8107640093135512,0.813509006958958,0.8080374740880056,0.6817519951154213
A0_confidence_rank,forward,20,HCC_10020116_20180118.nii.gz,full_volume,238272,92619,2954286,19371,0.8097136274199961,0.7200921149260633,0.9248145689966348,0.6802679137331483
A0_confidence_rank,forward,20,MET_PA13.nii.gz,full_volume,214648,40085,5061543,13452,0.889119012163626,0.842639155507924,0.9410258658483122,0.8003728769319686
A0_confidence_rank,forward,20,HCC_10074592_20130816.nii.gz,full_volume,259443,76801,3856064,7692,0.8599669527776075,0.7715914633420968,0.9712055702173058,0.7543351088574618
A0_confidence_rank,forward,20,CYST_PA19.nii.gz,full_volume,245816,37774,5675167,26387,0.8845595392529233,0.8668006629288761,0.9030613182073673,0.7930136752081606
A0_confidence_rank,forward,20,HEM_PA13.nii.gz,full_volume,400491,72528,5737442,34369,0.8822563359214168,0.8466700069130415,0.9209653681644667,0.7893190221290216
A0_confidence_rank,reverse,20,HEM_PA81.nii.gz,full_volume,1202461,360267,13382542,339978,0.774490389727831,0.7694627599940617,0.7795841521123363,0.6319741462948033
A0_confidence_rank,reverse,20,HEM_PA89.nii.gz,full_volume,514856,208074,6876672,143371,0.7455430483283219,0.7121796024511363,0.782186084739763,0.5943153707545068
A0_confidence_rank,reverse,20,HEM_PA101.nii.gz,full_volume,827157,194907,13241485,192641,0.8101987303745307,0.8093005917437656,0.8110988646771223,0.680952988585706
