case,target_prompt,action,n_patches,real_change_rate,predicted_change_rate,change_direction_cosine,relative_target_nmse,correct_nmse_improvement_vs_source_pct,correct_nmse_improvement_vs_wrong_spleen_pct,correct_nmse_improvement_vs_wrong_left_kidney_pct,correct_nmse_improvement_vs_wrong_right_kidney_pct
HEM_PA101.nii.gz,the liver,source_identity,4,0.07460489589720964,0.0,,0.00635855586733669,,,,
HEM_PA101.nii.gz,the liver,wrong_left_kidney,4,0.07460489589720964,0.07499297708272934,0.44259943068027496,0.006349025294184685,,,,
HEM_PA101.nii.gz,the liver,wrong_right_kidney,4,0.07460489589720964,0.09313200041651726,0.31761031970381737,0.009807151451241225,,,,
HEM_PA101.nii.gz,the liver,wrong_spleen,4,0.07460489589720964,0.0646546958014369,0.7960861474275589,0.0015315224882215261,,,,
HEM_PA107.nii.gz,hepatic organ,correct_action,4,0.1735093705356121,0.17398732155561447,0.9765081256628036,0.0013807273062411696,95.98942924858885,95.86816583512234,94.53251238083575,91.62924176455124
HEM_PA107.nii.gz,hepatic organ,source_identity,4,0.1735093705356121,0.0,,0.03442720230668783,,,,
HEM_PA107.nii.gz,hepatic organ,wrong_left_kidney,4,0.1735093705356121,0.07743105385452509,0.5583165213465691,0.02525341440923512,,,,
HEM_PA107.nii.gz,hepatic organ,wrong_right_kidney,4,0.1735093705356121,0.09158439375460148,0.798459991812706,0.01649465039372444,,,,
HEM_PA107.nii.gz,hepatic organ,wrong_spleen,4,0.1735093705356121,0.06559863593429327,0.2660597041249275,0.03341681323945522,,,,
HEM_PA107.nii.gz,human liver,correct_action,4,0.1420931238681078,0.1422019861638546,0.9734188467264175,0.0010137966455658898,95.73406664416602,95.25309258666502,90.19045256499547,94.82695276224943
HEM_PA107.nii.gz,human liver,source_identity,4,0.1420931238681078,0.0,,0.02376494335476309,,,,
HEM_PA107.nii.gz,human liver,wrong_left_kidney,4,0.1420931238681078,0.07743105385452509,0.7818295508623123,0.010334795282687992,,,,
HEM_PA107.nii.gz,human liver,wrong_right_kidney,4,0.1420931238681078,0.09158439375460148,0.45439911633729935,0.01959766843356192,,,,
HEM_PA107.nii.gz,human liver,wrong_spleen,4,0.1420931238681078,0.06559863593429327,0.40065231174230576,0.02135699219070375,,,,
HEM_PA107.nii.gz,the liver,correct_action,4,0.07623295113444328,0.07277614250779152,0.9267527163028717,0.000592089505516924,91.13224947296837,61.4152618229299,91.37131058944723,93.53313615201998
HEM_PA107.nii.gz,the liver,source_identity,4,0.07623295113444328,0.0,,0.006676885008346289,,,,
HEM_PA107.nii.gz,the liver,wrong_left_kidney,4,0.07623295113444328,0.07743105385452509,0.4400850459933281,0.006861870642751455,,,,
HEM_PA107.nii.gz,the liver,wrong_right_kidney,4,0.07623295113444328,0.09158439375460148,0.3476852923631668,0.009155744104646146,,,,
HEM_PA107.nii.gz,the liver,wrong_spleen,4,0.07623295113444328,0.06559863593429327,0.8161999583244324,0.0015345173596870154,,,,
HEM_PA29.nii.gz,hepatic organ,correct_action,4,0.1988852173089981,0.20739613845944405,0.9491747915744781,0.0063870691155898385,85.7998662156247,83.74091454482308,77.66245371111026,68.03461848637146
HEM_PA29.nii.gz,hepatic organ,source_identity,4,0.1988852173089981,0.0,,0.044978936202824116,,,,
HEM_PA29.nii.gz,hepatic organ,wrong_left_kidney,4,0.1988852173089981,0.09751211479306221,0.6143203526735306,0.028593423077836633,,,,
HEM_PA29.nii.gz,hepatic organ,wrong_right_kidney,4,0.1988852173089981,0.1359306825324893,0.7961594611406326,0.01998120720963925,,,,
HEM_PA29.nii.gz,hepatic organ,wrong_spleen,4,0.1988852173089981,0.07598112616688013,0.29984983429312706,0.039283077348954976,,,,
HEM_PA29.nii.gz,human liver,correct_action,4,0.15395571663975716,0.16367474757134914,0.9366556107997894,0.004885651447693817,82.17547481912901,80.24584353849846,62.1132993805429,83.55762622043139
HEM_PA29.nii.gz,human liver,source_identity,4,0.15395571663975716,0.0,,0.027409714413806796,,,,
HEM_PA29.nii.gz,human liver,wrong_left_kidney,4,0.15395571663975716,0.09751211479306221,0.7357090264558792,0.012895426014438272,,,,
HEM_PA29.nii.gz,human liver,wrong_right_kidney,4,0.15395571663975716,0.1359306825324893,0.44647733122110367,0.0297137841116637,,,,
HEM_PA29.nii.gz,human liver,wrong_spleen,4,0.15395571663975716,0.07598112616688013,0.34929174929857254,0.02473227068549022,,,,
HEM_PA29.nii.gz,the liver,correct_action,4,0.10124689247459173,0.08287909720093012,0.8910807371139526,0.0028480951150413603,75.38890413274297,51.99159769831577,82.43022156346731,90.21396006387263
HEM_PA29.nii.gz,the liver,source_identity,4,0.10124689247459173,0.0,,0.011572402669116855,,,,
HEM_PA29.nii.gz,the liver,wrong_left_kidney,4,0.10124689247459173,0.09751211479306221,0.2840097015723586,0.01621019368758425,,,,
HEM_PA29.nii.gz,the liver,wrong_right_kidney,4,0.10124689247459173,0.1359306825324893,0.13926289603114128,0.0291036530979909,,,,
HEM_PA29.nii.gz,the liver,wrong_spleen,4,0.10124689247459173,0.07598112616688013,0.7188403755426407,0.005932493018917739,,,,
HEM_PA81.nii.gz,hepatic organ,correct_action,4,0.21194799430668354,0.19768941961228848,0.957384780049324,0.004702025995356962,91.07666615325768,90.12655766231272,86.03299077563702,77.93373548709144
