variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,foreground_dice,pseudo_label_method,delta_dice_vs_A_init,delta_iou_vs_A_init
B_source_hard_pseudo,full_window_case_balanced,30,HEM_PA81.nii.gz,full_volume,1254963,478251,13264558,287476,0.766236838883728,0.7240669646102559,0.8136224511958009,0.6210566687616607,0.6210566687616607,0.766236838883728,source_hard,0.03473175747897295,0.044385000092433735
B_source_hard_pseudo,full_window_case_balanced,30,HEM_PA89.nii.gz,full_volume,533624,237157,6847589,124603,0.7468453640567443,0.6923159756143444,0.8106990445545382,0.5959722309087497,0.5959722309087497,0.7468453640567443,source_hard,-0.007255774213564936,-0.009294505769526729
B_source_hard_pseudo,full_window_case_balanced,30,HEM_PA101.nii.gz,full_volume,872160,263457,13172935,147638,0.8092733881874257,0.768005410274767,0.8552281922498377,0.6796466797323992,0.6796466797323992,0.8092733881874257,source_hard,0.010555896955317778,0.014759373538853815
B_source_hard_pseudo,full_window_case_balanced,30,HCC_10020116_20180118.nii.gz,full_volume,242479,115028,2931877,15164,0.7883573112249045,0.6782496566500795,0.9411433650438785,0.6506516471633156,0.6506516471633156,0.7883573112249045,source_hard,-0.019051689063028898,-0.02636922628187255
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,CYST_PA62.nii.gz,full_volume,385442,213554,11877516,827884,0.4253570833439091,0.6434800900172956,0.31767389802905405,0.27012923301188607,0.27012923301188607,0.4253570833439091,uncertainty_weighted_soft,-0.004019767926174367,-0.0032507000530880292
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,HEM_PA29.nii.gz,full_volume,547819,138107,14363400,864236,0.5222344720948379,0.7986561232552782,0.3879586843288682,0.35339467745951714,0.35339467745951714,0.5222344720948379,uncertainty_weighted_soft,0.0009334619822491952,0.0008543608178720463
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,HEP_PA28.nii.gz,full_volume,414124,159704,6809081,494246,0.5587971377643203,0.7216866378078448,0.4558979270561555,0.38772968914138906,0.38772968914138906,0.5587971377643203,uncertainty_weighted_soft,0.008651869846848737,0.008281144577714672
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,HEM_PA107.nii.gz,full_volume,411349,42921,11735680,409266,0.6453115379034188,0.9055165430250732,0.5012691700736642,0.4763541994774972,0.4763541994774972,0.6453115379034188,uncertainty_weighted_soft,0.021134496989096863,0.022678792483906085
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,HEM_PA81.nii.gz,full_volume,992289,167274,13575535,550150,0.7344842823950537,0.8557439311188784,0.6433246306661073,0.5803833742856257,0.5803833742856257,0.7344842823950537,uncertainty_weighted_soft,0.0029792009902986916,0.003711705616398775
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,30,HEM_PA89.nii.gz,full_volume,480984,136436,6948310,177243,0.7541020360648362,0.779022383466684,0.7307266338208551,0.6052678934340721,0.6052678934340721,0.7541020360648362,uncertainty_weighted_soft,8.977945269439402e-07,1.1567557955949326e-06
