table,scope,case,action,comparison_group,layer,patch_count,normalized_mse_to_real_action,delta_cosine_to_real_action,magnitude_ratio_to_real_action,probability_mse_to_real_oracle,probability_mae_to_real_oracle,logits_mse_to_real_oracle,mask_dice_to_real_oracle,mask_iou_to_real_oracle
final,foreground,,gamma,wrong_action_wp,,14,,,,0.003409460386527436,0.0072010390161137494,1.8429802464587348,0.9019865805719892,0.8239428415981328
encoder,foreground,,gamma,real_action_oracle,encoder_stage_2,14,0.0,0.9999989484037671,1.0,,,,,
encoder,foreground,,gamma,real_action_oracle,encoder_stage_3,14,0.0,0.9999997743538448,1.0,,,,,
encoder,foreground,,gamma,real_action_oracle,encoder_stage_4,14,0.0,1.0000000298023224,1.0,,,,,
encoder,foreground,,gamma,real_action_oracle,encoder_stage_5,14,0.0,0.9999999829701015,1.0,,,,,
encoder,foreground,,gamma,real_action_oracle,encoder_bottleneck_deepest,14,0.0,0.9999999914850507,1.0,,,,,
final,foreground,,gamma,real_action_oracle,,14,,,,0.0,0.0,0.0,1.0,1.0
encoder,foreground,,blur,identity_source,encoder_stage_2,14,0.22880190078701293,,0.0,,,,,
encoder,foreground,,blur,identity_source,encoder_stage_3,14,0.15414284276110785,,0.0,,,,,
encoder,foreground,,blur,identity_source,encoder_stage_4,14,0.13225477880665235,,0.0,,,,,
encoder,foreground,,blur,identity_source,encoder_stage_5,14,0.14970293162124498,,0.0,,,,,
encoder,foreground,,blur,identity_source,encoder_bottleneck_deepest,14,0.11631499603390694,,0.0,,,,,
final,foreground,,blur,identity_source,,14,,,,0.008569495053961873,0.013690479399104203,3.768231579235622,0.7807694997544032,0.6480199146708042
encoder,foreground,,blur,correct_action_wp,encoder_stage_2,14,0.15938622398035868,0.5541580872876304,0.608170109135764,,,,,
encoder,foreground,,blur,correct_action_wp,encoder_stage_3,14,0.13946597490991866,0.31156064782823834,0.3509771355560848,,,,,
encoder,foreground,,blur,correct_action_wp,encoder_stage_4,14,0.12870122332658088,0.1708223351410457,0.2262057704584939,,,,,
encoder,foreground,,blur,correct_action_wp,encoder_stage_5,14,0.14779844667230332,0.1356072574853897,0.2070427813700267,,,,,
encoder,foreground,,blur,correct_action_wp,encoder_bottleneck_deepest,14,0.11608190621648516,0.04576515635874655,0.03996996767818928,,,,,
final,foreground,,blur,correct_action_wp,,14,,,,0.007865294481494598,0.012893522856757045,3.5463145886148726,0.7926405587104604,0.6646293097846739
encoder,foreground,,blur,wrong_action_wp,encoder_stage_2,14,0.23175263085535594,-0.027209210508902158,0.09023152504648481,,,,,
encoder,foreground,,blur,wrong_action_wp,encoder_stage_3,14,0.15519346296787262,-0.051601871981152465,0.045805339834519794,,,,,
encoder,foreground,,blur,wrong_action_wp,encoder_stage_4,14,0.13259479935680116,-0.021273172992680753,0.03379028756171465,,,,,
encoder,foreground,,blur,wrong_action_wp,encoder_stage_5,14,0.1496957109442779,0.010385585657786578,0.017837578696863993,,,,,
encoder,foreground,,blur,wrong_action_wp,encoder_bottleneck_deepest,14,0.11608190621648516,0.04576515635874655,0.03996996767818928,,,,,
final,foreground,,blur,wrong_action_wp,,14,,,,0.008562928431534342,0.01369868145723428,3.7742314679282054,0.7808786503520297,0.6481923662014449
encoder,foreground,,blur,real_action_oracle,encoder_stage_2,14,0.0,0.9999998893056598,1.0,,,,,
encoder,foreground,,blur,real_action_oracle,encoder_stage_3,14,0.0,0.999999885048185,1.0,,,,,
encoder,foreground,,blur,real_action_oracle,encoder_stage_4,14,0.0,0.9999999489103045,1.0,,,,,
encoder,foreground,,blur,real_action_oracle,encoder_stage_5,14,0.0,1.0000000298023224,1.0,,,,,
encoder,foreground,,blur,real_action_oracle,encoder_bottleneck_deepest,14,0.0,1.0000000383172716,1.0,,,,,
final,foreground,,blur,real_action_oracle,,14,,,,0.0,0.0,0.0,1.0,1.0
encoder,context,,gamma,identity_source,encoder_stage_2,18,0.020329879803789988,,0.0,,,,,
encoder,context,,gamma,identity_source,encoder_stage_3,18,0.01695267069670889,,0.0,,,,,
encoder,context,,gamma,identity_source,encoder_stage_4,18,0.020690631224877305,,0.0,,,,,
encoder,context,,gamma,identity_source,encoder_stage_5,18,0.020363532317181427,,0.0,,,,,
encoder,context,,gamma,identity_source,encoder_bottleneck_deepest,18,0.016117340833362605,,0.0,,,,,
final,context,,gamma,identity_source,,18,,,,0.0002621670220024599,0.000695914282712714,1.94159427864684,0.9777495655674086,0.9582294796714089
encoder,context,,gamma,correct_action_wp,encoder_stage_2,18,0.020252179250948958,0.1622228394779894,0.31678449279732174,,,,,
encoder,context,,gamma,correct_action_wp,encoder_stage_3,18,0.01693892204720113,0.08233475022845799,0.15834100213315752,,,,,
encoder,context,,gamma,correct_action_wp,encoder_stage_4,18,0.02073911453286807,0.029787046938306756,0.09193341164953178,,,,,
encoder,context,,gamma,correct_action_wp,encoder_stage_5,18,0.020402656816360023,0.002882100292481482,0.05098383314907551,,,,,
