case_id,case,patch_index,patch_kind,action,layer,feature_shape,mse,normalized_mse,delta_norm,relative_delta,predicted_delta_norm,real_delta_norm,magnitude_ratio,cosine_similarity
HEM_PA81.nii.gz,HEM_PA81.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,0.8770820498466492,0.12397383153438568,156.92893981933594,0.07922492571672612,156.92893981933594,689.0499877929688,0.22774681459901083,0.06670210510492325
HEM_PA81.nii.gz,HEM_PA81.nii.gz,2,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,0.9699848294258118,0.09462381899356842,11.366189002990723,0.01349717201469512,11.366189002990723,258.859130859375,0.043908781449032194,0.015615008771419525
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,gamma,encoder_stage_2,1x64x96x96x96,0.037630654871463776,0.02901175245642662,360.6956481933594,0.04241191946505859,360.6956481933594,1498.255615234375,0.240743731927836,0.22585155069828033
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,gamma,encoder_stage_3,1x128x48x48x48,0.04786749556660652,0.0257948599755764,85.06605529785156,0.01669807564849129,85.06605529785156,824.6827392578125,0.1031500372790732,0.06939401477575302
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,gamma,encoder_stage_4,1x256x24x24x24,0.08944593369960785,0.02987113781273365,40.1585693359375,0.012294434398988757,40.1585693359375,562.6981811523438,0.07136786767943196,0.03756606578826904
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,gamma,encoder_stage_5,1x320x12x12x12,0.26234424114227295,0.03599180653691292,13.537042617797852,0.006788253399239427,13.537042617797852,380.6949462890625,0.03555876627665854,0.0044649881310760975
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.3155653178691864,0.030322492122650146,11.366189002990723,0.013424888820779725,11.366189002990723,146.77806091308594,0.07743792861333117,-0.04162435978651047
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,blur,encoder_stage_2,1x64x96x96x96,0.1726047694683075,0.14378345012664795,2322.62353515625,0.27310260829065947,2322.62353515625,3729.146240234375,0.6228298343725652,0.5500087141990662
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,blur,encoder_stage_3,1x128x48x48x48,0.22212380170822144,0.12402287125587463,700.5933837890625,0.13752326095739056,700.5933837890625,1846.436767578125,0.3794299355877723,0.2921399772167206
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,blur,encoder_stage_4,1x256x24x24x24,0.350354939699173,0.11409907788038254,257.5805969238281,0.07885758391543161,257.5805969238281,1123.270263671875,0.2293131094575753,0.1524149477481842
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,blur,encoder_stage_5,1x320x12x12x12,1.1194216012954712,0.15972988307476044,151.04306030273438,0.07574169606170279,151.04306030273438,784.1434936523438,0.19262170957921704,0.07894198596477509
HEM_PA81.nii.gz,HEM_PA81.nii.gz,3,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.3345022201538086,0.13078171014785767,11.366189002990723,0.013424888820779725,11.366189002990723,304.1408996582031,0.03737145847784422,0.056422047317028046
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,gamma,encoder_stage_2,1x64x96x96x96,0.01672529987990856,0.013911108486354351,346.2122802734375,0.04206573808045142,346.2122802734375,980.3319702148438,0.3531582063957005,0.19722196459770203
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,gamma,encoder_stage_3,1x128x48x48x48,0.019046101719141006,0.010716191492974758,99.70320129394531,0.01987220728559454,99.70320129394531,520.2117919921875,0.19165886438699306,0.10554619878530502
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,gamma,encoder_stage_4,1x256x24x24x24,0.03164353221654892,0.01122604962438345,40.08940124511719,0.012667020756468809,40.08940124511719,332.7773132324219,0.12046915354808914,0.013612799346446991
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,gamma,encoder_stage_5,1x320x12x12x12,0.07076072692871094,0.009868741035461426,13.537042617797852,0.006798770526201047,13.537042617797852,197.0557861328125,0.06869649901411216,-0.021296918392181396
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.08251997828483582,0.008018016815185547,11.366189002990723,0.01348619713223674,11.366189002990723,74.0347900390625,0.15352497112497587,-0.05552081763744354
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,blur,encoder_stage_2,1x64x96x96x96,0.14302663505077362,0.12571215629577637,2186.86328125,0.2657098642895163,2186.86328125,3440.6064453125,0.6356040180734399,0.5662798285484314
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,blur,encoder_stage_3,1x128x48x48x48,0.19933517277240753,0.11344238370656967,684.483154296875,0.13642682430610292,684.483154296875,1763.66796875,0.38810205005991155,0.3136584758758545
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,blur,encoder_stage_4,1x256x24x24x24,0.3015754222869873,0.10268370062112808,224.77830505371094,0.07102304767063655,224.77830505371094,1045.546630859375,0.21498639890308574,0.16261525452136993
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,0.8445796370506287,0.11919387429952621,148.71810913085938,0.07469137282185191,148.71810913085938,704.00927734375,0.21124453031638682,0.2422534078359604
HEM_PA89.nii.gz,HEM_PA89.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.0143725872039795,0.0982985720038414,11.366189002990723,0.01348619713223674,11.366189002990723,265.08099365234375,0.04287817412476425,0.0470762737095356
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,0.025496706366539,0.019241558387875557,354.30059814453125,0.04094656129245312,354.30059814453125,1219.9986572265625,0.29041064598379723,0.19690515100955963
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,0.030738292261958122,0.0165697168558836,92.022216796875,0.01797630706103836,92.022216796875,661.5845336914062,0.13909366393954795,0.09065189957618713
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,0.05173087492585182,0.017630238085985184,40.18949508666992,0.01243700771079167,40.18949508666992,428.4889831542969,0.09379353184489664,0.06228901445865631
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,0.11242551356554031,0.015088948421180248,13.537042617797852,0.006663315031498824,13.537042617797852,249.16371154785156,0.054329912384525066,0.014675856567919254
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,0.12101002037525177,0.011454824358224869,11.366188049316406,0.013307408735226952,11.366188049316406,90.7362060546875,0.1252662916329773,-0.0009516857680864632
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,0.21777024865150452,0.17056219279766083,2444.75439453125,0.282540549423041,2444.75439453125,4144.89599609375,0.5898228560705131,0.5341898202896118
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,0.2722530663013458,0.1507766842842102,698.621826171875,0.1364740049082959,698.621826171875,2078.025146484375,0.33619507798248294,0.32798513770103455
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,0.3992348313331604,0.13104119896888733,291.4850769042969,0.0902027293754644,291.4850769042969,1215.495361328125,0.23980764236385266,0.2110123187303543
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,0.9890167117118835,0.13618482649326324,168.40042114257812,0.08289144750381323,168.40042114257812,770.0555419921875,0.21868607127599454,0.2870871126651764
HEM_PA89.nii.gz,HEM_PA89.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,1.1893466711044312,0.11427236348390579,11.366188049316406,0.013307408735226952,11.366188049316406,287.6641540527344,0.03951200693303193,0.10279721021652222
HEM_PA89.nii.gz,HEM_PA89.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,0.032489288598299026,0.02450520731508732,353.9147033691406,0.04085968991911575,353.9147033691406,1377.669189453125,0.25689382188305265,0.18826110661029816
