case,patch_index,patch_kind,action,probability_mse,probability_mae,logits_mse,mask_dice_vs_real,mask_iou_vs_real,predicted_skip_count
HEM_PA81.nii.gz,1,context,gamma,0.0,0.0,1.4466882944107056,0.0,0.0,6
HEM_PA81.nii.gz,1,context,blur,0.006969451904296875,0.007476806640625,694.74462890625,0.0,0.0,6
HEM_PA81.nii.gz,2,foreground,gamma,0.00817108154296875,0.01474761962890625,4.2786641120910645,0.8771214485168457,0.7811365723609924,6
HEM_PA81.nii.gz,2,foreground,blur,0.0077972412109375,0.013763427734375,2.0207297801971436,0.8588622212409973,0.752636730670929,6
HEM_PA81.nii.gz,3,foreground,gamma,0.0009069442749023438,0.00243377685546875,0.31321731209754944,0.9710558652877808,0.9437400698661804,6
HEM_PA81.nii.gz,3,foreground,blur,0.0031909942626953125,0.006313323974609375,4.707524299621582,0.9253343939781189,0.8610440492630005,6
HEM_PA89.nii.gz,0,context,gamma,0.00019550323486328125,0.0004296302795410156,0.3729078471660614,0.9635074734687805,0.9295845627784729,6
HEM_PA89.nii.gz,0,context,blur,0.001834869384765625,0.002384185791015625,19.10941505432129,0.7898814678192139,0.6527307033538818,6
HEM_PA89.nii.gz,1,context,gamma,0.001102447509765625,0.0029010772705078125,0.20775540173053741,0.9435190558433533,0.8930771946907043,6
HEM_PA89.nii.gz,1,context,blur,0.004302978515625,0.00742340087890625,1.8755431175231934,0.858335554599762,0.7518282532691956,6
HEM_PA89.nii.gz,2,foreground,gamma,0.002620697021484375,0.00604248046875,0.6599571704864502,0.9153677225112915,0.8439429402351379,6
HEM_PA89.nii.gz,2,foreground,blur,0.006542205810546875,0.01154327392578125,5.659802436828613,0.8450574278831482,0.7316878437995911,6
HEM_PA89.nii.gz,3,foreground,gamma,0.000568389892578125,0.002391815185546875,0.18914689123630524,0.9623653292655945,0.9274606704711914,6
HEM_PA89.nii.gz,3,foreground,blur,0.007720947265625,0.0121002197265625,1.620583415031433,0.7574570178985596,0.6096022129058838,6
HEM_PA101.nii.gz,0,context,gamma,0.0,0.0,1.0045853853225708,0.0,0.0,6
HEM_PA101.nii.gz,0,context,blur,0.0,0.0,48.92603302001953,0.0,0.0,6
HEM_PA101.nii.gz,1,context,gamma,0.0,0.0,0.47858691215515137,0.0,0.0,6
HEM_PA101.nii.gz,1,context,blur,0.0,0.0,3.1674370765686035,0.0,0.0,6
HEM_PA101.nii.gz,2,foreground,gamma,0.0037670135498046875,0.00853729248046875,5.841630935668945,0.9147807359695435,0.8429455757141113,6
HEM_PA101.nii.gz,2,foreground,blur,0.008209228515625,0.01268768310546875,1.5880775451660156,0.8402491211891174,0.7245082855224609,6
HEM_PA101.nii.gz,3,foreground,gamma,0.0007338523864746094,0.0024890899658203125,0.2356739640235901,0.9594306945800781,0.9220248460769653,6
HEM_PA101.nii.gz,3,foreground,blur,0.00885772705078125,0.01390838623046875,4.415749549865723,0.7834659218788147,0.6440147161483765,6
HCC_10020116_20180118.nii.gz,0,context,gamma,0.00021123886108398438,0.0003325939178466797,16.05718994140625,0.8805298209190369,0.7865594625473022,6
HCC_10020116_20180118.nii.gz,0,context,blur,0.0027599334716796875,0.0030040740966796875,85.76847076416016,0.2540532946586609,0.14551034569740295,6
HCC_10020116_20180118.nii.gz,1,context,gamma,0.0002510547637939453,0.00089263916015625,0.604324221611023,0.9700793027877808,0.9418970942497253,6
HCC_10020116_20180118.nii.gz,1,context,blur,0.0016632080078125,0.002910614013671875,0.8938419818878174,0.9023987650871277,0.8221553564071655,6
HCC_10020116_20180118.nii.gz,2,foreground,gamma,0.0005092620849609375,0.0018548965454101562,0.11138137429952621,0.9682775139808655,0.9385058283805847,6
HCC_10020116_20180118.nii.gz,2,foreground,blur,0.004642486572265625,0.00818634033203125,1.983516812324524,0.8468084931373596,0.7343173027038574,6
HCC_10020116_20180118.nii.gz,3,foreground,gamma,0.00036215782165527344,0.0014772415161132812,0.105634406208992,0.9724776744842529,0.9464297294616699,6
HCC_10020116_20180118.nii.gz,3,foreground,blur,0.00417327880859375,0.00738525390625,3.3714215755462646,0.8589940667152405,0.7528392672538757,6
