variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,delta_dice_vs_A_init,delta_foreground_iou_vs_A_init,delta_precision_vs_A_init,delta_recall_vs_A_init
A0_confidence_rank,forward,12,HEM_PA107.nii.gz,full_volume,433895,66824,11711777,386720,0.6567529481569384,0.8665439098576248,0.5287436861378356,0.48892937993484625,0.032121686263949734,0.03477389087472704,-0.057318972701086324,0.056929254278803076
A0_confidence_rank,forward,16,CYST_PA62.nii.gz,full_volume,432183,262782,11828288,781143,0.45295293013486937,0.6218773607303965,0.3561969330583866,0.292785487240771,0.023258333739964165,0.019147890752587438,-0.05018262348428393,0.04039145291537477
A0_confidence_rank,forward,16,HEM_PA29.nii.gz,full_volume,652711,170373,14331134,759344,0.584045108603984,0.79300654611194,0.46224190984062236,0.41247437482147686,0.06245281446659434,0.059667573240951566,-0.0073166498655447,0.07538233284114287
A0_confidence_rank,forward,16,HEP_PA28.nii.gz,full_volume,511769,216890,6751895,396601,0.6252412144195368,0.702343620266819,0.5633926703876174,0.4548006682899952,0.07017687867255362,0.07065599702261893,-0.03609986047414393,0.11874786705857748
A0_confidence_rank,forward,16,HEM_PA107.nii.gz,full_volume,467265,79858,11698743,353350,0.6832668244941649,0.8540401335714273,0.5694083096214425,0.5189106169757449,0.058635562601176194,0.06475512791562571,-0.0698227489872838,0.09759387776240996
A0_confidence_rank,forward,20,CYST_PA62.nii.gz,full_volume,547673,298666,11792404,665653,0.5318078425375,0.6471083100270695,0.4513815742842402,0.3622195090979317,0.10211324614259482,0.08858191260974813,-0.024951674187610906,0.13557609414122834
A0_confidence_rank,forward,20,HEM_PA29.nii.gz,full_volume,703184,218500,14283007,708871,0.6026243723055578,0.762933933973032,0.49798626824025977,0.43125438884306266,0.08103207816816815,0.07844758726253737,-0.037389262004452695,0.11112669124078028
A0_confidence_rank,forward,20,HEP_PA28.nii.gz,full_volume,537922,244631,6724154,370448,0.6362465943156489,0.687393697295902,0.5921838017547916,0.46654079224562683,0.08118225856866568,0.08239612097825055,-0.05104978344506084,0.14753899842575163
A0_confidence_rank,forward,20,HEM_PA107.nii.gz,full_volume,522455,99829,11678772,298160,0.7241740412877131,0.8395764634796974,0.6366627468423073,0.5676119351095775,0.09954277939472445,0.11345644604945831,-0.08428641907901369,0.16484831498327474
A0_confidence_rank,reverse,20,CYST_PA62.nii.gz,full_volume,580119,305721,11785349,633207,0.5527137920488423,0.6548801137903008,0.4781229446991163,0.3818966760080498,0.1230191956539371,0.10825907951986619,-0.01717987042437963,0.16231746455610446
A0_confidence_rank,reverse,20,HEM_PA29.nii.gz,full_volume,760190,230395,14271112,651865,0.6327955915159991,0.7674152142420892,0.5383572169639285,0.4628390514170903,0.11120329737860946,0.11003224983656501,-0.03290798173539544,0.15149763996444898
A0_confidence_rank,reverse,20,HEP_PA28.nii.gz,full_volume,541359,250946,6717839,367011,0.6366401575844886,0.683270962571232,0.5959675022292679,0.46696414092447613,0.08157582183750534,0.08281946965709985,-0.0551725181697309,0.15132269890022793
A0_confidence_rank,reverse,20,HEM_PA107.nii.gz,full_volume,541756,110197,11668404,278859,0.7357975998391925,0.8309740119303078,0.6601829115967902,0.5820251565299974,0.11116633794620379,0.1278696674698782,-0.09288887062840323,0.18836847973775767
A1_world,forward,4,CYST_PA62.nii.gz,full_volume,390134,194420,11896650,823192,0.43399336996907467,0.6674045511620825,0.3215409543684055,0.2771338011260554,0.004298773574169468,0.0034962046378718137,-0.004655433052597857,0.005735474225393666
A1_world,forward,4,HEM_PA29.nii.gz,full_volume,554215,140034,14361473,857840,0.5262440749293549,0.7982942719398948,0.3924882529363233,0.35707681711551337,0.004651780791965265,0.00427001553498807,-0.0020289240375899187,0.005628675936843797
A1_world,forward,4,HEP_PA28.nii.gz,full_volume,418644,159132,6809653,489726,0.5633955210322539,0.7245783833181025,0.46087387298127414,0.3921716305917928,0.00833118528527066,0.008026959324416494,-0.01386509742286035,0.016229069652234196
A1_world,forward,4,HEM_PA107.nii.gz,full_volume,405664,36511,11742090,414951,0.642488458096754,0.9174286198903149,0.4943414390426692,0.4732839745848335,0.017857196203765358,0.0191284855247143,-0.006434262668396196,0.02252700718363665
A1_world,forward,8,CYST_PA62.nii.gz,full_volume,401597,228740,11862330,811729,0.43565120089734405,0.6371147497291132,0.33098853894171887,0.2784872537040607,0.005956604502438845,0.004849657215877101,-0.03494523448556719,0.015183058798707016
A1_world,forward,8,HEM_PA29.nii.gz,full_volume,566887,146311,14355196,845168,0.5334771907156466,0.7948522009315786,0.4014624076257653,0.36377012845506124,0.011884896578256976,0.010963326874535939,-0.005470995045906091,0.014602830626285812
A1_world,forward,8,HEP_PA28.nii.gz,full_volume,431376,175344,6793441,476994,0.5694394392412332,0.7109968354430379,0.47489018791901977,0.3980533609420936,0.014375103494249974,0.013908689674717312,-0.027446645297924954,0.03024538458997983
A1_world,forward,8,HEM_PA107.nii.gz,full_volume,421024,49458,11729143,399591,0.6521957684046977,0.8948780187127244,0.5130591081079434,0.48389502949752494,0.027564506511709053,0.02973954043740573,-0.02898486384598664,0.04124467624891087
A1_world,forward,12,CYST_PA62.nii.gz,full_volume,416328,247193,11843877,796998,0.4436461789373348,0.6274526352594718,0.34312954638736826,0.2850548332476332,0.01395158254242962,0.011417236759449612,-0.04460734895520857,0.027324066244356404
A1_world,forward,12,HEM_PA29.nii.gz,full_volume,603660,156272,14345235,808395,0.5558596805597824,0.794360548049036,0.4275045943677831,0.38490697411955543,0.0342673864223928,0.032100172539030136,-0.005962647928448694,0.040645017368303615
A1_world,forward,12,HEP_PA28.nii.gz,full_volume,448071,194382,6774403,460299,0.5778493096891134,0.6974377892234919,0.4932692625251825,0.4063207321319753,0.022784973942130193,0.022176060864599,-0.04100569151747102,0.048624459196142555
A1_world,forward,12,HEM_PA107.nii.gz,full_volume,435244,65815,11712786,385371,0.6586253493675445,0.8686482031058219,0.5303875751722793,0.4910077501889602,0.03399408747455579,0.03685226112884099,-0.05521467945288916,0.058573143313246756
A1_world,forward,16,CYST_PA62.nii.gz,full_volume,433515,267311,11823759,779811,0.45295775884046824,0.618577221735495,0.3572947418912971,0.2927895223474761,0.023263162445563035,0.01915192585929254,-0.053482762479185375,0.04148926174828527
A1_world,forward,16,HEM_PA29.nii.gz,full_volume,658352,172331,14329176,753703,0.5870966648801599,0.7925430037691875,0.46623679672534,0.41552500463902103,0.06550437074277027,0.06271820305849574,-0.007780192208297176,0.07937721972586054
A1_world,forward,16,HEP_PA28.nii.gz,full_volume,507178,220054,6748731,401192,0.6201728782429955,0.697408804893074,0.5583385624800467,0.4494569417169433,0.06510854249601228,0.065312270449567,-0.04103467584788889,0.11369375915100671
