variant,order,step,case,patch_index,patch_kind,tp,fp,tn,fn,dice,precision,recall
A1_world,reverse,20,CYST_PA62.nii.gz,1,foreground,255976,39261,6675380,107271,0.7774706750657571,0.8670187002306622,0.7046885452598369
A1_world,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,reverse,20,HEM_PA29.nii.gz,1,foreground,409064,21411,6521046,126367,0.847005816300965,0.9502619199721238,0.7639901313147726
A1_world,reverse,20,HEP_PA28.nii.gz,0,context,0,169160,6908728,0,0.0,0.0,0.0
A1_world,reverse,20,HEP_PA28.nii.gz,1,foreground,269880,32702,6638922,136384,0.7614629976045573,0.8919235116431249,0.6642971072996869
A1_world,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A1_world,reverse,20,HEM_PA107.nii.gz,1,foreground,214891,15492,6821079,26426,0.9111341954632182,0.9327554550465963,0.8904925885867966
A2_joint_product,forward,4,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,CYST_PA62.nii.gz,1,foreground,217879,28608,6686033,145368,0.7146690196052705,0.8839370839030051,0.5998094960178612
A2_joint_product,forward,4,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,HEM_PA29.nii.gz,1,foreground,349052,6932,6535525,186379,0.7831414100054408,0.9805272147062789,0.6519084625283184
A2_joint_product,forward,4,HEP_PA28.nii.gz,0,context,0,162043,6915845,0,0.0,0.0,0.0
A2_joint_product,forward,4,HEP_PA28.nii.gz,1,foreground,217077,15745,6655879,189187,0.6793358014414336,0.9323732293339977,0.5343249709548471
A2_joint_product,forward,4,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,4,HEM_PA107.nii.gz,1,foreground,203701,10585,6825986,37616,0.8942039451013273,0.9506033991954678,0.8441220469341157
A2_joint_product,forward,8,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,CYST_PA62.nii.gz,1,foreground,223319,29749,6684892,139928,0.7246911076316493,0.882446615139014,0.6147855316079692
A2_joint_product,forward,8,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,HEM_PA29.nii.gz,1,foreground,357066,8071,6534386,178365,0.7929795418002861,0.9778959678148202,0.6668758439462787
A2_joint_product,forward,8,HEP_PA28.nii.gz,0,context,0,162745,6915143,0,0.0,0.0,0.0
A2_joint_product,forward,8,HEP_PA28.nii.gz,1,foreground,228244,17942,6653682,178020,0.6996520806192046,0.9271201449310684,0.5618120237087214
A2_joint_product,forward,8,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,8,HEM_PA107.nii.gz,1,foreground,205216,11053,6825518,36101,0.8969505185910408,0.9488923516546524,0.8504000961391034
A2_joint_product,forward,12,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,12,CYST_PA62.nii.gz,1,foreground,231086,31526,6683115,132161,0.7384602602183559,0.8799521727872298,0.6361676765396548
A2_joint_product,forward,12,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,12,HEM_PA29.nii.gz,1,foreground,369241,10163,6532294,166190,0.8072297190203698,0.9732132502556642,0.6896145348326862
A2_joint_product,forward,12,HEP_PA28.nii.gz,0,context,0,163911,6913977,0,0.0,0.0,0.0
A2_joint_product,forward,12,HEP_PA28.nii.gz,1,foreground,239236,20801,6650823,167028,0.718101878880566,0.9200075373889101,0.5888683220762854
A2_joint_product,forward,12,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,12,HEM_PA107.nii.gz,1,foreground,207463,11850,6824721,33854,0.9007793673881423,0.9459676352974972,0.8597114998114513
A2_joint_product,forward,16,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,16,CYST_PA62.nii.gz,1,foreground,241333,34238,6680403,121914,0.7555610518175756,0.8757561572153819,0.6643771318138897
A2_joint_product,forward,16,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,16,HEM_PA29.nii.gz,1,foreground,385614,13703,6528754,149817,0.8250651512493207,0.9656839052682455,0.7201936383959838
A2_joint_product,forward,16,HEP_PA28.nii.gz,0,context,0,165619,6912269,0,0.0,0.0,0.0
A2_joint_product,forward,16,HEP_PA28.nii.gz,1,foreground,251383,24766,6646858,154881,0.7367473949060174,0.9103165320171357,0.6187675993934978
A2_joint_product,forward,16,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,16,HEM_PA107.nii.gz,1,foreground,210417,13038,6823533,30900,0.9054633239523896,0.941652681748003,0.8719526597794602
A2_joint_product,forward,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,20,CYST_PA62.nii.gz,1,foreground,254066,38183,6676458,109181,0.7751870339407105,0.8693477137646323,0.6994304151169866
A2_joint_product,forward,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,20,HEM_PA29.nii.gz,1,foreground,404748,19589,6522868,130683,0.8434288286335865,0.953836219797001,0.7559293354325768
A2_joint_product,forward,20,HEP_PA28.nii.gz,0,context,0,167904,6909984,0,0.0,0.0,0.0
A2_joint_product,forward,20,HEP_PA28.nii.gz,1,foreground,265761,30429,6641195,140503,0.7566644933333713,0.8972652689152233,0.6541583797727586
A2_joint_product,forward,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,forward,20,HEM_PA107.nii.gz,1,foreground,214098,14927,6821644,27219,0.9103928630655991,0.9348237092020522,0.8872064545804895
A2_joint_product,reverse,20,CYST_PA62.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,reverse,20,CYST_PA62.nii.gz,1,foreground,256408,38897,6675744,106839,0.7787023651890815,0.8682819457848665,0.7058778186743455
A2_joint_product,reverse,20,HEM_PA29.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,reverse,20,HEM_PA29.nii.gz,1,foreground,408946,21766,6520691,126485,0.8465537710256142,0.949465071788109,0.763769748109467
A2_joint_product,reverse,20,HEP_PA28.nii.gz,0,context,0,168488,6909400,0,0.0,0.0,0.0
A2_joint_product,reverse,20,HEP_PA28.nii.gz,1,foreground,268679,32592,6639032,137585,0.7594790363727589,0.8918183296766035,0.6613409014827797
A2_joint_product,reverse,20,HEM_PA107.nii.gz,0,context,0,0,7077888,0,1.0,0.0,0.0
A2_joint_product,reverse,20,HEM_PA107.nii.gz,1,foreground,214565,15343,6821228,26752,0.9106690010080111,0.9332646101919029,0.8891416684278356
