variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A_uniform_balanced,forward,8,HEM_PA34.nii.gz,full_volume,337858,38235,5699865,9842,0.9335763125645039,0.898336315751689,0.9716939890710382,0.8754272092450801
A_uniform_balanced,forward,8,HEM_PA56.nii.gz,full_volume,372897,15026,3659595,10274,0.9671894736569082,0.9612655088767617,0.9731869061071949,0.9364636097208165
A_uniform_balanced,forward,8,HEM_PA66.nii.gz,full_volume,228315,9816,3310144,7618,0.9632243747679639,0.9587789913954924,0.9677111722395765,0.9290576970811681
A_uniform_balanced,forward,8,ICC_PA18.nii.gz,full_volume,945618,177214,18619146,54350,0.8909157716223856,0.8421722929164827,0.9456482607443438,0.8032895508086261
A_uniform_balanced,forward,8,MET_PA19.nii.gz,full_volume,215727,22332,5017913,19036,0.9125083012211783,0.906191322319257,0.918913968555522,0.8390944981427099
A_uniform_balanced,forward,8,MET_PA25.nii.gz,full_volume,210633,46210,5065833,7052,0.8877579405219502,0.8200846431477595,0.9676045662310219,0.7981697265958051
A_uniform_balanced,forward,12,CYST_PA37.nii.gz,full_volume,237579,45001,5438020,14767,0.888268657720881,0.8407495222591832,0.9414811409731083,0.7989957860681292
A_uniform_balanced,forward,12,CYST_PA38.nii.gz,full_volume,223987,6998,3615884,12052,0.9592098050635514,0.9697036604108492,0.9489406411652311,0.9216168731510017
A_uniform_balanced,forward,12,CYST_PA53.nii.gz,full_volume,375877,26771,2967075,8457,0.9552365873679449,0.9335126462816157,0.977995701655331,0.9143089964850829
A_uniform_balanced,forward,12,CYST_PA54.nii.gz,full_volume,219636,15209,3533669,7550,0.9507414004687997,0.9352381357916923,0.9667673184087048,0.9061077992532849
A_uniform_balanced,forward,12,CYST_PA74.nii.gz,full_volume,262138,28336,5007229,9417,0.932827309622813,0.9024491004358394,0.9653219421479995,0.8741109269701325
A_uniform_balanced,forward,12,FNH_PA10.nii.gz,full_volume,970766,87545,18438811,34987,0.9406355616880097,0.9172785693430381,0.9652131288696131,0.8879244268259889
A_uniform_balanced,forward,12,FNH_PA32.nii.gz,full_volume,264393,15020,4006472,17425,0.9421895796917846,0.9462444481824396,0.9381693149479451,0.8906979564611
A_uniform_balanced,forward,12,HCC_10081574_20140213.nii.gz,full_volume,252481,63086,4007940,8093,0.8764555898642867,0.8000868278368778,0.9689416442162303,0.7800809491441636
A_uniform_balanced,forward,12,HCC_10142924_20170911.nii.gz,full_volume,186423,36910,3194649,25647,0.8563239114108079,0.834731096613577,0.8790635167633328,0.7487468873001848
A_uniform_balanced,forward,12,HCC_10147777_20171222.nii.gz,full_volume,235906,75255,3156735,13476,0.8417052750636437,0.7581477113134358,0.9459624191000152,0.7266762568653604
A_uniform_balanced,forward,12,HCC_PA0.nii.gz,full_volume,1373160,343000,22386968,28392,0.8808767455108105,0.8001351855304867,0.9797424569334566,0.7871132531446469
A_uniform_balanced,forward,12,HEM_PA24.nii.gz,full_volume,283357,37556,4195139,16498,0.9129239909273674,0.8829713972322717,0.9449800737022894,0.8397977540744078
A_uniform_balanced,forward,12,HEM_PA34.nii.gz,full_volume,339299,41149,5696951,8401,0.9319506473958591,0.8918406720497939,0.9758383664078228,0.872572643879758
A_uniform_balanced,forward,12,HEM_PA56.nii.gz,full_volume,373592,15800,3658821,9579,0.9671496046277132,0.9594239224226486,0.9750007176952327,0.936388860343233
A_uniform_balanced,forward,12,HEM_PA66.nii.gz,full_volume,228881,10294,3309666,7052,0.9634904063918098,0.9569603846555869,0.970110158392425,0.9295528110239738
A_uniform_balanced,forward,12,ICC_PA18.nii.gz,full_volume,948767,188979,18607381,51201,0.887646336226455,0.8339005366751454,0.9487973615155685,0.7979893132326336
A_uniform_balanced,forward,12,MET_PA19.nii.gz,full_volume,217570,24682,5015563,17193,0.9122145005922245,0.8981143602529598,0.9267644390300005,0.8385977760218929
A_uniform_balanced,forward,12,MET_PA25.nii.gz,full_volume,211281,49047,5062996,6404,0.8839968787459755,0.811595371992256,0.9705813446034407,0.7921096831276337
A_uniform_balanced,forward,16,CYST_PA37.nii.gz,full_volume,239552,49850,5433171,12794,0.8843669012160635,0.827748253294725,0.9492997709494108,0.79270407285338
A_uniform_balanced,forward,16,CYST_PA38.nii.gz,full_volume,224811,7684,3615198,11228,0.9596358001767215,0.9669498268779974,0.9524315896949233,0.922403712411221
A_uniform_balanced,forward,16,CYST_PA53.nii.gz,full_volume,376502,29040,2964806,7832,0.9533192551742299,0.9283921270793161,0.9796218913757305,0.9108023242874491
A_uniform_balanced,forward,16,CYST_PA54.nii.gz,full_volume,220348,16492,3532386,6838,0.9497226448517971,0.9303664921465968,0.9699013143415527,0.9042588990388956
A_uniform_balanced,forward,16,CYST_PA74.nii.gz,full_volume,263425,31631,5003934,8130,0.9298266359107041,0.8927966216582615,0.9700613135460588,0.8688560817451993
A_uniform_balanced,forward,16,FNH_PA10.nii.gz,full_volume,973171,98366,18427990,32582,0.9369620996586899,0.9082010233897663,0.9676043720476101,0.8814004649861111
A_uniform_balanced,forward,16,FNH_PA32.nii.gz,full_volume,265348,16355,4005137,16470,0.9417501743502017,0.941942400329425,0.9415580268116303,0.8899129029120678
A_uniform_balanced,forward,16,HCC_10081574_20140213.nii.gz,full_volume,253575,69494,4001532,6999,0.8689387176750171,0.7848942485970489,0.9731400676967004,0.7682507846867919
A_uniform_balanced,forward,16,HCC_10142924_20170911.nii.gz,full_volume,189201,40128,3191431,22869,0.8572787885790407,0.8250199495048598,0.8921629650587071,0.7502081697713701
A_uniform_balanced,forward,16,HCC_10147777_20171222.nii.gz,full_volume,237520,80032,3151958,11862,0.8379105857119171,0.7479719856905326,0.9524344178810018,0.7210379643852417
A_uniform_balanced,forward,16,HCC_PA0.nii.gz,full_volume,1375552,377506,22352462,26000,0.8720900523361049,0.7846585794651404,0.9814491363859493,0.7731912056830075
A_uniform_balanced,forward,16,HEM_PA24.nii.gz,full_volume,285377,40697,4191998,14478,0.9118510246369796,0.8751909075853948,0.9517166630538093,0.8379836265827245
