case,order,step,confidence_uniform_left,confidence_uniform_right,confidence_uniform_dice_delta,confidence_uniform_foreground_iou_delta,confidence_uniform_precision_delta,confidence_uniform_recall_delta,confidence_uniform_dice_win,world_uniform_left,world_uniform_right,world_uniform_dice_delta,world_uniform_foreground_iou_delta,world_uniform_precision_delta,world_uniform_recall_delta,world_uniform_dice_win,joint_uniform_left,joint_uniform_right,joint_uniform_dice_delta,joint_uniform_foreground_iou_delta,joint_uniform_precision_delta,joint_uniform_recall_delta,joint_uniform_dice_win,joint_confidence_left,joint_confidence_right,joint_confidence_dice_delta,joint_confidence_foreground_iou_delta,joint_confidence_precision_delta,joint_confidence_recall_delta,joint_confidence_dice_win
HCC_PA0.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0018371947381068399,0.0028330608961393278,0.0033380913640863596,-0.0007070733015971387,True,A1_world_pairwise,A_uniform_balanced,0.0014350505017465265,0.002212149372443517,0.0022203548935729733,8.133840200008624e-05,True,A2_joint_pairwise,A_uniform_balanced,0.0006557511516900316,0.0010101575401475493,0.0012402508819577829,-0.0003360560293160786,True,A2_joint_pairwise,A0_confidence_rank,-0.0011814435864168082,-0.0018229033559917784,-0.0020978404821285768,0.0003710172722810601,False
HCC_PA0.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.001104415129656755,0.0016953924202319781,0.002108027941860824,-0.0006128919940180388,True,A1_world_pairwise,A_uniform_balanced,0.0012281209591901154,0.0018854982185368963,0.0018301778851752548,0.00017266573056162748,True,A2_joint_pairwise,A_uniform_balanced,-8.595161305402499e-05,-0.00013180716553695682,-4.764127987144651e-05,-0.0001462664246492107,False,A2_joint_pairwise,A0_confidence_rank,-0.00119036674271078,-0.001827199585768935,-0.0021556692217322704,0.00046662556936882815,False
HEM_PA24.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.0005090427846693446,0.0008570448919064111,0.0024264629604764387,-0.0018475596538326533,True,A1_world_pairwise,A_uniform_balanced,0.0003864280906626938,0.0006505326629447916,-0.00021529833359501538,0.0011272114855513937,True,A2_joint_pairwise,A_uniform_balanced,0.0003360895594912705,0.0005657640908502959,-0.0001280765648434823,0.0009071051007987219,True,A2_joint_pairwise,A0_confidence_rank,-0.0001729532251780741,-0.0002912808010561152,-0.002554539525319921,0.002754664754631375,False
HEM_PA24.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.00041809593337061024,0.0007034659648513797,0.0018076611633156547,-0.0012972936919510847,True,A1_world_pairwise,A_uniform_balanced,0.0001527748883771718,0.00025698834453791175,-0.0009215117572412002,0.001484050624468547,True,A2_joint_pairwise,A_uniform_balanced,2.679111412950963e-05,4.506112678670515e-05,-0.0012580016351827483,0.0016207833786330283,True,A2_joint_pairwise,A0_confidence_rank,-0.0003913048192411006,-0.0006584048380646745,-0.003065662798498403,0.002918077070584113,False
HEM_PA34.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.001072451765320781,0.0018542234763909704,0.00252854165533567,-0.000788035662927844,True,A1_world_pairwise,A_uniform_balanced,-2.4407956475847037e-05,-4.215730357781666e-05,-0.0003090435032451211,0.00033937302272069036,False,A2_joint_pairwise,A_uniform_balanced,-0.0002610300833653101,-0.00045075077324419066,-0.0006369267594181771,0.00022145527753802963,False,A2_joint_pairwise,A0_confidence_rank,-0.001333481848686091,-0.002304974249635161,-0.003165468414753847,0.0010094909404658736,False
HEM_PA34.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.0007528603931276079,0.001299813339320055,0.00173858190268672,-0.0005119355766465272,True,A1_world_pairwise,A_uniform_balanced,-0.00023294595407430396,-0.00040181299038999363,-0.0009110623025373465,0.0006384814495254965,False,A2_joint_pairwise,A_uniform_balanced,-0.0006954580036278024,-0.0011990939976870285,-0.0017458053546022256,0.0006586137474835496,False,A2_joint_pairwise,A0_confidence_rank,-0.0014483183967554103,-0.0024989073370070836,-0.0034843872572889456,0.0011705493241300768,False
HEM_PA56.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,0.00017135293210523983,0.00032063882199628857,0.0008354540129819066,-0.000529789571757755,True,A1_world_pairwise,A_uniform_balanced,0.00010542751719799792,0.00019726536834629993,0.00010636738132019374,0.00010439203384393636,True,A2_joint_pairwise,A_uniform_balanced,0.00013662264654001888,0.0002556422712942652,0.00019916002229969365,7.046462284465704e-05,True,A2_joint_pairwise,A0_confidence_rank,-3.473028556522095e-05,-6.499655070202337e-05,-0.0006362939906822129,0.000600254194602412,False
HEM_PA56.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,0.00012479918521757227,0.00023349005830897163,0.0005812303254471018,-0.000357542715915371,True,A1_world_pairwise,A_uniform_balanced,7.569269216278762e-05,0.00014160871045909573,-5.999930219491301e-05,0.00021922327107215533,True,A2_joint_pairwise,A_uniform_balanced,9.446499237231176e-05,0.00017673183841948603,-9.747048529495927e-05,0.0002975172964551076,True,A2_joint_pairwise,A0_confidence_rank,-3.033419284526051e-05,-5.6758219889485595e-05,-0.0006787008107420611,0.0006550600123704786,False
HEM_PA66.nii.gz,forward,20,A0_confidence_rank,A_uniform_balanced,-3.5360364846193093e-06,-6.585559106264682e-06,0.00040677437418168427,-0.00043656461792118684,False,A1_world_pairwise,A_uniform_balanced,0.00011876526615295369,0.00022121604273139805,0.00012683018299963766,0.00011020077733936429,True,A2_joint_pairwise,A_uniform_balanced,6.696862200683551e-05,0.00012473169555005104,-0.0003628136735300824,0.0005213344466437064,True,A2_joint_pairwise,A0_confidence_rank,7.050465849145482e-05,0.00013131725465631572,-0.0007695880477117667,0.0009578990645648933,True
HEM_PA66.nii.gz,reverse,20,A0_confidence_rank,A_uniform_balanced,-1.1296820896067317e-05,-2.1041956222211944e-05,0.0001706609324906294,-0.00020344758893420245,False,A1_world_pairwise,A_uniform_balanced,5.8827622402057855e-05,0.00010958233661484407,-0.00011012183714753654,0.00023735552042314367,True,A2_joint_pairwise,A_uniform_balanced,-9.46093819798044e-06,-1.7622391460525577e-05,-0.0007274364184537419,0.0007502129841946426,False,A2_joint_pairwise,A0_confidence_rank,1.835882698086877e-06,3.4195647616863667e-06,-0.0008980973509443713,0.000953660573128845,True
