case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,disagreement_probability_mse,disagreement_probability_mae,source_gt_dice,real_blur_gt_dice,real_blur_gt_dice_drop_vs_source
HEP_PA28.nii.gz,3,foreground,confidence,overall,7077888,0.9846003497088397,0.5000000698629754,0.9855432867252387,0.9997729724359176,0.20714914455215544,,,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEP_PA28.nii.gz,3,foreground,confidence,foreground,177796,0.6867589822043241,0.021564750697177438,0.41441481109706724,0.594928460340196,-0.13751008371122975,,,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEP_PA28.nii.gz,3,foreground,real_blur,overall,7077888,0.9846003497088397,0.49999992961978834,0.9808342033509168,0.9994031836552774,0.20510561272537287,0.009379634326778094,0.01341592813288891,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEP_PA28.nii.gz,3,foreground,real_blur,foreground,177796,0.6867589822043241,0.03212004046788347,0.8960092691615564,0.9264430079118705,0.6362732489765401,0.009379634326778094,0.01341592813288891,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEP_PA28.nii.gz,3,foreground,imagined_blur,overall,7077888,0.9846003497088397,0.49999992013664707,0.9729411138687448,0.9992027884044826,0.2041829856714131,0.0014522943921592452,0.003727065043381959,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEP_PA28.nii.gz,3,foreground,imagined_blur,foreground,177796,0.6867589822043241,0.03781987762693351,0.6650700057642415,0.7829290954437411,0.2652427328490148,0.0014522943921592452,0.003727065043381959,0.6914040933967152,0.7262532661505513,-0.034849172753836144
HEM_PA107.nii.gz,0,context,confidence,overall,7077888,1.0,0.5000000596046448,,1.0,,,,1.0,1.0,0.0
HEM_PA107.nii.gz,0,context,confidence,foreground,0,,,,,,,,1.0,1.0,0.0
HEM_PA107.nii.gz,0,context,real_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA107.nii.gz,0,context,real_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA107.nii.gz,0,context,imagined_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA107.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA107.nii.gz,1,context,confidence,overall,7077888,0.9930939850983797,0.5000000705139795,0.9879667205133026,0.9999149615308702,0.13998828229813567,,,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,1,context,confidence,foreground,241317,0.8403137781424433,0.02573218316431607,0.7069522006243611,0.9127519176417392,0.26267867171413684,,,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,1,context,real_blur,overall,7077888,0.9930939850983797,0.4999999289631837,0.9771860207099069,0.999688393828235,0.13689654221632186,0.003772732590283514,0.006735323525895688,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,1,context,real_blur,foreground,241317,0.8403137781424433,0.058791785669415106,0.6589366245996968,0.9059100113021734,0.20171987090809876,0.003772732590283514,0.006735323525895688,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,1,context,imagined_blur,overall,7077888,0.9930939850983797,0.49999993086714345,0.9796360769561072,0.9997296071415,0.13765914421053324,0.000921938918722093,0.002728283014515977,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,1,context,imagined_blur,foreground,241317,0.8403137781424433,0.10772834601873138,0.7325206756142213,0.9298010433921242,0.2955185949481473,0.000921938918722093,0.002728283014515977,0.8924399926063498,0.8349162111946895,0.05752378141166026
HEM_PA107.nii.gz,2,foreground,confidence,overall,7077888,0.978030452021846,0.500000069204237,0.9781847838402518,0.9994946741973477,0.24281775530632146,,,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,2,foreground,confidence,foreground,329287,0.5512789754833929,0.028127018058536134,0.3840727096447848,0.45715364973865513,-0.19973421071397415,,,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,2,foreground,real_blur,overall,7077888,0.978030452021846,0.4999999296221631,0.972572877100819,0.9993369646960482,0.23997975464463459,0.010587785813219964,0.01499453315008631,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,2,foreground,real_blur,foreground,329287,0.5512789754833929,0.030007932717807374,0.236321867598901,0.4043586424212502,-0.45429594077820123,0.010587785813219964,0.01499453315008631,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,2,foreground,imagined_blur,overall,7077888,0.978030452021846,0.4999999285584669,0.9776931087328802,0.9994288819998967,0.24282345045894202,0.0017976989976698486,0.0045625798783711854,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,2,foreground,imagined_blur,foreground,329287,0.5512789754833929,0.04346757877923859,0.42675639198671667,0.5110787799859899,-0.1261971821527851,0.0017976989976698486,0.0045625798783711854,0.7001326761236973,0.4985105192504606,0.20162215687323676
HEM_PA107.nii.gz,3,context_fill,confidence,overall,7077888,0.9998382285789207,0.5000000596046448,0.5,0.9998382285789207,,,,0.0,0.0,0.0
HEM_PA107.nii.gz,3,context_fill,confidence,foreground,1145,0.0,0.5000000596046448,,,,,,0.0,0.0,0.0
HEM_PA107.nii.gz,3,context_fill,real_blur,overall,7077888,0.9998382285789207,0.4999999403953552,0.5,0.9998382285789207,,0.0,0.0,0.0,0.0,0.0
HEM_PA107.nii.gz,3,context_fill,real_blur,foreground,1145,0.0,0.4999999403953552,,,,0.0,0.0,0.0,0.0,0.0
HEM_PA107.nii.gz,3,context_fill,imagined_blur,overall,7077888,0.9998382285789207,0.4999999403953552,0.5,0.9998382285789207,,0.0,0.0,0.0,0.0,0.0
HEM_PA107.nii.gz,3,context_fill,imagined_blur,foreground,1145,0.0,0.4999999403953552,,,,0.0,0.0,0.0,0.0,0.0
HEM_PA81.nii.gz,0,context,confidence,overall,7077888,1.0,0.5000000596046448,,1.0,,,,1.0,1.0,0.0
HEM_PA81.nii.gz,0,context,confidence,foreground,0,,,,,,,,1.0,1.0,0.0
HEM_PA81.nii.gz,0,context,real_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA81.nii.gz,0,context,real_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA81.nii.gz,0,context,imagined_blur,overall,7077888,1.0,0.4999999403953552,,1.0,,0.0,0.0,1.0,1.0,0.0
HEM_PA81.nii.gz,0,context,imagined_blur,foreground,0,,,,,,0.0,0.0,1.0,1.0,0.0
HEM_PA81.nii.gz,1,context,confidence,overall,7077888,0.9999821980794271,0.5000000596046448,0.5,0.9999821980794271,,,,0.0,0.0,0.0
HEM_PA81.nii.gz,1,context,confidence,foreground,126,0.0,0.5000000596046448,,,,,,0.0,0.0,0.0
HEM_PA81.nii.gz,1,context,real_blur,overall,7077888,0.9999821980794271,0.4999999249586869,0.9872314903747509,0.9999997711295376,0.007165342413904004,0.006979150215503232,0.007487583407796423,0.0,0.0,0.0
HEM_PA81.nii.gz,1,context,real_blur,foreground,126,0.0,0.012777113252215914,,,,0.006979150215503232,0.007487583407796423,0.0,0.0,0.0
HEM_PA81.nii.gz,1,context,imagined_blur,overall,7077888,0.9999821980794271,0.4999999403953552,0.5,0.9999821980794271,,0.0,0.0,0.0,0.0,0.0
HEM_PA81.nii.gz,1,context,imagined_blur,foreground,126,0.0,0.4999999403953552,,,,0.0,0.0,0.0,0.0,0.0
HEM_PA81.nii.gz,2,foreground,confidence,overall,7077888,0.971954204418041,0.500000071198501,0.9691649202314163,0.9991043908620806,0.2683362536102605,,,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,2,foreground,confidence,foreground,547217,0.6388014261252849,0.04065849307782606,0.44900653917772837,0.5690771036911959,-0.08485248222379337,,,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,2,foreground,real_blur,overall,7077888,0.971954204418041,0.499999929745147,0.9763495673884155,0.9992729243013799,0.27244362620022533,0.008388606283527885,0.014646820328287638,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,2,foreground,real_blur,foreground,547217,0.6388014261252849,0.05223654957729114,0.6431317163482938,0.7348624147874586,0.23817281032443594,0.008388606283527885,0.014646820328287638,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,2,foreground,imagined_blur,overall,7077888,0.971954204418041,0.49999992938343757,0.9696519536164145,0.9990403652713578,0.26920112960442794,0.0017100408498501353,0.0054499617927174565,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,2,foreground,imagined_blur,foreground,547217,0.6388014261252849,0.0582829856701462,0.5174042132268918,0.6501874031232815,0.028962784569610194,0.0017100408498501353,0.0054499617927174565,0.7788567908193902,0.7870631771917892,-0.00820638637239901
HEM_PA81.nii.gz,3,foreground,confidence,overall,7077888,0.992739924678096,0.5000000700375661,0.9914667974084272,0.9999370308873935,0.14453770729386853,,,0.912065684637078,0.8975096158239319,0.014556068813146195
HEM_PA81.nii.gz,3,foreground,confidence,foreground,307059,0.8678820682670105,0.04119241301986182,0.8407143527110849,0.9710487733268225,0.40016072562630434,,,0.912065684637078,0.8975096158239319,0.014556068813146195
HEM_PA81.nii.gz,3,foreground,real_blur,overall,7077888,0.992739924678096,0.4999999295935814,0.9855766908016186,0.9998388406977242,0.14280299166399407,0.003972260340413471,0.007254352990356792,0.912065684637078,0.8975096158239319,0.014556068813146195
HEM_PA81.nii.gz,3,foreground,real_blur,foreground,307059,0.8678820682670105,0.09447350662399434,0.8507273037360403,0.972122198694571,0.4118066314546588,0.003972260340413471,0.007254352990356792,0.912065684637078,0.8975096158239319,0.014556068813146195
HEM_PA81.nii.gz,3,foreground,imagined_blur,overall,7077888,0.992739924678096,0.49999992977678565,0.9851452738960936,0.9998275524204744,0.1429344471750864,0.0006851103200681976,0.002273171640387806,0.912065684637078,0.8975096158239319,0.014556068813146195
