case,patch_index,patch_kind,method,scope,region,voxel_count,reliability_mean
HEM_PA29.nii.gz,0,context,real_blur,overall,FP,0,
HEM_PA29.nii.gz,0,context,real_blur,overall,FN,0,
HEM_PA29.nii.gz,0,context,real_blur,overall,TN,7077888,0.4999999403953552
HEM_PA29.nii.gz,0,context,real_blur,foreground,TP,0,
HEM_PA29.nii.gz,0,context,real_blur,foreground,FP,0,
HEM_PA29.nii.gz,0,context,real_blur,foreground,FN,0,
HEM_PA29.nii.gz,0,context,real_blur,foreground,TN,0,
HEM_PA29.nii.gz,0,context,imagined_blur,overall,TP,0,
HEM_PA29.nii.gz,0,context,imagined_blur,overall,FP,0,
HEM_PA29.nii.gz,0,context,imagined_blur,overall,FN,0,
HEM_PA29.nii.gz,0,context,imagined_blur,overall,TN,7077888,0.4999999403953552
HEM_PA29.nii.gz,0,context,imagined_blur,foreground,TP,0,
HEM_PA29.nii.gz,0,context,imagined_blur,foreground,FP,0,
HEM_PA29.nii.gz,0,context,imagined_blur,foreground,FN,0,
HEM_PA29.nii.gz,0,context,imagined_blur,foreground,TN,0,
HEM_PA29.nii.gz,1,context,confidence,overall,TP,0,
HEM_PA29.nii.gz,1,context,confidence,overall,FP,0,
HEM_PA29.nii.gz,1,context,confidence,overall,FN,120,0.5000000596046448
HEM_PA29.nii.gz,1,context,confidence,overall,TN,7077768,0.5000000596046448
HEM_PA29.nii.gz,1,context,confidence,foreground,TP,0,
HEM_PA29.nii.gz,1,context,confidence,foreground,FP,0,
HEM_PA29.nii.gz,1,context,confidence,foreground,FN,120,0.5000000596046448
HEM_PA29.nii.gz,1,context,confidence,foreground,TN,0,
HEM_PA29.nii.gz,1,context,real_blur,overall,TP,0,
HEM_PA29.nii.gz,1,context,real_blur,overall,FP,0,
HEM_PA29.nii.gz,1,context,real_blur,overall,FN,120,0.4999999403953552
HEM_PA29.nii.gz,1,context,real_blur,overall,TN,7077768,0.4999999403953552
HEM_PA29.nii.gz,1,context,real_blur,foreground,TP,0,
HEM_PA29.nii.gz,1,context,real_blur,foreground,FP,0,
HEM_PA29.nii.gz,1,context,real_blur,foreground,FN,120,0.4999999403953552
HEM_PA29.nii.gz,1,context,real_blur,foreground,TN,0,
HEM_PA29.nii.gz,1,context,imagined_blur,overall,TP,0,
HEM_PA29.nii.gz,1,context,imagined_blur,overall,FP,0,
HEM_PA29.nii.gz,1,context,imagined_blur,overall,FN,120,0.4999999403953552
HEM_PA29.nii.gz,1,context,imagined_blur,overall,TN,7077768,0.4999999403953552
HEM_PA29.nii.gz,1,context,imagined_blur,foreground,TP,0,
HEM_PA29.nii.gz,1,context,imagined_blur,foreground,FP,0,
HEM_PA29.nii.gz,1,context,imagined_blur,foreground,FN,120,0.4999999403953552
HEM_PA29.nii.gz,1,context,imagined_blur,foreground,TN,0,
HEM_PA29.nii.gz,2,foreground,confidence,overall,TP,344267,0.040601529367544326
HEM_PA29.nii.gz,2,foreground,confidence,overall,FP,6387,0.01055514979504571
HEM_PA29.nii.gz,2,foreground,confidence,overall,FN,191164,0.04872146126881607
HEM_PA29.nii.gz,2,foreground,confidence,overall,TN,6536070,0.5378745207650684
HEM_PA29.nii.gz,2,foreground,confidence,foreground,TP,344267,0.040601529367544326
HEM_PA29.nii.gz,2,foreground,confidence,foreground,FP,0,
HEM_PA29.nii.gz,2,foreground,confidence,foreground,FN,191164,0.04872146126881607
HEM_PA29.nii.gz,2,foreground,confidence,foreground,TN,0,
HEM_PA29.nii.gz,2,foreground,real_blur,overall,TP,344267,0.059061293266391916
HEM_PA29.nii.gz,2,foreground,real_blur,overall,FP,6387,0.014606607507162481
HEM_PA29.nii.gz,2,foreground,real_blur,overall,FN,191164,0.039325400378761394
HEM_PA29.nii.gz,2,foreground,real_blur,overall,TN,6536070,0.537172911901031
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,TP,344267,0.059061293266391916
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,FP,0,
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,FN,191164,0.039325400378761394
HEM_PA29.nii.gz,2,foreground,real_blur,foreground,TN,0,
HEM_PA29.nii.gz,2,foreground,imagined_blur,overall,TP,344267,0.06636872931717513
HEM_PA29.nii.gz,2,foreground,imagined_blur,overall,FP,6387,0.021279550530045585
HEM_PA29.nii.gz,2,foreground,imagined_blur,overall,FN,191164,0.049903403746164074
HEM_PA29.nii.gz,2,foreground,imagined_blur,overall,TN,6536070,0.5364721136743991
HEM_PA29.nii.gz,2,foreground,imagined_blur,foreground,TP,344267,0.06636872931717513
HEM_PA29.nii.gz,2,foreground,imagined_blur,foreground,FP,0,
HEM_PA29.nii.gz,2,foreground,imagined_blur,foreground,FN,191164,0.049903403746164074
HEM_PA29.nii.gz,2,foreground,imagined_blur,foreground,TN,0,
HEM_PA29.nii.gz,3,foreground,confidence,overall,TP,172389,0.0381978470584033
HEM_PA29.nii.gz,3,foreground,confidence,overall,FP,50442,0.024799267093115345
HEM_PA29.nii.gz,3,foreground,confidence,overall,FN,231970,0.05980704885864086
HEM_PA29.nii.gz,3,foreground,confidence,overall,TN,6623087,0.5310567774248891
HEM_PA29.nii.gz,3,foreground,confidence,foreground,TP,172389,0.0381978470584033
HEM_PA29.nii.gz,3,foreground,confidence,foreground,FP,0,
HEM_PA29.nii.gz,3,foreground,confidence,foreground,FN,231970,0.05980704885864086
HEM_PA29.nii.gz,3,foreground,confidence,foreground,TN,0,
HEM_PA29.nii.gz,3,foreground,real_blur,overall,TP,172389,0.03145661880908194
HEM_PA29.nii.gz,3,foreground,real_blur,overall,FP,50442,0.022509314573272914
HEM_PA29.nii.gz,3,foreground,real_blur,overall,FN,231970,0.06439745090473066
HEM_PA29.nii.gz,3,foreground,real_blur,overall,TN,6623087,0.5310887555588112
HEM_PA29.nii.gz,3,foreground,real_blur,foreground,TP,172389,0.03145661880908194
HEM_PA29.nii.gz,3,foreground,real_blur,foreground,FP,0,
HEM_PA29.nii.gz,3,foreground,real_blur,foreground,FN,231970,0.06439745090473066
HEM_PA29.nii.gz,3,foreground,real_blur,foreground,TN,0,
HEM_PA29.nii.gz,3,foreground,imagined_blur,overall,TP,172389,0.04973163075120107
HEM_PA29.nii.gz,3,foreground,imagined_blur,overall,FP,50442,0.03344548359713572
HEM_PA29.nii.gz,3,foreground,imagined_blur,overall,FN,231970,0.06214290819003848
HEM_PA29.nii.gz,3,foreground,imagined_blur,overall,TN,6623087,0.5306087597772238
HEM_PA29.nii.gz,3,foreground,imagined_blur,foreground,TP,172389,0.04973163075120107
HEM_PA29.nii.gz,3,foreground,imagined_blur,foreground,FP,0,
HEM_PA29.nii.gz,3,foreground,imagined_blur,foreground,FN,231970,0.06214290819003848
HEM_PA29.nii.gz,3,foreground,imagined_blur,foreground,TN,0,
HEP_PA28.nii.gz,0,context,confidence,overall,TP,0,
HEP_PA28.nii.gz,0,context,confidence,overall,FP,161638,0.1567915069440192
HEP_PA28.nii.gz,0,context,confidence,overall,FN,0,
HEP_PA28.nii.gz,0,context,confidence,overall,TN,6916250,0.5080211130827971
HEP_PA28.nii.gz,0,context,confidence,foreground,TP,0,
HEP_PA28.nii.gz,0,context,confidence,foreground,FP,0,
HEP_PA28.nii.gz,0,context,confidence,foreground,FN,0,
HEP_PA28.nii.gz,0,context,confidence,foreground,TN,0,
HEP_PA28.nii.gz,0,context,real_blur,overall,TP,0,
HEP_PA28.nii.gz,0,context,real_blur,overall,FP,161638,0.20486014851966955
HEP_PA28.nii.gz,0,context,real_blur,overall,FN,0,
HEP_PA28.nii.gz,0,context,real_blur,overall,TN,6916250,0.5068975677392075
HEP_PA28.nii.gz,0,context,real_blur,foreground,TP,0,
HEP_PA28.nii.gz,0,context,real_blur,foreground,FP,0,
HEP_PA28.nii.gz,0,context,real_blur,foreground,FN,0,
HEP_PA28.nii.gz,0,context,real_blur,foreground,TN,0,
HEP_PA28.nii.gz,0,context,imagined_blur,overall,TP,0,
HEP_PA28.nii.gz,0,context,imagined_blur,overall,FP,161638,0.3383925687701233
HEP_PA28.nii.gz,0,context,imagined_blur,overall,FN,0,
HEP_PA28.nii.gz,0,context,imagined_blur,overall,TN,6916250,0.5037768218353647
HEP_PA28.nii.gz,0,context,imagined_blur,foreground,TP,0,
HEP_PA28.nii.gz,0,context,imagined_blur,foreground,FP,0,
HEP_PA28.nii.gz,0,context,imagined_blur,foreground,FN,0,
HEP_PA28.nii.gz,0,context,imagined_blur,foreground,TN,0,
HEP_PA28.nii.gz,1,context,confidence,overall,TP,7640,0.19924424128874518
HEP_PA28.nii.gz,1,context,confidence,overall,FP,1437,0.10080304965806473
HEP_PA28.nii.gz,1,context,confidence,overall,FN,19076,0.410656647009182
HEP_PA28.nii.gz,1,context,confidence,overall,TN,7049735,0.5006491643229756
HEP_PA28.nii.gz,1,context,confidence,foreground,TP,7640,0.19924424128874518
HEP_PA28.nii.gz,1,context,confidence,foreground,FP,0,
HEP_PA28.nii.gz,1,context,confidence,foreground,FN,19076,0.410656647009182
HEP_PA28.nii.gz,1,context,confidence,foreground,TN,0,
HEP_PA28.nii.gz,1,context,real_blur,overall,TP,7640,0.034410859098297136
HEP_PA28.nii.gz,1,context,real_blur,overall,FP,1437,0.01540628977757655
HEP_PA28.nii.gz,1,context,real_blur,overall,FN,19076,0.10990807627776704
HEP_PA28.nii.gz,1,context,real_blur,overall,TN,7049735,0.5016588739105553
HEP_PA28.nii.gz,1,context,real_blur,foreground,TP,7640,0.034410859098297136
HEP_PA28.nii.gz,1,context,real_blur,foreground,FP,0,
HEP_PA28.nii.gz,1,context,real_blur,foreground,FN,19076,0.10990807627776704
HEP_PA28.nii.gz,1,context,real_blur,foreground,TN,0,
