split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,HCC_10140276_20170721.nii.gz,1,context,-0.3,0.021774113178253174,0.016159405931830406,0.004965675063431263
train,HCC_10140276_20170721.nii.gz,1,context,-0.15,0.0050601353868842125,0.0038345125503838062,0.001270487206056714
train,HCC_10140276_20170721.nii.gz,1,context,0.15,0.004281491972506046,0.0030036810785531998,0.0009126608492806554
train,HCC_10140276_20170721.nii.gz,1,context,0.3,0.015643268823623657,0.009684625081717968,0.0024646525271236897
train,HCC_10140276_20170721.nii.gz,2,foreground,-0.3,0.03577754646539688,0.01619192585349083,0.0028362006414681673
train,HCC_10140276_20170721.nii.gz,2,foreground,-0.15,0.008828860707581043,0.0042988695204257965,0.0007815519347786903
train,HCC_10140276_20170721.nii.gz,2,foreground,0.15,0.00843180250376463,0.004025434609502554,0.0008897263905964792
train,HCC_10140276_20170721.nii.gz,2,foreground,0.3,0.032640181481838226,0.01330987922847271,0.002975495532155037
train,HCC_10140276_20170721.nii.gz,3,foreground,-0.3,0.03526129573583603,0.01497949194163084,0.0023752956185489893
train,HCC_10140276_20170721.nii.gz,3,foreground,-0.15,0.008702780120074749,0.0038631665520370007,0.00064551254035905
train,HCC_10140276_20170721.nii.gz,3,foreground,0.15,0.008364088833332062,0.003567964071407914,0.0007673934451304376
train,HCC_10140276_20170721.nii.gz,3,foreground,0.3,0.03259645029902458,0.012386549264192581,0.002559154760092497
train,HEM_PA97.nii.gz,0,context,-0.3,0.02880491316318512,0.34041082859039307,0.07909926772117615
train,HEM_PA97.nii.gz,0,context,-0.15,0.006350948940962553,0.1542511284351349,0.08331799507141113
train,HEM_PA97.nii.gz,0,context,0.15,0.004958998877555132,0.013143680989742279,0.007349299266934395
train,HEM_PA97.nii.gz,0,context,0.3,0.017559364438056946,0.20913058519363403,0.11891312897205353
train,HEM_PA97.nii.gz,1,context,-0.3,0.03895781189203262,0.04748138412833214,0.009437164291739464
train,HEM_PA97.nii.gz,1,context,-0.15,0.009173371829092503,0.010278688743710518,0.0020511706825345755
train,HEM_PA97.nii.gz,1,context,0.15,0.007986098527908325,0.007347575854510069,0.0016258284449577332
train,HEM_PA97.nii.gz,1,context,0.3,0.029458392411470413,0.025229807943105698,0.007636965252459049
train,HEM_PA97.nii.gz,2,foreground,-0.3,0.03944537416100502,0.37512171268463135,0.2123434990644455
train,HEM_PA97.nii.gz,2,foreground,-0.15,0.010000208392739296,0.05335310101509094,0.03607609122991562
train,HEM_PA97.nii.gz,2,foreground,0.15,0.00997169315814972,0.01657862402498722,0.009319983422756195
train,HEM_PA97.nii.gz,2,foreground,0.3,0.039095163345336914,0.0447976179420948,0.024738779291510582
train,HEM_PA97.nii.gz,3,context_fill,-0.3,0.0315803661942482,0.01015356183052063,0.0017716116271913052
train,HEM_PA97.nii.gz,3,context_fill,-0.15,0.006916830316185951,0.002663813764229417,0.0004755843838211149
train,HEM_PA97.nii.gz,3,context_fill,0.15,0.005435286555439234,0.0027347190771251917,0.0007315069087781012
train,HEM_PA97.nii.gz,3,context_fill,0.3,0.019560687243938446,0.008725524879992008,0.0020367158576846123
train,CYST_PA69.nii.gz,0,context,-0.3,0.020796943455934525,0.01077688205987215,0.0014785772655159235
train,CYST_PA69.nii.gz,0,context,-0.15,0.004666217602789402,0.0028524394147098064,0.00035785508225671947
train,CYST_PA69.nii.gz,0,context,0.15,0.0037784504238516092,0.002168784150853753,0.00031463231425732374
train,CYST_PA69.nii.gz,0,context,0.3,0.013613302260637283,0.00769003527238965,0.0013717501424252987
train,CYST_PA69.nii.gz,1,context,-0.3,0.01638275943696499,0.005899873562157154,0.0010392408585175872
train,CYST_PA69.nii.gz,1,context,-0.15,0.003524686675518751,0.0016126499976962805,0.00026216707192361355
train,CYST_PA69.nii.gz,1,context,0.15,0.0027230894193053246,0.001188179012387991,0.00022977357730269432
train,CYST_PA69.nii.gz,1,context,0.3,0.009717399254441261,0.00412753177806735,0.0008183192694559693
train,CYST_PA69.nii.gz,2,foreground,-0.3,0.057469651103019714,0.046559713780879974,0.009365777485072613
train,CYST_PA69.nii.gz,2,foreground,-0.15,0.013217444531619549,0.013882408849895,0.002762124640867114
train,CYST_PA69.nii.gz,2,foreground,0.15,0.010902385227382183,0.01327146403491497,0.003157704835757613
train,CYST_PA69.nii.gz,2,foreground,0.3,0.03909922018647194,0.04189508035778999,0.011704851873219013
train,CYST_PA69.nii.gz,3,foreground,-0.3,0.06538236141204834,0.05509284511208534,0.028428373858332634
train,CYST_PA69.nii.gz,3,foreground,-0.15,0.014523761346936226,0.015003416687250137,0.006874041631817818
train,CYST_PA69.nii.gz,3,foreground,0.15,0.011146153323352337,0.008463628590106964,0.0018189664697274566
train,CYST_PA69.nii.gz,3,foreground,0.3,0.038883257657289505,0.025880759581923485,0.004948370158672333
train,HCC_10076307_20130925.nii.gz,0,context,-0.3,0.027344830334186554,0.023656021803617477,0.010569683276116848
train,HCC_10076307_20130925.nii.gz,0,context,-0.15,0.006113715935498476,0.009106215089559555,0.004955979995429516
train,HCC_10076307_20130925.nii.gz,0,context,0.15,0.004864932037889957,0.007008789107203484,0.004022635519504547
train,HCC_10076307_20130925.nii.gz,0,context,0.3,0.017405755817890167,0.018590353429317474,0.010267390869557858
train,HCC_10076307_20130925.nii.gz,1,context,-0.3,0.023695435374975204,0.024885956197977066,0.006491051055490971
train,HCC_10076307_20130925.nii.gz,1,context,-0.15,0.005603966768831015,0.0046905516646802425,0.0010072984732687473
train,HCC_10076307_20130925.nii.gz,1,context,0.15,0.004926583264023066,0.0033138066064566374,0.0006573329446837306
train,HCC_10076307_20130925.nii.gz,1,context,0.3,0.018341967836022377,0.01111473049968481,0.0020656415726989508
train,HCC_10076307_20130925.nii.gz,2,foreground,-0.3,0.051412180066108704,0.02078949846327305,0.004242555238306522
train,HCC_10076307_20130925.nii.gz,2,foreground,-0.15,0.013295609503984451,0.006497293245047331,0.0013365024933591485
train,HCC_10076307_20130925.nii.gz,2,foreground,0.15,0.013732466846704483,0.005712362937629223,0.0012819054536521435
train,HCC_10076307_20130925.nii.gz,2,foreground,0.3,0.054859086871147156,0.018834570422768593,0.004870343022048473
train,HCC_10076307_20130925.nii.gz,3,foreground,-0.3,0.03808579593896866,0.015367728658020496,0.002733557717874646
train,HCC_10076307_20130925.nii.gz,3,foreground,-0.15,0.00921495072543621,0.004155004862695932,0.0007297987467609346
train,HCC_10076307_20130925.nii.gz,3,foreground,0.15,0.008308175019919872,0.0034512123093008995,0.000599361548665911
train,HCC_10076307_20130925.nii.gz,3,foreground,0.3,0.031088031828403473,0.011535708792507648,0.0020018136128783226
train,CYST_PA20.nii.gz,0,context,-0.3,0.014322003349661827,0.05852498859167099,0.0368618406355381
train,CYST_PA20.nii.gz,0,context,-0.15,0.003368533682078123,0.006069941446185112,0.0035075193736702204
train,CYST_PA20.nii.gz,0,context,0.15,0.002965532010421157,0.00188472680747509,0.0005071656196378171
train,CYST_PA20.nii.gz,0,context,0.3,0.011098764836788177,0.006183774210512638,0.0015972362598404288
train,CYST_PA20.nii.gz,1,context,-0.3,0.01843305677175522,0.01203917060047388,0.002611840143799782
train,CYST_PA20.nii.gz,1,context,-0.15,0.004405450075864792,0.002751380205154419,0.0005988988559693098
train,CYST_PA20.nii.gz,1,context,0.15,0.003984981216490269,0.0022219414822757244,0.0004125216219108552
train,CYST_PA20.nii.gz,1,context,0.3,0.015085093677043915,0.007608951535075903,0.001379610039293766
train,CYST_PA20.nii.gz,2,foreground,-0.3,0.01798188127577305,0.010112911462783813,0.001997158396989107
train,CYST_PA20.nii.gz,2,foreground,-0.15,0.004214258398860693,0.0022725355811417103,0.0004361197352409363
train,CYST_PA20.nii.gz,2,foreground,0.15,0.00368630513548851,0.0016253789654001594,0.0003191666037309915
train,CYST_PA20.nii.gz,2,foreground,0.3,0.013758755289018154,0.0055385190062224865,0.001124951639212668
train,CYST_PA20.nii.gz,3,foreground,-0.3,0.02373768575489521,0.009541814215481281,0.0017787490505725145
train,CYST_PA20.nii.gz,3,foreground,-0.15,0.005451658740639687,0.002309967065230012,0.0004190389299765229
train,CYST_PA20.nii.gz,3,foreground,0.15,0.004584258422255516,0.0017780100461095572,0.00033921038266271353
train,CYST_PA20.nii.gz,3,foreground,0.3,0.01682167872786522,0.006107416935265064,0.0012718222569674253
train,CYST_PA56.nii.gz,0,context,-0.3,0.017854541540145874,0.005531111266463995,0.0007947965059429407
train,CYST_PA56.nii.gz,0,context,-0.15,0.00427106861025095,0.0011961234267801046,0.00018122541951015592
train,CYST_PA56.nii.gz,0,context,0.15,0.003997518215328455,0.0007933393935672939,0.00014058698434382677
train,CYST_PA56.nii.gz,0,context,0.3,0.015449730679392815,0.002602841705083847,0.0004907498368993402
train,CYST_PA56.nii.gz,1,context,-0.3,0.015994757413864136,0.008509029634296894,0.0016266973689198494
train,CYST_PA56.nii.gz,1,context,-0.15,0.0040868171490728855,0.0021611135452985764,0.00036136756534688175
train,CYST_PA56.nii.gz,1,context,0.15,0.004233581013977528,0.0019216783111914992,0.00028959938208572567
train,CYST_PA56.nii.gz,1,context,0.3,0.01716351881623268,0.006848759483546019,0.0011104989098384976
train,CYST_PA56.nii.gz,2,foreground,-0.3,0.018463147804141045,0.010830010287463665,0.0028321652207523584
train,CYST_PA56.nii.gz,2,foreground,-0.15,0.004710792563855648,0.0027404644060879946,0.0007338388822972775
train,CYST_PA56.nii.gz,2,foreground,0.15,0.004872446414083242,0.002542818197980523,0.000672352674882859
train,CYST_PA56.nii.gz,2,foreground,0.3,0.019737744703888893,0.009229992516338825,0.0022958610206842422
train,CYST_PA56.nii.gz,3,foreground,-0.3,0.015581293031573296,0.007730371784418821,0.001626890618354082
train,CYST_PA56.nii.gz,3,foreground,-0.15,0.003787553869187832,0.0019280894193798304,0.0003997222811449319
train,CYST_PA56.nii.gz,3,foreground,0.15,0.0035718902945518494,0.0018950117519125342,0.00040406041080132127
train,CYST_PA56.nii.gz,3,foreground,0.3,0.013823209330439568,0.006959498394280672,0.0015810307813808322
train,HCC_10136895_20170421.nii.gz,0,context,-0.3,0.029768571257591248,0.21979205310344696,0.10777784883975983
train,HCC_10136895_20170421.nii.gz,0,context,-0.15,0.006801069248467684,0.08305027335882187,0.048104263842105865
train,HCC_10136895_20170421.nii.gz,0,context,0.15,0.005513755604624748,0.042212050408124924,0.032487861812114716
train,HCC_10136895_20170421.nii.gz,0,context,0.3,0.01970386877655983,0.08520476520061493,0.0666809231042862
train,HCC_10136895_20170421.nii.gz,1,context,-0.3,0.024114850908517838,0.012845472432672977,0.003095653373748064
train,HCC_10136895_20170421.nii.gz,1,context,-0.15,0.0057965656742453575,0.0030791000463068485,0.0007396443979814649
train,HCC_10136895_20170421.nii.gz,1,context,0.15,0.005224065389484167,0.002596062608063221,0.0004927642294205725
train,HCC_10136895_20170421.nii.gz,1,context,0.3,0.01963069476187229,0.009206880815327168,0.001764420885592699
train,HCC_10136895_20170421.nii.gz,2,foreground,-0.3,0.0527399405837059,0.021645953878760338,0.004672258626669645
train,HCC_10136895_20170421.nii.gz,2,foreground,-0.15,0.013393987901508808,0.005701677408069372,0.001201268401928246
train,HCC_10136895_20170421.nii.gz,2,foreground,0.15,0.013467049226164818,0.005170491524040699,0.0011679282179102302
train,HCC_10136895_20170421.nii.gz,2,foreground,0.3,0.05333413928747177,0.017360098659992218,0.00421366048976779
train,HCC_10136895_20170421.nii.gz,3,foreground,-0.3,0.03132655844092369,0.016375437378883362,0.005189928691834211
train,HCC_10136895_20170421.nii.gz,3,foreground,-0.15,0.0073982421308755875,0.004013496916741133,0.001269552274607122
train,HCC_10136895_20170421.nii.gz,3,foreground,0.15,0.006485992111265659,0.0031576582696288824,0.0007799957529641688
train,HCC_10136895_20170421.nii.gz,3,foreground,0.3,0.02417372353374958,0.010882342234253883,0.002419457770884037
val,CYST_PA62.nii.gz,0,context,-0.3,0.026293938979506493,0.013910152018070221,0.0025556909386068583
val,CYST_PA62.nii.gz,0,context,-0.15,0.005851150956004858,0.0033534234389662743,0.000644296349491924
val,CYST_PA62.nii.gz,0,context,0.15,0.0046674832701683044,0.0023970953188836575,0.00041389637044630945
val,CYST_PA62.nii.gz,0,context,0.3,0.016690442338585854,0.007353066001087427,0.0012493164977058768
val,CYST_PA62.nii.gz,1,context,-0.3,0.1226888969540596,0.05037583038210869,0.010869265533983707
val,CYST_PA62.nii.gz,1,context,-0.15,0.031281836330890656,0.015671711415052414,0.003251698799431324
val,CYST_PA62.nii.gz,1,context,0.15,0.02918160706758499,0.01335886400192976,0.0033992002718150616
val,CYST_PA62.nii.gz,1,context,0.3,0.10764104872941971,0.04503153637051582,0.011720188893377781
val,CYST_PA62.nii.gz,2,foreground,-0.3,0.0306552741676569,0.029544003307819366,0.009336881339550018
val,CYST_PA62.nii.gz,2,foreground,-0.15,0.006367009598761797,0.008004982955753803,0.0020874212495982647
val,CYST_PA62.nii.gz,2,foreground,0.15,0.004586337599903345,0.008016866631805897,0.0018678292399272323
val,CYST_PA62.nii.gz,2,foreground,0.3,0.015824325382709503,0.029241597279906273,0.007971304468810558
val,CYST_PA62.nii.gz,3,context_fill,-0.3,0.04210442304611206,0.012257279828190804,0.0019596777856349945
val,CYST_PA62.nii.gz,3,context_fill,-0.15,0.009231391362845898,0.003114818362519145,0.00047233770601451397
val,CYST_PA62.nii.gz,3,context_fill,0.15,0.007447496987879276,0.002290213480591774,0.00033668382093310356
val,CYST_PA62.nii.gz,3,context_fill,0.3,0.027412815019488335,0.007251043803989887,0.0010816005524247885
val,HEM_PA29.nii.gz,0,context,-0.3,0.021506788209080696,0.01446364726871252,0.0022457463201135397
val,HEM_PA29.nii.gz,0,context,-0.15,0.005042508244514465,0.004090389236807823,0.0006023613968864083
val,HEM_PA29.nii.gz,0,context,0.15,0.004413051996380091,0.0037484869826585054,0.000581900414545089
