method,case,region,voxel_count,reliability_mean,aggregation
real_pairwise_joint_product,HEM_PA107.nii.gz,TN,27721714,0.2906494078776374,case_voxel_weighted
real_pairwise_joint_product,HEM_PA107.nii.gz,TP,384312,0.0013254221465098886,case_voxel_weighted
real_pairwise_world_stability,HEM_PA107.nii.gz,FN,187437,0.034890218530703336,case_voxel_weighted
real_pairwise_world_stability,HEM_PA107.nii.gz,FP,18089,0.02226406489051761,case_voxel_weighted
real_pairwise_world_stability,HEM_PA107.nii.gz,TN,27721714,0.5099304409148483,case_voxel_weighted
real_pairwise_world_stability,HEM_PA107.nii.gz,TP,384312,0.03300927146208713,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,FN,238346,0.03888073661473908,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,FP,11667,0.012905890317795684,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,TN,27445483,0.5144988853809964,case_voxel_weighted
confidence_rank,HEM_PA81.nii.gz,TP,616056,0.04170041750593283,case_voxel_weighted
real_blur_joint_product,HEM_PA81.nii.gz,FN,238346,0.0018262422488878084,case_voxel_weighted
real_blur_joint_product,HEM_PA81.nii.gz,FP,11667,0.0005726069328761621,case_voxel_weighted
real_blur_joint_product,HEM_PA81.nii.gz,TN,27445483,0.2946334981520293,case_voxel_weighted
real_blur_joint_product,HEM_PA81.nii.gz,TP,616056,0.004318530934328028,case_voxel_weighted
real_blur_world_stability,HEM_PA81.nii.gz,FN,238346,0.03343821400551671,case_voxel_weighted
real_blur_world_stability,HEM_PA81.nii.gz,FP,11667,0.025804542341605858,case_voxel_weighted
real_blur_world_stability,HEM_PA81.nii.gz,TN,27445483,0.5136692771073568,case_voxel_weighted
real_blur_world_stability,HEM_PA81.nii.gz,TP,616056,0.08051498957115806,case_voxel_weighted
real_gamma_joint_product,HEM_PA81.nii.gz,FN,238346,0.001646634581285962,case_voxel_weighted
real_gamma_joint_product,HEM_PA81.nii.gz,FP,11667,0.0008993102496066334,case_voxel_weighted
real_gamma_joint_product,HEM_PA81.nii.gz,TN,27445483,0.2946527420650646,case_voxel_weighted
real_gamma_joint_product,HEM_PA81.nii.gz,TP,616056,0.009218817634286933,case_voxel_weighted
real_gamma_world_stability,HEM_PA81.nii.gz,FN,238346,0.026794194728034782,case_voxel_weighted
real_gamma_world_stability,HEM_PA81.nii.gz,FP,11667,0.034617331868488276,case_voxel_weighted
real_gamma_world_stability,HEM_PA81.nii.gz,TN,27445483,0.5136985795652924,case_voxel_weighted
real_gamma_world_stability,HEM_PA81.nii.gz,TP,616056,0.08161330584161927,case_voxel_weighted
real_pairwise_joint_product,HEM_PA81.nii.gz,FN,238346,0.0014111328901933217,case_voxel_weighted
real_pairwise_joint_product,HEM_PA81.nii.gz,FP,11667,0.0003848478225661036,case_voxel_weighted
real_pairwise_joint_product,HEM_PA81.nii.gz,TN,27445483,0.29701508311789926,case_voxel_weighted
real_pairwise_joint_product,HEM_PA81.nii.gz,TP,616056,0.002980417221257091,case_voxel_weighted
real_pairwise_world_stability,HEM_PA81.nii.gz,FN,238346,0.025815368274844833,case_voxel_weighted
real_pairwise_world_stability,HEM_PA81.nii.gz,FP,11667,0.018735354915523098,case_voxel_weighted
real_pairwise_world_stability,HEM_PA81.nii.gz,TN,27445483,0.5143471392375063,case_voxel_weighted
real_pairwise_world_stability,HEM_PA81.nii.gz,TP,616056,0.053399103984149834,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,FN,196873,0.026399515158857443,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,FP,120004,0.0927948141309903,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,TN,27462634,0.5137022199422726,case_voxel_weighted
confidence_rank,HEM_PA89.nii.gz,TP,532041,0.05982404323937687,case_voxel_weighted
real_blur_joint_product,HEM_PA89.nii.gz,FN,196873,0.0014023327328570292,case_voxel_weighted
real_blur_joint_product,HEM_PA89.nii.gz,FP,120004,0.011521644028237528,case_voxel_weighted
real_blur_joint_product,HEM_PA89.nii.gz,TN,27462634,0.31333585630042354,case_voxel_weighted
real_blur_joint_product,HEM_PA89.nii.gz,TP,532041,0.002921556008979627,case_voxel_weighted
real_blur_world_stability,HEM_PA89.nii.gz,FN,196873,0.03529280609738253,case_voxel_weighted
real_blur_world_stability,HEM_PA89.nii.gz,FP,120004,0.04132404672561504,case_voxel_weighted
real_blur_world_stability,HEM_PA89.nii.gz,TN,27462634,0.5141717556646835,case_voxel_weighted
real_blur_world_stability,HEM_PA89.nii.gz,TP,532041,0.04389897244415138,case_voxel_weighted
real_gamma_joint_product,HEM_PA89.nii.gz,FN,196873,0.0009664680766795771,case_voxel_weighted
real_gamma_joint_product,HEM_PA89.nii.gz,FP,120004,0.0459989691078023,case_voxel_weighted
real_gamma_joint_product,HEM_PA89.nii.gz,TN,27462634,0.31454563066000407,case_voxel_weighted
real_gamma_joint_product,HEM_PA89.nii.gz,TP,532041,0.03004030689586349,case_voxel_weighted
real_gamma_world_stability,HEM_PA89.nii.gz,FN,196873,0.023925501078529664,case_voxel_weighted
real_gamma_world_stability,HEM_PA89.nii.gz,FP,120004,0.12170986517578883,case_voxel_weighted
real_gamma_world_stability,HEM_PA89.nii.gz,TN,27462634,0.5121993381232379,case_voxel_weighted
real_gamma_world_stability,HEM_PA89.nii.gz,TP,532041,0.13178497707529357,case_voxel_weighted
real_pairwise_joint_product,HEM_PA89.nii.gz,FN,196873,0.0011097293210950998,case_voxel_weighted
