case,patch_index,patch_kind,method,scope,voxel_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman
HEM_PA29.nii.gz,0,context,real_gamma_joint_product,overall,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,real_gamma_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_gamma_joint_product,background,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,real_blur_joint_product,overall,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,real_blur_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_blur_joint_product,background,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,real_pairwise_joint_product,overall,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,0,context,real_pairwise_joint_product,foreground,0,,,,,
HEM_PA29.nii.gz,0,context,real_pairwise_joint_product,background,7077888,1.0,0.25,,1.0,
HEM_PA29.nii.gz,1,context,confidence_rank,overall,7077888,0.9999830457899306,0.5000000596046448,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,confidence_rank,foreground,120,0.0,0.5000000596046448,,,
HEM_PA29.nii.gz,1,context,confidence_rank,background,7077768,1.0,0.5000000596046448,,1.0,
HEM_PA29.nii.gz,1,context,real_gamma_world_stability,overall,7077888,0.9999830457899306,0.4999999403953552,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_gamma_world_stability,foreground,120,0.0,0.4999999403953552,,,
HEM_PA29.nii.gz,1,context,real_gamma_world_stability,background,7077768,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,1,context,real_blur_world_stability,overall,7077888,0.9999830457899306,0.4999999403953552,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_blur_world_stability,foreground,120,0.0,0.4999999403953552,,,
HEM_PA29.nii.gz,1,context,real_blur_world_stability,background,7077768,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,1,context,real_pairwise_world_stability,overall,7077888,0.9999830457899306,0.4999999403953552,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_pairwise_world_stability,foreground,120,0.0,0.4999999403953552,,,
HEM_PA29.nii.gz,1,context,real_pairwise_world_stability,background,7077768,1.0,0.4999999403953552,,1.0,
HEM_PA29.nii.gz,1,context,real_gamma_joint_product,overall,7077888,0.9999830457899306,0.25,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_gamma_joint_product,foreground,120,0.0,0.25,,,
HEM_PA29.nii.gz,1,context,real_gamma_joint_product,background,7077768,1.0,0.25,,1.0,
HEM_PA29.nii.gz,1,context,real_blur_joint_product,overall,7077888,0.9999830457899306,0.25,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_blur_joint_product,foreground,120,0.0,0.25,,,
HEM_PA29.nii.gz,1,context,real_blur_joint_product,background,7077768,1.0,0.25,,1.0,
HEM_PA29.nii.gz,1,context,real_pairwise_joint_product,overall,7077888,0.9999830457899306,0.25,0.5,0.9999830457899306,
HEM_PA29.nii.gz,1,context,real_pairwise_joint_product,foreground,120,0.0,0.25,,,
HEM_PA29.nii.gz,1,context,real_pairwise_joint_product,background,7077768,1.0,0.25,,1.0,
HEM_PA29.nii.gz,2,foreground,confidence_rank,overall,7077888,0.9720881426775897,0.5000000713098909,0.965507103806892,0.9989768385729986,0.26562269024272156
HEM_PA29.nii.gz,2,foreground,confidence_rank,foreground,535431,0.642958663207771,0.043500616509302925,0.4626119278566311,0.5804309278749753,-0.06205514835769289
HEM_PA29.nii.gz,2,foreground,confidence_rank,background,6542457,0.9990239141044412,0.5373597298576405,0.9993172090148607,0.9999993325516422,0.05401326590333575
HEM_PA29.nii.gz,2,foreground,real_gamma_world_stability,overall,7077888,0.9720881426775897,0.4999999292836205,0.969475900818595,0.998933222770981,0.26788675182909666
HEM_PA29.nii.gz,2,foreground,real_gamma_world_stability,foreground,535431,0.642958663207771,0.060904348544864144,0.6838764816239367,0.7429235168186746,0.3052043824102274
HEM_PA29.nii.gz,2,foreground,real_gamma_world_stability,background,6542457,0.9990239141044412,0.5359352645698185,0.9974156371616925,0.9999951061273132,0.05380741610496354
HEM_PA29.nii.gz,2,foreground,real_blur_world_stability,overall,7077888,0.9720881426775897,0.4999999294749597,0.9746957261260685,0.9991426446978272,0.2708652339522444
HEM_PA29.nii.gz,2,foreground,real_blur_world_stability,foreground,535431,0.642958663207771,0.052011003598231936,0.6706121048642659,0.7500010233356011,0.2831748783825037
HEM_PA29.nii.gz,2,foreground,real_blur_world_stability,background,6542457,0.9990239141044412,0.5366630911237259,0.9994513041572058,0.9999986781522541,0.054027626777056956
HEM_PA29.nii.gz,2,foreground,real_pairwise_world_stability,overall,7077888,0.9720881426775897,0.49999992942036475,0.9804639344359027,0.9994025411254663,0.27415656157627316
HEM_PA29.nii.gz,2,foreground,real_pairwise_world_stability,foreground,535431,0.642958663207771,0.04532830679781633,0.713648245038115,0.7825462723330557,0.35460294910545587
HEM_PA29.nii.gz,2,foreground,real_pairwise_world_stability,background,6542457,0.9990239141044412,0.5372099992110281,0.9996072150684351,0.9999996160927322,0.054044478623463545
HEM_PA29.nii.gz,2,foreground,real_gamma_joint_product,overall,7077888,0.9720881426775897,0.32625269569867954,0.9712843328070933,0.9991341890631784,0.268918595624596
HEM_PA29.nii.gz,2,foreground,real_gamma_joint_product,foreground,535431,0.642958663207771,0.003923972277140959,0.6077239943654339,0.6745056336086916,0.1787943843670328
HEM_PA29.nii.gz,2,foreground,real_gamma_joint_product,background,6542457,0.9990239141044412,0.3526318970767424,0.999017264126448,0.9999990387096833,0.05398065840523691
HEM_PA29.nii.gz,2,foreground,real_blur_joint_product,overall,7077888,0.9720881426775897,0.309220581586726,0.9748157735676558,0.9992476491849684,0.27093365588383983
