method,case,scope,patch_count,valid_auroc_count,pseudo_accuracy,reliability_mean,auroc,auprc,spearman,aggregation
real_gamma_joint_product,HEM_PA107.nii.gz,overall,4,3,0.9927405604609737,0.2833321275809357,0.8223818686527279,0.9998197577867548,0.1917022715388747,case_patch_macro
real_gamma_world_stability,HEM_PA107.nii.gz,background,4,2,0.9993348303100962,0.5089300219740357,0.9885643477709596,0.999975361352496,0.06153817112188169,case_patch_macro
real_gamma_world_stability,HEM_PA107.nii.gz,foreground,4,2,0.46386600153835805,0.2208958208707588,0.6072591055838565,0.734831493708874,0.13308757913206098,case_patch_macro
real_gamma_world_stability,HEM_PA107.nii.gz,overall,4,3,0.9927405604609737,0.4999999350193278,0.8205562272296488,0.9997689157370666,0.19080642605858403,case_patch_macro
real_pairwise_joint_product,HEM_PA107.nii.gz,background,4,2,0.9993348303100962,0.2913154618349918,0.9971304036562945,0.9999979089924738,0.06260732757892087,case_patch_macro
real_pairwise_joint_product,HEM_PA107.nii.gz,foreground,4,2,0.46386600153835805,0.08426510226013371,0.5026659337647941,0.6654809013912253,-0.04210300048635096,case_patch_macro
real_pairwise_joint_product,HEM_PA107.nii.gz,overall,4,3,0.9927405604609737,0.2846316089119735,0.8214806201582885,0.9998088466545947,0.1910546027810483,case_patch_macro
real_pairwise_world_stability,HEM_PA107.nii.gz,background,4,2,0.9993348303100962,0.5098249323597691,0.994110209080195,0.9999891589985141,0.06220672524503974,case_patch_macro
real_pairwise_world_stability,HEM_PA107.nii.gz,foreground,4,2,0.46386600153835805,0.18909504075258243,0.473866467335512,0.6613497943354291,-0.08535559998494842,case_patch_macro
real_pairwise_world_stability,HEM_PA107.nii.gz,overall,4,3,0.9927405604609737,0.49999993481918636,0.8197471973170031,0.9997875933876459,0.19014067752782082,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.5148242344537275,0.998655950083282,0.9999989681680774,0.04428776876203933,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,foreground,4,2,0.5022295261746704,0.19394634937211497,0.6448586186810006,0.7700646924069788,0.15765117343989615,case_patch_macro
confidence_rank,HEM_PA81.nii.gz,overall,4,3,0.991169223078975,0.500000065193234,0.8202102629440318,0.999755905560535,0.20643477384781012,case_patch_macro
real_blur_joint_product,HEM_PA81.nii.gz,background,4,2,0.9995680640515562,0.29598895845897594,0.9975023777242527,0.9999980250168421,0.044128579675907983,case_patch_macro
