case_id,patch_index,patch_kind,action,layer,feature_shape,delta_norm,relative_delta,cosine_similarity,mse
HCC_10074592_20130816.nii.gz,0,context,blur,encoder_stage_5,1x320x12x12x12,601.444580078125,0.296418696641922,0.9556712508201599,0.6541803479194641
HCC_10074592_20130816.nii.gz,0,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,221.14495849609375,0.25966691970825195,0.9661647081375122,0.7075389623641968
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_stage_1,1x32x192x192x192,1559.4132080078125,0.12707382440567017,0.991916298866272,0.010736648924648762
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_stage_2,1x64x96x96x96,989.8885498046875,0.11626166105270386,0.9932465553283691,0.017305292189121246
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_stage_3,1x128x48x48x48,489.7989196777344,0.09672587364912033,0.9953216314315796,0.01694735512137413
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_stage_4,1x256x24x24x24,297.60772705078125,0.09285618364810944,0.9956819415092468,0.02502734214067459
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_stage_5,1x320x12x12x12,168.63246154785156,0.08345246315002441,0.9965216517448425,0.05142669752240181
HCC_10074592_20130816.nii.gz,1,context,gamma,encoder_bottleneck_deepest,1x320x6x6x6,59.901309967041016,0.07066995650529861,0.9975064992904663,0.05191213637590408
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_stage_1,1x32x192x192x192,4657.83984375,0.37955912947654724,0.9270802140235901,0.09578895568847656
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_stage_2,1x64x96x96x96,3419.871826171875,0.40166133642196655,0.9177320599555969,0.20655038952827454
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_stage_3,1x128x48x48x48,1635.4395751953125,0.32296788692474365,0.9474128484725952,0.1889449656009674
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_stage_4,1x256x24x24x24,900.7417602539062,0.2810392379760742,0.961124837398529,0.22925926744937897
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_stage_5,1x320x12x12x12,537.35888671875,0.2659269869327545,0.9643025994300842,0.522197961807251
HCC_10074592_20130816.nii.gz,1,context,blur,encoder_bottleneck_deepest,1x320x6x6x6,195.3574676513672,0.2304774820804596,0.9732698202133179,0.5521489977836609
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_stage_1,1x32x192x192x192,1790.5802001953125,0.14342235028743744,0.9896643161773682,0.014155782759189606
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_stage_2,1x64x96x96x96,1254.0589599609375,0.1470695286989212,0.9891902804374695,0.02777424082159996
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_stage_3,1x128x48x48x48,664.7728881835938,0.13031263649463654,0.9915242791175842,0.03121856600046158
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_stage_4,1x256x24x24x24,408.2777404785156,0.12760396301746368,0.9918409585952759,0.04710182547569275
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_stage_5,1x320x12x12x12,246.8924560546875,0.12161964923143387,0.992587685585022,0.11023560911417007
HCC_10074592_20130816.nii.gz,2,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,93.73766326904297,0.11063530296087265,0.9938720464706421,0.12712311744689941
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_stage_1,1x32x192x192x192,4964.17138671875,0.3976214826107025,0.9197126030921936,0.10880275070667267
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_stage_2,1x64x96x96x96,3540.038330078125,0.4151573181152344,0.911865234375,0.22132082283496857
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_stage_3,1x128x48x48x48,1727.1064453125,0.3385574221611023,0.9422316551208496,0.21071940660476685
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_stage_4,1x256x24x24x24,994.9821166992188,0.31097376346588135,0.9519858956336975,0.27974146604537964
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_stage_5,1x320x12x12x12,606.6220092773438,0.2988230288028717,0.9550496339797974,0.6654916405677795
HCC_10074592_20130816.nii.gz,2,foreground,blur,encoder_bottleneck_deepest,1x320x6x6x6,231.45909118652344,0.27318310737609863,0.9626197218894958,0.7750768661499023
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_stage_1,1x32x192x192x192,1822.3345947265625,0.1459384262561798,0.9893099069595337,0.014662317000329494
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_stage_2,1x64x96x96x96,1289.130859375,0.14978739619255066,0.9887818098068237,0.02934947796165943
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_stage_3,1x128x48x48x48,680.5698852539062,0.13290196657180786,0.9911940693855286,0.03271988779306412
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_stage_4,1x256x24x24x24,406.76837158203125,0.12771014869213104,0.9918312430381775,0.046754200011491776
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_stage_5,1x320x12x12x12,228.91676330566406,0.11192747950553894,0.9937266111373901,0.09476794302463531
HCC_10074592_20130816.nii.gz,3,foreground,gamma,encoder_bottleneck_deepest,1x320x6x6x6,82.5899658203125,0.09696836024522781,0.9952958822250366,0.09868493676185608
HCC_10074592_20130816.nii.gz,3,foreground,blur,encoder_stage_1,1x32x192x192x192,5518.2939453125,0.44192278385162354,0.9005194306373596,0.13444851338863373
