variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,delta_dice_vs_A,delta_iou_vs_A,delta_precision_vs_A,delta_recall_vs_A,delta_dice_vs_B,delta_iou_vs_B,delta_precision_vs_B,delta_recall_vs_B
B_source_hard,full_window_case_balanced,150,HEP_PA28.nii.gz,full_volume,606684,403894,6564891,301686,0.6323089526136195,0.6003336704341475,0.6678820304501469,0.4623185578511641,0.4623185578511641,0.08216368469614799,0.08287001328748972,-0.13954084103300424,0.23001970562656182,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HEM_PA107.nii.gz,full_volume,588371,182987,11595614,232244,0.73917208394866,0.7627729277456123,0.7169878688544568,0.5862592940229294,0.5862592940229294,0.11499504303433805,0.13258388702933832,-0.16125774289386907,0.2457352107870317,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HEM_PA81.nii.gz,full_volume,1310591,557918,13184891,231848,0.7684614365273232,0.7014100547548875,0.8496874106528686,0.6239848749522106,0.6239848749522106,0.03695635512256823,0.04731320628298363,-0.1564980065840803,0.21212054415117876,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HEM_PA89.nii.gz,full_volume,550458,280657,6804089,107769,0.7391962356530603,0.6623126763444289,0.8362738082758684,0.586289680088275,0.586289680088275,-0.014904902617248972,-0.018977056590001484,-0.11724204452900322,0.10601661736756474,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HEM_PA101.nii.gz,full_volume,892871,316820,13119572,126927,0.8009647053652205,0.7380984069485513,0.8755371161739874,0.6680076132447715,0.6680076132447715,0.002247214133112574,0.0031203070512261233,-0.12691175753543815,0.13367451201120228,0.0,0.0,0.0,0.0
B_source_hard,full_window_case_balanced,150,HCC_10020116_20180118.nii.gz,full_volume,247142,132846,2914059,10501,0.7751881574139274,0.6503942229754623,0.9592420519866637,0.63290387181201,0.63290387181201,-0.03222084287400595,-0.04411700163317811,-0.11062194013280124,0.09941663464561423,0.0,0.0,0.0,0.0
C_wp_hard_fusion,full_window_case_balanced,150,CYST_PA62.nii.gz,full_volume,677479,445397,11645673,535847,0.5799832377508451,0.6033426665099263,0.5583651879214655,0.4084340785049704,0.4084340785049704,0.1506063864807617,0.13505414543999628,-0.06895554477049615,0.24295531456508807,0.010410324377707725,0.010250264245506013,-0.004319323114365448,0.022388047400286548
C_wp_hard_fusion,full_window_case_balanced,150,HEM_PA29.nii.gz,full_volume,1043493,475645,14025862,368562,0.7119920114438046,0.6868980961571628,0.738988920403242,0.552785400222493,0.552785400222493,0.19069100133121597,0.20024508358084792,-0.11367901424197346,0.35250893201752054,0.05474474282171582,0.06330788640829105,-0.015672597930240784,0.1215717518085343
C_wp_hard_fusion,full_window_case_balanced,150,HEP_PA28.nii.gz,full_volume,619292,438466,6530319,289078,0.6299610198318726,0.5854760729769948,0.6817618371368496,0.4598124790249147,0.4598124790249147,0.07981575191440105,0.0803639344612403,-0.154398438490157,0.24389951231326445,-0.002347932781746942,-0.002506078826249425,-0.01485759745715276,0.013879806686702634
C_wp_hard_fusion,full_window_case_balanced,150,HEM_PA107.nii.gz,full_volume,681945,221844,11556757,138670,0.7909341430430455,0.7545400530433541,0.8310169811665641,0.6541696124260042,0.6541696124260042,0.16675710212872363,0.20049420543241314,-0.16949061759612727,0.359764323099139,0.05176205909438558,0.06791031840307482,-0.008232874702258197,0.11402911231210733
C_wp_hard_fusion,full_window_case_balanced,150,HEM_PA81.nii.gz,full_volume,1328136,613946,13128863,214303,0.7623062108106107,0.6838722566812317,0.8610622527049692,0.6159085692026238,0.6159085692026238,0.030801129405855665,0.0392369005333969,-0.17403580465773605,0.22349538620327936,-0.006155225716712565,-0.008076305749586732,-0.01753779807365574,0.011374842052100598
C_wp_hard_fusion,full_window_case_balanced,150,HEM_PA89.nii.gz,full_volume,554369,296668,6788078,103858,0.7346216433970465,0.651404110514584,0.8422155274700065,0.5805549301232072,0.5805549301232072,-0.019479494873262726,-0.024711806555069216,-0.12815061035884812,0.11195833656170284,-0.004574592256013754,-0.005734749965067731,-0.010908565829844896,0.0059417191941381065
C_wp_hard_fusion,full_window_case_balanced,150,HEM_PA101.nii.gz,full_volume,908610,387822,13048570,111188,0.7845593917702474,0.7008543448480137,0.8909705647589032,0.6454938122504653,0.6454938122504653,-0.01415809946186053,-0.019393493943080098,-0.1641558196359758,0.14910796059611808,-0.016405313594973103,-0.02251380099430622,-0.037244062100537656,0.015433448584915799
C_wp_hard_fusion,full_window_case_balanced,150,HCC_10020116_20180118.nii.gz,full_volume,248158,137889,2909016,9485,0.7710481753639175,0.642818102459027,0.9631854931048001,0.6274030925437133,0.6274030925437133,-0.03636082492401593,-0.04961778090147484,-0.11819806064923655,0.10336007576375061,-0.004139982050009983,-0.005500779268296729,-0.007576120516435303,0.0039434411181363815
D_real_action_hard_fusion,full_window_case_balanced,150,CYST_PA62.nii.gz,full_volume,686923,479548,11611522,526403,0.5772954583941403,0.5888899081074455,0.5661487514484977,0.40577325896670396,0.40577325896670396,0.14791860712405686,0.13239332590172986,-0.08340830317297698,0.2507388780921203,0.007722545021002891,0.007589444707239601,-0.018772081516846284,0.030171610927318793
D_real_action_hard_fusion,full_window_case_balanced,150,HEM_PA29.nii.gz,full_volume,1068146,520821,13980686,343909,0.7118548281218865,0.6722266730523667,0.7564478720729717,0.5526200335665609,0.5526200335665609,0.19055381800929783,0.20007971692491577,-0.12835043734676954,0.3699678836872502,0.054607559499797675,0.0631425197523589,-0.03034402103503686,0.13903070347826396
D_real_action_hard_fusion,full_window_case_balanced,150,HEP_PA28.nii.gz,full_volume,674298,494422,6474363,234072,0.6492718177835337,0.5769542747621329,0.7423164569503616,0.48068280971091937,0.48068280971091937,0.09912654986606217,0.10123426514724498,-0.16292023670501887,0.3044541321267765,0.016962865169914187,0.018364251859755265,-0.023379395672014636,0.0744344265002147
D_real_action_hard_fusion,full_window_case_balanced,150,HEM_PA107.nii.gz,full_volume,737762,276059,11502542,82853,0.8043474942707186,0.7277043975218505,0.899035479487945,0.6727268085137424,0.6727268085137424,0.1801704533563967,0.21905140152015135,-0.19632627311763096,0.42778282142052,0.06517541032205865,0.08646751449081302,-0.035068530223761885,0.1820476106334883
D_real_action_hard_fusion,full_window_case_balanced,150,HEM_PA81.nii.gz,full_volume,1333028,687726,13055083,209411,0.748221047807402,0.6596686187433007,0.8642338530081255,0.5977261772111032,0.5977261772111032,0.016715966402646942,0.021054508541876293,-0.19823944259566706,0.22666698650643569,-0.020240388719921287,-0.02625869774110734,-0.04174143601158675,0.014546442355256928
D_real_action_hard_fusion,full_window_case_balanced,150,HEM_PA89.nii.gz,full_volume,554599,322133,6762613,103628,0.7226238616145447,0.6325752909669089,0.8425649509971485,0.5657095352727569,0.5657095352727569,-0.0314772766557645,-0.03955720140551955,-0.14697942990652324,0.1123077600888448,-0.016572374038515525,-0.020580144815518064,-0.02973738537752002,0.006291142721280063
D_real_action_hard_fusion,full_window_case_balanced,150,HEM_PA101.nii.gz,full_volume,914892,424584,13011808,104906,0.7755707899972619,0.6830223161893159,0.8971306082184903,0.633414152211811,0.633414152211811,-0.023146701234845968,-0.03147315398173445,-0.18198784829467363,0.15526800405570518,-0.02539391536795854,-0.03459346103296057,-0.055076090759235474,0.021593492044502893
D_real_action_hard_fusion,full_window_case_balanced,150,HCC_10020116_20180118.nii.gz,full_volume,249110,144114,2902791,8533,0.7654712867605824,0.6335066018350863,0.9668805284832113,0.6200514241195548,0.6200514241195548,-0.041937713527350984,-0.0569694493256333,-0.12750956127317725,0.10705511114216182,-0.009716870653345033,-0.012852447692455193,-0.016887621140376008,0.007638476496547586
