variant,epoch,case_position,training_order_index,case,patch_count,mean_patch_loss,gradient_norm,update_delta_norm,optimizer_updates,learning_rate,weight_decay,initial_lora_state_digest
B_source_hard,1,15,15,HCC_10140276_20170721.nii.gz,15,0.011120574707941462,0.057812776416540146,0.033332355320453644,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,16,16,HEM_PA13.nii.gz,20,0.007352337776751483,0.031011730432510376,0.031467657536268234,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,17,17,HEM_PA99.nii.gz,80,0.01491978481855622,0.09029414504766464,0.02865968644618988,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,18,18,MET_PA25.nii.gz,20,0.008314187650933036,0.04470336064696312,0.02751765586435795,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,19,19,HEM_PA97.nii.gz,50,0.008504427568987012,0.011244959197938442,0.025379592552781105,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,20,20,HCC_PA0.nii.gz,25,0.012334472686052322,0.03004385717213154,0.024193087592720985,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,21,21,HCC_10147777_20171222.nii.gz,12,0.007388769377333422,0.03116976097226143,0.023233309388160706,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,22,22,HEM_PA34.nii.gz,20,0.004961543087847531,0.030393177643418312,0.021830402314662933,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,23,23,MET_PA13.nii.gz,20,0.004759979632217437,0.02198905125260353,0.020734285935759544,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,24,24,CYST_PA38.nii.gz,3,0.004609483138968547,0.04280093312263489,0.02009623497724533,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,25,25,MET_PA19.nii.gz,20,0.004572357202414423,0.020442917943000793,0.01897457055747509,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,26,26,CYST_PA20.nii.gz,12,0.009578139948037764,0.09320861101150513,0.019515059888362885,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,27,27,HEM_PA56.nii.gz,3,0.004815557971596718,0.029577765613794327,0.018594304099678993,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,28,28,HCC_10136895_20170421.nii.gz,15,0.009233287345462788,0.026880910620093346,0.01791978068649769,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,29,29,HCC_10076307_20130925.nii.gz,15,0.007869120330239336,0.0454593300819397,0.0178495142608881,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,1,30,30,CYST_PA19.nii.gz,20,0.0034104137856047602,0.010932546108961105,0.016571680083870888,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,1,31,HEM_PA34.nii.gz,20,0.003623653628164902,0.011374123394489288,0.015435581095516682,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,2,32,HCC_PA0.nii.gz,25,0.01204624041197011,0.0057120295241475105,0.014221998862922192,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,3,33,HEM_PA24.nii.gz,16,0.004101001532035298,0.016775989904999733,0.01352656539529562,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,4,34,CYST_PA37.nii.gz,16,0.004156912006111985,0.016088560223579407,0.012952891178429127,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,5,35,FNH_PA32.nii.gz,3,0.0044075725600123405,0.017547786235809326,0.012148363515734673,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,6,36,HCC_10142924_20170911.nii.gz,15,0.005561915948055685,0.01257728599011898,0.011541205458343029,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,7,37,HCC_10081574_20140213.nii.gz,12,0.00515055349872758,0.025936514139175415,0.011294424533843994,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,8,38,CYST_PA19.nii.gz,20,0.0031969735457096247,0.0068139019422233105,0.010481185279786587,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,9,39,MET_PA13.nii.gz,20,0.0034478223824407905,0.005996664520353079,0.009776969440281391,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,10,40,CYST_PA38.nii.gz,3,0.0031955332960933447,0.011314650997519493,0.009239804930984974,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,11,41,CYST_PA20.nii.gz,12,0.00690545147517696,0.027630355209112167,0.009386695921421051,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,12,42,HCC_10147777_20171222.nii.gz,12,0.004788852801236014,0.006292788311839104,0.008776741102337837,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,13,43,CYST_PA69.nii.gz,60,0.0081616192124784,0.006201137322932482,0.008134056814014912,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,14,44,HEM_PA99.nii.gz,80,0.01084593921113992,0.013098928146064281,0.007745782379060984,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,15,45,HEM_PA56.nii.gz,3,0.004138233683382471,0.012522033415734768,0.007280005142092705,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,16,46,HCC_10136895_20170421.nii.gz,15,0.00995950234355405,0.012323631905019283,0.0070984275080263615,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,17,47,ICC_PA18.nii.gz,20,0.008955022774508237,0.004656508099287748,0.006631249561905861,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,18,48,HEM_PA66.nii.gz,3,0.003365051389361421,0.0220294501632452,0.00650858273729682,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,19,49,FNH_PA10.nii.gz,20,0.006689039245247841,0.003184791887179017,0.006003882270306349,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,20,50,CYST_PA56.nii.gz,20,0.004876051624887623,0.0065659647807478905,0.005735420621931553,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,21,51,HCC_10074592_20130816.nii.gz,15,0.005564467121924584,0.007343260571360588,0.00548548623919487,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,22,52,CYST_PA74.nii.gz,20,0.00289338456641417,0.006824648939073086,0.005248100031167269,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,23,53,HEM_PA97.nii.gz,50,0.00948970579309389,0.0021436777897179127,0.0048276446759700775,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,24,54,MET_PA25.nii.gz,20,0.005511049220513087,0.060590676963329315,0.007178410422056913,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,25,55,CYST_PA54.nii.gz,2,0.004905459703877568,0.025140276178717613,0.006316445767879486,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,26,56,HCC_10140276_20170721.nii.gz,15,0.00694360559573397,0.005712473299354315,0.005836400203406811,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,27,57,HEM_PA13.nii.gz,20,0.0054848549763846675,0.0010094493627548218,0.005312381777912378,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,28,58,MET_PA19.nii.gz,20,0.00440832206096502,0.013279532082378864,0.005138564854860306,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,29,59,HCC_10076307_20130925.nii.gz,15,0.006561225210316479,0.012099663726985455,0.004874942358583212,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,2,30,60,CYST_PA53.nii.gz,2,0.005444876383990049,0.038696035742759705,0.005680693779140711,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,1,61,HEM_PA99.nii.gz,80,0.011225684112287127,0.006276060361415148,0.005324534140527248,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,2,62,ICC_PA18.nii.gz,20,0.009321798148785731,0.00347992149181664,0.004823711235076189,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,3,63,CYST_PA74.nii.gz,20,0.0028884095434477787,0.0038920955266803503,0.004476926289498806,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,4,64,HEM_PA34.nii.gz,20,0.0036548347503412514,0.0016857620794326067,0.00408140430226922,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,5,65,HCC_10140276_20170721.nii.gz,15,0.006975490863745411,0.004756146110594273,0.003753131488338113,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,6,66,HCC_PA0.nii.gz,25,0.014132567189048473,0.0010876775486394763,0.0034057428129017353,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,7,67,HEM_PA66.nii.gz,3,0.003102922773299118,0.013672062195837498,0.00352263986133039,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,8,68,HCC_10136895_20170421.nii.gz,15,0.01035198702593334,0.020879914984107018,0.00429511908441782,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,9,69,MET_PA19.nii.gz,20,0.004352660130826105,0.011712739244103432,0.004295367747545242,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,10,70,CYST_PA69.nii.gz,60,0.008401123141326631,0.002856350736692548,0.003994247410446405,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,11,71,CYST_PA37.nii.gz,16,0.003906555255442423,0.0059288847260177135,0.0037310009356588125,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,12,72,CYST_PA20.nii.gz,12,0.007168183277826756,0.01672525331377983,0.0036010064650326967,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,13,73,HCC_10074592_20130816.nii.gz,15,0.005607445921244411,0.005685567390173674,0.0033809172455221415,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,14,74,FNH_PA32.nii.gz,3,0.004105396646385391,0.011555020697414875,0.0033222362399101257,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,15,75,HCC_10142924_20170911.nii.gz,15,0.005780209969573965,0.005176236853003502,0.0030874544754624367,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,16,76,HCC_10147777_20171222.nii.gz,12,0.004811183627073963,0.002605225658044219,0.002868753159418702,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,17,77,CYST_PA53.nii.gz,2,0.0049970963736996055,0.03268291428685188,0.0046781818382442,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,18,78,MET_PA13.nii.gz,20,0.0035689286305569112,0.0024050376377999783,0.004260934889316559,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,19,79,HEM_PA56.nii.gz,3,0.0038616228848695755,0.007518301252275705,0.004206029232591391,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,20,80,HEM_PA97.nii.gz,50,0.009773528438527137,0.001138706924393773,0.0038221075665205717,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,21,81,MET_PA25.nii.gz,20,0.00427395159349544,0.02729780413210392,0.004557888954877853,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,22,82,HCC_10076307_20130925.nii.gz,15,0.006445888647188743,0.011956490576267242,0.004260559566318989,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,23,83,HEM_PA13.nii.gz,20,0.0053117629825464975,0.0007550747250206769,0.0038630482740700245,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,24,84,CYST_PA56.nii.gz,20,0.004865258775316761,0.005430076736956835,0.0036875379737466574,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,25,85,CYST_PA54.nii.gz,2,0.004383411258459091,0.02016472816467285,0.004602840170264244,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,26,86,CYST_PA38.nii.gz,3,0.002931125151614348,0.004976390860974789,0.004233828745782375,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,27,87,FNH_PA10.nii.gz,20,0.006083649041829631,0.0022857245057821274,0.0038242642767727375,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,28,88,HEM_PA24.nii.gz,16,0.003862890847813105,0.005321699660271406,0.0035646138712763786,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,29,89,HCC_10081574_20140213.nii.gz,12,0.0044497872004285455,0.010967793874442577,0.003403620095923543,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,3,30,90,CYST_PA19.nii.gz,20,0.003044061305990908,0.001730790943838656,0.0031085675582289696,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,1,91,ICC_PA18.nii.gz,20,0.008429050478262923,0.004350104834884405,0.0028731857892125845,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,2,92,HEM_PA34.nii.gz,20,0.003543296657153405,0.001583313336595893,0.002637080382555723,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,3,93,CYST_PA37.nii.gz,16,0.003761821334627824,0.006243602372705936,0.0026165747549384832,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,4,94,CYST_PA74.nii.gz,20,0.002755259070318061,0.0028221462853252888,0.002496863016858697,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,5,95,HCC_10142924_20170911.nii.gz,15,0.00560564393332849,0.0067264181561768055,0.0024665752425789833,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,6,96,FNH_PA32.nii.gz,3,0.003860719269141555,0.009872223250567913,0.002574013313278556,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,7,97,CYST_PA20.nii.gz,12,0.006897495070006698,0.015171409584581852,0.003149495692923665,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,8,98,FNH_PA10.nii.gz,20,0.005875447794096544,0.0022118203341960907,0.0028778717387467623,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,9,99,CYST_PA19.nii.gz,20,0.003006756419199519,0.0016241857083514333,0.002635168144479394,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,10,100,HCC_10081574_20140213.nii.gz,12,0.004392422696885963,0.010380467399954796,0.0026771866250783205,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,11,101,CYST_PA38.nii.gz,3,0.002848480944521725,0.005011976696550846,0.002590359654277563,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,12,102,HCC_PA0.nii.gz,25,0.012398275805980592,0.0013124466640874743,0.0023742506746202707,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,13,103,MET_PA25.nii.gz,20,0.0038663438142975794,0.01833399198949337,0.0033002332784235477,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,14,104,MET_PA19.nii.gz,20,0.004122539766831324,0.009311050176620483,0.003238816512748599,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,15,105,HCC_10136895_20170421.nii.gz,15,0.009994900769136924,0.00638807425275445,0.003201792947947979,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,16,106,HCC_10140276_20170721.nii.gz,15,0.006754004726341615,0.0029349797405302525,0.0029867738485336304,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,17,107,HEM_PA66.nii.gz,3,0.002768035279586911,0.008609306998550892,0.0029522874392569065,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,18,108,HEM_PA97.nii.gz,50,0.009097225351724773,0.000882204039953649,0.002698302734643221,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,19,109,HEM_PA56.nii.gz,3,0.003615605024000009,0.006053972523659468,0.002555968938395381,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,20,110,CYST_PA53.nii.gz,2,0.004385481006465852,0.026669247075915337,0.0036564262118190527,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,21,111,HCC_10147777_20171222.nii.gz,12,0.004621544930463036,0.002032460644841194,0.0033214869908988476,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,22,112,HEM_PA13.nii.gz,20,0.005164084394073143,0.000558862229809165,0.003006424754858017,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,23,113,HCC_10076307_20130925.nii.gz,15,0.006248210126068443,0.01024201512336731,0.0030973090324550867,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,24,114,CYST_PA56.nii.gz,20,0.004659437736700056,0.004475862253457308,0.003060074057430029,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,25,115,HEM_PA24.nii.gz,16,0.0037693130880143144,0.004058014135807753,0.002980659017339349,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,26,116,MET_PA13.nii.gz,20,0.0034513601422077045,0.0019517404725775123,0.0027629146352410316,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,27,117,CYST_PA69.nii.gz,60,0.0076602496696367445,0.001887385849840939,0.0024995726998895407,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,28,118,HCC_10074592_20130816.nii.gz,15,0.005323664653891076,0.00496516190469265,0.0023641723673790693,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,29,119,HEM_PA99.nii.gz,80,0.010030474985615,0.0035575830843299627,0.002371410373598337,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,4,30,120,CYST_PA54.nii.gz,2,0.003955451073125005,0.015987340360879898,0.0030013862997293472,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,1,121,HEM_PA99.nii.gz,80,0.00998520218909107,0.003340701339766383,0.0029707085341215134,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,2,122,CYST_PA19.nii.gz,20,0.002913335601624567,0.0013042555656284094,0.0027039824053645134,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,3,123,HEM_PA13.nii.gz,20,0.005067002224495809,0.0005128320190124214,0.002448729006573558,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,4,124,HCC_10076307_20130925.nii.gz,15,0.00614982262874643,0.009373767301440239,0.0027980294544249773,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,5,125,MET_PA25.nii.gz,20,0.003514416851430724,0.013124116696417332,0.003927139565348625,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,6,126,CYST_PA74.nii.gz,20,0.002667726160211714,0.0020379717461764812,0.003589802188798785,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,7,127,MET_PA19.nii.gz,20,0.004013949225191027,0.007409533951431513,0.0034000021405518055,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
B_source_hard,5,8,128,HCC_10081574_20140213.nii.gz,12,0.004249445434349279,0.008978107012808323,0.0033199528697878122,1,0.0001,0.0,4808af58ef09336b526689389f08a9c7bb071b05d72bafa30cf96f66918b7972
