case,action_type,action,prediction_mse,prediction_mae,mask_consistency,effective_voxel_weight,patch_voxel_observations,metric_scope,gt_used
CYST_PA56.nii.gz,imagined_wp,gamma:-0.30,2.3513477082035108e-06,5.2582730735768233e-05,0.9999484817958327,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,imagined_wp,gamma:+0.30,1.6275413392443104e-06,4.198239449241082e-05,0.9999588704530482,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,imagined_wp,gaussian_noise:+0.02,4.102539856482549e-06,6.892731314330141e-05,0.9999323602771847,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,imagined_wp,gaussian_noise:+0.05,8.631226206284453e-06,0.00010082162277568984,0.9999017515075013,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,imagined_wp,bias_field:+0.05,5.0042618660965415e-06,7.735186391386579e-05,0.9999241487286696,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,imagined_wp,bias_field:+0.15,1.887259912186237e-05,0.0001461276039191981,0.9998590336477376,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,gamma:-0.30,0.00010713346621496219,0.0003187192332290814,0.9996869271734048,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,gamma:+0.30,7.07756390133415e-05,0.0002730901984917223,0.9997275943001709,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,gaussian_noise:+0.02,3.973657002196648e-05,0.00018683712319562604,0.9998175939058787,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,gaussian_noise:+0.05,0.00021731145050172336,0.0005761145819346423,0.9994752536153562,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,bias_field:+0.05,5.374656831980844e-05,0.0002360480866076528,0.9997642920809952,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
CYST_PA56.nii.gz,real_mri,bias_field:+0.15,0.0003722689793127793,0.0008039192760105041,0.9992428544420279,43521024.0,141557760,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,gamma:-0.30,5.060503955554074e-06,0.0001036329588190948,0.9999001372958521,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,gamma:+0.30,2.6814759548263847e-06,7.351579754805583e-05,0.9999300118239017,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,gaussian_noise:+0.02,6.538261098839438e-06,0.00011427566383950608,0.9998912341933079,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,gaussian_noise:+0.05,1.4594394583055494e-05,0.0001700954571530579,0.9998391368735419,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,bias_field:+0.05,1.0288185708193547e-05,0.00014002015974974284,0.9998667515814333,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
HCC_10136895_20170421.nii.gz,imagined_wp,bias_field:+0.15,6.092303486704302e-05,0.0003316999379199498,0.9996901985309793,33962879.625,106168320,inverse-overlap-normalized patch predictions,False
