case,action,raw_support_voxels_before,raw_support_voxels_after,raw_support_identical,raw_outside_support_values_identical,preprocessed_shape_before,preprocessed_shape_after,preprocessed_shape_identical,padded_shape_identical,sliding_window_count_before,sliding_window_count_after,sliding_window_topology_identical,raw_action_generation
HEM_PA97.nii.gz,gamma:+0.30,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
HEM_PA97.nii.gz,gaussian_noise:+0.02,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
HEM_PA97.nii.gz,gaussian_noise:+0.05,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
HEM_PA97.nii.gz,bias_field:+0.05,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
HEM_PA97.nii.gz,bias_field:+0.15,11661276,11661276,True,True,"[1, 23, 506, 1002]","[1, 23, 506, 1002]",True,True,50,50,True,V0 stable case/action/seed
CYST_PA69.nii.gz,gamma:-0.30,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
CYST_PA69.nii.gz,gamma:+0.30,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
CYST_PA69.nii.gz,gaussian_noise:+0.02,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
CYST_PA69.nii.gz,gaussian_noise:+0.05,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
CYST_PA69.nii.gz,bias_field:+0.05,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
CYST_PA69.nii.gz,bias_field:+0.15,15057390,15057390,True,True,"[1, 23, 641, 1022]","[1, 23, 641, 1022]",True,True,60,60,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,gamma:-0.30,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,gamma:+0.30,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,gaussian_noise:+0.02,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,gaussian_noise:+0.05,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,bias_field:+0.05,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
HCC_10076307_20130925.nii.gz,bias_field:+0.15,4343500,4343500,True,True,"[1, 25, 340, 511]","[1, 25, 340, 511]",True,True,15,15,True,V0 stable case/action/seed
CYST_PA20.nii.gz,gamma:-0.30,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA20.nii.gz,gamma:+0.30,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA20.nii.gz,gaussian_noise:+0.02,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA20.nii.gz,gaussian_noise:+0.05,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA20.nii.gz,bias_field:+0.05,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA20.nii.gz,bias_field:+0.15,2950992,2950992,True,True,"[1, 23, 297, 432]","[1, 23, 297, 432]",True,True,12,12,True,V0 stable case/action/seed
CYST_PA56.nii.gz,gamma:-0.30,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA56.nii.gz,gamma:+0.30,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA56.nii.gz,gaussian_noise:+0.02,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA56.nii.gz,gaussian_noise:+0.05,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA56.nii.gz,bias_field:+0.05,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
CYST_PA56.nii.gz,bias_field:+0.15,5440128,5440128,True,True,"[1, 24, 457, 496]","[1, 24, 457, 496]",True,True,20,20,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,gamma:-0.30,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,gamma:+0.30,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,gaussian_noise:+0.02,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,gaussian_noise:+0.05,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,bias_field:+0.05,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
HCC_10136895_20170421.nii.gz,bias_field:+0.15,4422250,4422250,True,True,"[1, 25, 361, 490]","[1, 25, 361, 490]",True,True,15,15,True,V0 stable case/action/seed
MET_PA13.nii.gz,gamma:-0.30,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA13.nii.gz,gamma:+0.30,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA13.nii.gz,gaussian_noise:+0.02,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA13.nii.gz,gaussian_noise:+0.05,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA13.nii.gz,bias_field:+0.05,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
MET_PA13.nii.gz,bias_field:+0.15,5329728,5329728,True,True,"[1, 24, 456, 487]","[1, 24, 456, 487]",True,True,20,20,True,V0 stable case/action/seed
HCC_10074592_20130816.nii.gz,gamma:-0.30,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
HCC_10074592_20130816.nii.gz,gamma:+0.30,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
HCC_10074592_20130816.nii.gz,gaussian_noise:+0.02,4200000,4200000,True,True,"[1, 25, 336, 500]","[1, 25, 336, 500]",True,True,15,15,True,V0 stable case/action/seed
