variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou
A0_confidence_rank,forward,4,HEM_PA81.nii.gz,full_volume,1001810,169321,13573488,540629,0.7383704861123906,0.8554209563234173,0.6494973220983131,0.585251437117353
A0_confidence_rank,forward,4,HEM_PA89.nii.gz,full_volume,483898,138577,6946169,174329,0.7556761838429237,0.7773774047150488,0.7351536779864697,0.6072986581392664
A0_confidence_rank,forward,4,HEM_PA101.nii.gz,full_volume,763597,121689,13314703,256201,0.8016412924574454,0.8625427263053973,0.7487727961812045,0.6689493616659673
A0_confidence_rank,forward,4,HCC_10020116_20180118.nii.gz,full_volume,223106,71277,2975628,34537,0.8083169995616148,0.757876643692061,0.865950171361147,0.6782986744497143
A0_confidence_rank,forward,4,MET_PA13.nii.gz,full_volume,200862,29604,5072024,27238,0.8760440154743265,0.8715472130379318,0.8805874616396318,0.7794291124701208
A0_confidence_rank,forward,4,HCC_10074592_20130816.nii.gz,full_volume,255876,59108,3873757,11259,0.8791192178918743,0.8123460239250248,0.9578527710708069,0.7843110810040369
A0_confidence_rank,forward,4,CYST_PA19.nii.gz,full_volume,240514,29085,5683856,31689,0.887829871429046,0.8921175523648085,0.8835832081204101,0.7982860253312445
A0_confidence_rank,forward,4,HEM_PA13.nii.gz,full_volume,384251,52005,5757965,50609,0.8822039774266573,0.8807924704760508,0.8836200156372166,0.7892352089388229
A0_confidence_rank,forward,8,HEM_PA81.nii.gz,full_volume,1030046,181170,13561639,512393,0.7481300308135914,0.8504230459307011,0.6678033944940448,0.5976100148003405
A0_confidence_rank,forward,8,HEM_PA89.nii.gz,full_volume,488323,143018,6941728,169904,0.7573435445048264,0.7734694879629234,0.7418762828021336,0.6094552852123882
A0_confidence_rank,forward,8,HEM_PA101.nii.gz,full_volume,773125,127768,13308624,246673,0.8050488079550536,0.8581762762059423,0.7581158229374837,0.6737085274398161
A0_confidence_rank,forward,8,HCC_10020116_20180118.nii.gz,full_volume,225843,74042,2972863,31800,0.8101584135684665,0.753098687830335,0.8765733980740793,0.6808960308726654
A0_confidence_rank,forward,8,MET_PA13.nii.gz,full_volume,202011,30661,5070967,26089,0.8768371342008628,0.8682222184018704,0.8856247259973695,0.780685652010929
A0_confidence_rank,forward,8,HCC_10074592_20130816.nii.gz,full_volume,256478,61309,3871556,10657,0.8769647918867814,0.807075179286755,0.9601063132872892,0.780888066154352
A0_confidence_rank,forward,8,CYST_PA19.nii.gz,full_volume,241353,30128,5682813,30850,0.8878429381773236,0.8890235412422969,0.886665466581926,0.7983071534179426
A0_confidence_rank,forward,8,HEM_PA13.nii.gz,full_volume,386879,54441,5755529,47981,0.8831039284165354,0.8766405329466147,0.8896633399254933,0.7906769044003589
A0_confidence_rank,forward,12,HEM_PA81.nii.gz,full_volume,1070559,224600,13518209,471880,0.7545529705053359,0.8265849984442064,0.6940689388688953,0.6058491068957731
A0_confidence_rank,forward,12,HEM_PA89.nii.gz,full_volume,494664,150025,6934721,163563,0.7593183290403986,0.7672908952999042,0.7515097375221618,0.6120170441891886
A0_confidence_rank,forward,12,HEM_PA101.nii.gz,full_volume,786529,137561,13298831,233269,0.8092328364597138,0.8511389583265699,0.7712596023918462,0.6795894791503759
A0_confidence_rank,forward,12,HCC_10020116_20180118.nii.gz,full_volume,229554,78268,2968637,28089,0.8119123199490684,0.7457361722034163,0.8909770496384533,0.6833774422391645
