variant,reliability_source,epoch,step,case,patch_index,augmentation,pseudo_positive_voxels,pseudo_negative_voxels,positive_fraction,positive_weight_sum,positive_weight_mean,L_pos,negative_weight_sum,negative_weight_mean,L_neg,total_loss
A0_confidence_rank,confidence_rank,1,53,CYST_PA53.nii.gz,0,gamma:0.3,256227,6821661,0.036201052367687225,10988.005859375,0.042883869260549545,0.0021541311871260405,3527956.5,0.517169713973999,9.727753422339447e-06,0.0010819294257089496
A0_confidence_rank,confidence_rank,1,54,CYST_PA53.nii.gz,1,blur:1.5,395200,6682688,0.05583586543798447,20415.50390625,0.051658663898706436,0.02482229471206665,3518529.0,0.5265140533447266,4.221632480039261e-05,0.012432255782186985
A0_confidence_rank,confidence_rank,1,55,CYST_PA38.nii.gz,0,blur:1.5,48054,7029834,0.0067893136292696,471.3070068359375,0.009807862341403961,0.06423263251781464,3538473.25,0.5033509135246277,2.79132291325368e-06,0.03211771324276924
A0_confidence_rank,confidence_rank,1,56,CYST_PA38.nii.gz,1,gamma:0.3,227620,6850268,0.03215930983424187,6472.423828125,0.02843521535396576,0.0014783126534894109,3532472.0,0.5156691670417786,6.435529940063134e-06,0.0007423741044476628
A0_confidence_rank,confidence_rank,1,57,HEM_PA66.nii.gz,0,gamma:0.3,50026,7027862,0.007067927625030279,434.0385437011719,0.008676259778439999,0.00397142581641674,3538510.5,0.5034974217414856,2.380935029577813e-06,0.0019869033712893724
A0_confidence_rank,confidence_rank,1,58,HEM_PA66.nii.gz,1,blur:1.5,240303,6837585,0.033951230347156525,6582.3681640625,0.027391953393816948,0.011946005746722221,3532362.0,0.5166096091270447,1.6593068721704185e-05,0.005981299560517073
A0_confidence_rank,confidence_rank,1,59,HEM_PA56.nii.gz,0,blur:1.5,84305,6993583,0.011911039240658283,890.8877563476562,0.010567436926066875,0.025443758815526962,3538053.75,0.5059000253677368,5.3759404181619175e-06,0.012724567204713821
A0_confidence_rank,confidence_rank,1,60,HEM_PA56.nii.gz,1,gamma:0.3,386275,6691613,0.05457489565014839,17199.609375,0.0445268489420414,0.0023184004239737988,3521745.0,0.5262923836708069,9.30031637835782e-06,0.0011638504220172763
A0_confidence_rank,confidence_rank,2,61,HEM_PA99.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,62,HEM_PA99.nii.gz,1,blur:1.5,396016,6681872,0.055951155722141266,19013.6796875,0.04801240190863609,0.05643583834171295,3519931.0,0.5267881751060486,0.0003021491866093129,0.0283689945936203
A0_confidence_rank,confidence_rank,2,63,HCC_10140276_20170721.nii.gz,0,blur:1.5,31095,7046793,0.0043932595290243626,163.19268798828125,0.005248196888715029,0.18945014476776123,3538781.25,0.5021832585334778,4.8412261094199494e-05,0.09474927932024002
A0_confidence_rank,confidence_rank,2,64,HCC_10140276_20170721.nii.gz,1,gamma:0.3,182908,6894980,0.025842173025012016,6179.546875,0.03378500044345856,0.019816160202026367,3532765.0,0.5123677253723145,2.3964608772075735e-05,0.009920062497258186
A0_confidence_rank,confidence_rank,2,65,HEM_PA97.nii.gz,0,gamma:0.3,29498,7048390,0.004167627543210983,102.88675689697266,0.0034879231825470924,4.812928199768066,3538841.75,0.5020779967308044,3.5052786984124396e-07,2.4064643383026123
A0_confidence_rank,confidence_rank,2,66,HEM_PA97.nii.gz,1,blur:1.5,279722,6798166,0.03952054679393768,8251.091796875,0.029497472569346428,0.4006269872188568,3530693.5,0.5193597078323364,0.0004175984358880669,0.2005222886800766
A0_confidence_rank,confidence_rank,2,67,CYST_PA69.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,68,CYST_PA69.nii.gz,1,gamma:0.3,435849,6642039,0.061578962951898575,21243.61328125,0.04874076321721077,0.0197161715477705,3517701.0,0.5296115875244141,0.0002961524005513638,0.010006162337958813
A0_confidence_rank,confidence_rank,2,69,HCC_10076307_20130925.nii.gz,0,gamma:0.3,14673,7063215,0.0020730760879814625,24.969104766845703,0.001701704110018909,0.09628207981586456,3538920.0,0.5010352730751038,1.534379589429591e-05,0.048148710280656815
A0_confidence_rank,confidence_rank,2,70,HCC_10076307_20130925.nii.gz,1,blur:1.5,230690,6847198,0.03259305655956268,7284.2744140625,0.03157602995634079,0.12157044559717178,3531660.0,0.5157817602157593,0.00158736074808985,0.0615789033472538
A0_confidence_rank,confidence_rank,2,71,CYST_PA20.nii.gz,0,blur:1.5,7532,7070356,0.001064159208908677,8.132865905761719,0.0010797750437632203,0.3037135601043701,3538935.75,0.5005314946174622,0.0013960781507194042,0.15255482494831085
A0_confidence_rank,confidence_rank,2,72,CYST_PA20.nii.gz,1,gamma:0.3,230686,6847202,0.03259249031543732,10475.728515625,0.04541120305657387,0.002774881897494197,3528468.75,0.5153154134750366,2.582248635008e-05,0.0014003522228449583
A0_confidence_rank,confidence_rank,2,73,CYST_PA56.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,74,CYST_PA56.nii.gz,1,blur:1.5,259412,6818476,0.036651045083999634,12435.20703125,0.047936130315065384,0.04277264326810837,3526509.25,0.5171990394592285,0.0009926415514200926,0.021882642060518265
A0_confidence_rank,confidence_rank,2,75,HCC_10136895_20170421.nii.gz,0,blur:1.5,31005,7046883,0.0043805441819131374,105.49566650390625,0.003402537200599909,0.0736611858010292,3538839.25,0.502185046672821,0.009197546169161797,0.041429366916418076
A0_confidence_rank,confidence_rank,2,76,HCC_10136895_20170421.nii.gz,1,gamma:0.3,257228,6820660,0.03634247928857803,9439.25390625,0.03669605776667595,0.00925484299659729,3529505.25,0.5174726843833923,0.00012917598360218108,0.004692009650170803
A0_confidence_rank,confidence_rank,2,77,MET_PA13.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,78,MET_PA13.nii.gz,1,blur:1.5,213869,6864019,0.030216500163078308,5752.94091796875,0.026899367570877075,0.02832905389368534,3533191.5,0.5147408843040466,0.0013452568091452122,0.014837155118584633
A0_confidence_rank,confidence_rank,2,79,HCC_10074592_20130816.nii.gz,0,blur:1.5,3899,7073989,0.0005508705507963896,14.086027145385742,0.003612728090956807,0.013867947272956371,3538931.0,0.5002737641334534,0.006152197252959013,0.010010072030127048
A0_confidence_rank,confidence_rank,2,80,HCC_10074592_20130816.nii.gz,1,gamma:0.3,253900,6823988,0.035872284322977066,13222.333984375,0.05207693576812744,0.005892119836062193,3525722.25,0.5166659355163574,6.860874418634921e-05,0.002980364253744483
A0_confidence_rank,confidence_rank,2,81,CYST_PA19.nii.gz,0,gamma:0.3,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,82,CYST_PA19.nii.gz,1,blur:1.5,217747,6860141,0.030764402821660042,8968.357421875,0.04118705540895462,0.01632079854607582,3529976.0,0.5145632028579712,0.0007563916151411831,0.008538595400750637
A0_confidence_rank,confidence_rank,2,83,HEM_PA13.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,84,HEM_PA13.nii.gz,1,gamma:0.3,345692,6732196,0.048841122537851334,14172.2685546875,0.04099680855870247,0.0035775320138782263,3524772.25,0.5235694646835327,0.00014380173524841666,0.001860666903667152
A0_confidence_rank,confidence_rank,2,85,HCC_10142924_20170911.nii.gz,0,gamma:0.3,11022,7066866,0.0015572442207485437,16.235227584838867,0.001472983742132783,0.020080337300896645,3538928.25,0.5007776021957397,7.518314669141546e-05,0.010077760554850101
A0_confidence_rank,confidence_rank,2,86,HCC_10142924_20170911.nii.gz,1,blur:1.5,179460,6898428,0.02535502053797245,11688.35546875,0.06513070315122604,0.017810558900237083,3527256.0,0.5113130211830139,0.0007056269096210599,0.009258093312382698
A0_confidence_rank,confidence_rank,2,87,MET_PA25.nii.gz,0,blur:1.5,0,7077888,0.0,0.0,0.0,0.0,3538944.5,0.5000000596046448,0.0,0.0
A0_confidence_rank,confidence_rank,2,88,MET_PA25.nii.gz,1,gamma:0.3,195115,6882773,0.02756683900952339,6746.33984375,0.03457622602581978,0.0025271729100495577,3532198.25,0.5131940245628357,2.5819079382927157e-05,0.0012764959828928113
A0_confidence_rank,confidence_rank,2,89,HCC_10147777_20171222.nii.gz,0,gamma:0.3,48112,7029776,0.006797507870942354,337.4471435546875,0.007013783324509859,0.03245586156845093,3538607.0,0.5033740997314453,1.5904103065622621e-06,0.016228726133704185
