variant,order,step,case,scope,tp,fp,tn,fn,dice,precision,recall,foreground_iou,iou,foreground_dice,pseudo_label_method,delta_dice_vs_A_init,delta_iou_vs_A_init
B_source_hard_pseudo,full_window_case_balanced,150,HEM_PA81.nii.gz,full_volume,1310591,557918,13184891,231848,0.7684614365273232,0.7014100547548875,0.8496874106528686,0.6239848749522106,0.6239848749522106,0.7684614365273232,source_hard,0.03695635512256823,0.04731320628298363
B_source_hard_pseudo,full_window_case_balanced,150,HEM_PA89.nii.gz,full_volume,550458,280657,6804089,107769,0.7391962356530603,0.6623126763444289,0.8362738082758684,0.586289680088275,0.586289680088275,0.7391962356530603,source_hard,-0.014904902617248972,-0.018977056590001484
B_source_hard_pseudo,full_window_case_balanced,150,HEM_PA101.nii.gz,full_volume,892871,316820,13119572,126927,0.8009647053652205,0.7380984069485513,0.8755371161739874,0.6680076132447715,0.6680076132447715,0.8009647053652205,source_hard,0.002247214133112574,0.0031203070512261233
B_source_hard_pseudo,full_window_case_balanced,150,HCC_10020116_20180118.nii.gz,full_volume,247142,132846,2914059,10501,0.7751881574139274,0.6503942229754623,0.9592420519866637,0.63290387181201,0.63290387181201,0.7751881574139274,source_hard,-0.03222084287400595,-0.04411700163317811
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,CYST_PA62.nii.gz,full_volume,366042,211317,11879753,847284,0.4088290235301016,0.6339937543192364,0.30168479040257934,0.2569359481638558,0.2569359481638558,0.4088290235301016,uncertainty_weighted_soft,-0.020547827739981872,-0.016443984901118314
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,HEM_PA29.nii.gz,full_volume,530271,131391,14370116,881784,0.511420796569638,0.8014227808155826,0.37553140635456833,0.3435630401063594,0.3435630401063594,0.511420796569638,uncertainty_weighted_soft,-0.009880213542950655,-0.008977276535285683
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,HEP_PA28.nii.gz,full_volume,396103,154832,6813953,512267,0.542865268055684,0.7189650321725793,0.43605909486222577,0.3725566731439557,0.3725566731439557,0.542865268055684,uncertainty_weighted_soft,-0.007279999861787512,-0.006891871419718698
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,HEM_PA107.nii.gz,full_volume,400847,46671,11731930,419768,0.6321844790727786,0.895711457416238,0.4884714512895816,0.4621854843730903,0.4621854843730903,0.6321844790727786,uncertainty_weighted_soft,0.008007438158456726,0.008510077379499215
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,HEM_PA81.nii.gz,full_volume,959890,165101,13577708,582549,0.7197114825881091,0.8532423814946075,0.6223195860581845,0.5621478852618387,0.5621478852618387,0.7197114825881091,uncertainty_weighted_soft,-0.011793598816645878,-0.014523783407388247
C_uncertainty_weighted_soft_pseudo,full_window_case_balanced,150,HEM_PA89.nii.gz,full_volume,469444,130190,6954556,188783,0.7464163369402501,0.7828842260445539,0.7131946881546943,0.5954260245529966,0.5954260245529966,0.7464163369402501,uncertainty_weighted_soft,-0.00768480133005911,-0.009840712125279816
