case,method,scope,requested_coverage,eligible_voxels,retained_voxels,retained_correct,retained_error,retained_tp,retained_fp,retained_tn,retained_fn,total_tp,total_tn,total_fp,total_fn,actual_coverage,pseudo_label_accuracy,precision,recall,positive_dice,fn_rejection_rate,fn_retention_rate
__global__,world_only,predicted_negative,0.9,111324424,100191981,99985971,206010,0,0,99985971,206010,1571567,110395775,350217,928649,0.8999999946103472,0.9979438474222803,,,,0.7781616089609745,0.2218383910390255
__global__,world_only,predicted_negative,0.8,111324424,89059536,88912024,147512,0,0,88912024,147512,1571567,110395775,350217,928649,0.7999999712551847,0.9983436697896113,,,,0.8411541928112775,0.15884580718872254
__global__,world_only,predicted_negative,0.7,111324424,77927099,77818192,108907,0,0,77818192,108907,1571567,110395775,350217,928649,0.7000000197620605,0.9986024502208147,,,,0.882725335406596,0.11727466459340397
__global__,world_only,predicted_negative,0.6,111324424,66794657,66717018,77639,0,0,66717018,77639,1571567,110395775,350217,928649,0.6000000233551623,0.9988376465500826,,,,0.9163957534009082,0.0836042465990918
__global__,world_only,predicted_positive,1.0,1921784,1921784,1571567,350217,1571567,350217,0,0,1571567,110395775,350217,928649,1.0,0.8177646395224437,0.8177646395224437,1.0,0.7107946630483943,,
__global__,world_only,predicted_positive,0.95,1921784,1825695,1509235,316460,1509235,316460,0,0,1571567,110395775,350217,928649,0.9500001040699684,0.8266632706996514,0.8266632706996514,0.9603376757083854,0.7079662415074284,,
__global__,world_only,predicted_positive,0.9,1921784,1729605,1440632,288973,1440632,288973,0,0,1571567,110395775,350217,928649,0.899999687790095,0.8329254367326644,0.8329254367326644,0.9166850665609547,0.7029383105555997,,
__global__,world_only,predicted_positive,0.8,1921784,1537428,1295492,241936,1295492,241936,0,0,1571567,110395775,350217,928649,0.8000004162798733,0.8426358827860557,0.8426358827860557,0.8243313838990002,0.6888040602206154,,
__global__,world_only,predicted_positive,0.7,1921784,1345248,1140951,204297,1140951,204297,0,0,1571567,110395775,350217,928649,0.6999995837201267,0.8481343217012773,0.8481343217012773,0.7259957736450308,0.668229449744176,,
__global__,world_only,predicted_positive,0.6,1921784,1153071,981371,171700,981371,171700,0,0,1571567,110395775,350217,928649,0.600000312209905,0.8510932978108027,0.8510932978108027,0.624453809478056,0.6407716910793705,,
