case,global,patch_index,patch_kind,uncertainty_variant,ensemble_members,both_empty,tp_voxels,tn_voxels,fp_voxels,fn_voxels,original_dice,mean_probability_TP_sum,mean_probability_TP_count,mean_probability_TN_sum,mean_probability_TN_count,mean_probability_FP_sum,mean_probability_FP_count,mean_probability_FN_sum,mean_probability_FN_count,variance_TP_sum,variance_TP_count,variance_TN_sum,variance_TN_count,variance_FP_sum,variance_FP_count,variance_FN_sum,variance_FN_count,std_TP_sum,std_TP_count,std_TN_sum,std_TN_count,std_FP_sum,std_FP_count,std_FN_sum,std_FN_count,pairwise_abs_TP_sum,pairwise_abs_TP_count,pairwise_abs_TN_sum,pairwise_abs_TN_count,pairwise_abs_FP_sum,pairwise_abs_FP_count,pairwise_abs_FN_sum,pairwise_abs_FN_count
HEP_PA28.nii.gz,all,1,context,visual_only,original+gamma_0.30+blur_1.5,0,7631,7049734,1438,19085,0.42649155855178833,326.5603332519531,7631,34.65694808959961,7049734,216.80023193359375,1438,0.13943107426166534,19085,0.8824678063392639,7631,0.17959079146385193,7049734,0.49106040596961975,1438,0.001071339356712997,19085,22.28369903564453,7631,4.84267520904541,7049734,13.351901054382324,1438,0.0571841225028038,19085,34.58488845825195,7631,7.482793807983398,7049734,20.575790405273438,1438,0.08568350970745087,19085
HEP_PA28.nii.gz,all,1,context,language_only,original+language,0,7631,7049734,1438,19085,0.42649155855178833,308.5553894042969,7631,31.302228927612305,7049734,207.54295349121094,1438,0.1059039905667305,19085,0.37979263067245483,7631,0.05011265352368355,7049734,0.10494671761989594,1438,7.440561375915422e-07,19085,13.125598907470703,7631,1.6567878723144531,7049734,5.402497291564941,1438,0.0015760186361148953,19085,26.251197814941406,7631,3.3135757446289062,7049734,10.804994583129883,1438,0.0031520372722297907,19085
HEP_PA28.nii.gz,all,1,context,visual_language,original+gamma_0.30+blur_1.5+language,0,7631,7049734,1438,19085,0.42649155855178833,319.02740478515625,7631,33.44437789916992,7049734,213.43565368652344,1438,0.1307012140750885,19085,1.0386463403701782,7631,0.18573009967803955,7049734,0.4797629714012146,1438,0.0008788337581790984,19085,24.699541091918945,7631,4.8100199699401855,7049734,13.767536163330078,1438,0.051782239228487015,19085,34.19516372680664,7631,6.478717803955078,7049734,18.748615264892578,1438,0.06478793919086456,19085
HEP_PA28.nii.gz,all,2,foreground,visual_only,original+gamma_0.30+blur_1.5,0,122003,6846842,53250,55793,0.6911391615867615,76786.671875,122003,5181.2548828125,6846842,32992.828125,53250,1046.82861328125,55793,400.42596435546875,122003,523.476806640625,6846842,961.5186767578125,53250,16.20875358581543,55793,3026.63818359375,122003,2690.023193359375,6846842,4637.962890625,53250,206.80552673339844,55793,4559.31787109375,122003,3960.48486328125,6846842,7000.03125,53250,310.4717712402344,55793
HEP_PA28.nii.gz,all,2,foreground,language_only,original+language,0,122003,6846842,53250,55793,0.6911391615867615,76569.125,122003,4088.38916015625,6846842,31960.3515625,53250,995.1124267578125,55793,76.73089599609375,122003,35.76579284667969,6846842,73.51463317871094,53250,5.186565399169922,55793,1483.128173828125,122003,469.4523010253906,6846842,1085.00634765625,53250,113.50048828125,55793,2966.25634765625,122003,938.9046020507812,6846842,2170.0126953125,53250,227.0009765625,55793
HEP_PA28.nii.gz,all,2,foreground,visual_language,original+gamma_0.30+blur_1.5+language,0,122003,6846842,53250,55793,0.6911391615867615,76992.984375,122003,5009.34619140625,6846842,32980.74609375,53250,1030.3968505859375,55793,326.58612060546875,122003,425.9639892578125,6846842,768.9007568359375,53250,14.855586051940918,55793,2916.628662109375,122003,2442.484619140625,6846842,4174.865234375,53250,214.45045471191406,55793,4061.697021484375,122003,3140.968994140625,6846842,5620.59521484375,53250,293.6891784667969,55793
HEP_PA28.nii.gz,all,3,context_fill,visual_only,original+gamma_0.30+blur_1.5,0,127703,6741240,20604,188341,0.5500279068946838,58357.890625,127703,8675.49609375,6741240,7601.42431640625,20604,7518.8740234375,188341,474.647216796875,127703,610.543212890625,6741240,294.1627502441406,20604,209.33522033691406,188341,4075.73046875,127703,4072.55126953125,6741240,1754.294189453125,20604,1799.3626708984375,188341,6091.2529296875,127703,6036.96826171875,6741240,2672.4072265625,20604,2677.972412109375,188341
HEP_PA28.nii.gz,all,3,context_fill,language_only,original+language,0,127703,6741240,20604,188341,0.5500279068946838,56928.59375,127703,7177.28662109375,6741240,7217.0146484375,20604,6805.50732421875,188341,81.4031753540039,127703,52.471675872802734,6741240,32.75806427001953,20604,25.651138305664062,188341,1695.4227294921875,127703,924.5573120117188,6741240,510.60345458984375,20604,599.28662109375,188341,3390.845458984375,127703,1849.1146240234375,6741240,1021.2069091796875,20604,1198.5732421875,188341
HEP_PA28.nii.gz,all,3,context_fill,visual_language,original+gamma_0.30+blur_1.5+language,0,127703,6741240,20604,188341,0.5500279068946838,58200.1640625,127703,8503.80859375,6741240,7616.3798828125,20604,7423.8037109375,188341,396.98382568359375,127703,493.740966796875,6741240,238.06982421875,20604,170.4681396484375,188341,3907.24609375,127703,3734.08154296875,6741240,1605.177490234375,20604,1683.1875,188341,5333.34716796875,127703,4921.68603515625,6741240,2215.55126953125,20604,2260.556396484375,188341
HEM_PA107.nii.gz,all,0,context,visual_only,original+gamma_0.30+blur_1.5,1,0,7077888,0,0,0.0,0.0,0,5.110550773679279e-06,7077888,0.0,0,0.0,0,0.0,0,5.623597982353599e-17,7077888,0.0,0,0.0,0,0.0,0,1.6248953897957108e-06,7077888,0.0,0,0.0,0,0.0,0,2.51877895607322e-06,7077888,0.0,0,0.0,0
HEM_PA107.nii.gz,all,0,context,language_only,original+language,1,0,7077888,0,0,0.0,0.0,0,2.8685560664598597e-06,7077888,0.0,0,0.0,0,0.0,0,5.619860945782207e-18,7077888,0.0,0,0.0,0,0.0,0,3.5991672575619305e-07,7077888,0.0,0,0.0,0,0.0,0,7.198334515123861e-07,7077888,0.0,0,0.0,0
HEM_PA107.nii.gz,all,0,context,visual_language,original+gamma_0.30+blur_1.5+language,1,0,7077888,0,0,0.0,0.0,0,4.462422566575697e-06,7077888,0.0,0,0.0,0,0.0,0,7.706009292588085e-17,7077888,0.0,0,0.0,0,0.0,0,1.8231360172649147e-06,7077888,0.0,0,0.0,0,0.0,0,2.5594399630790576e-06,7077888,0.0,0,0.0,0
HEM_PA107.nii.gz,all,1,context,visual_only,original+gamma_0.30+blur_1.5,0,202757,6826232,10339,38560,0.8923908472061157,157979.28125,202757,7717.40966796875,6826232,5742.99462890625,10339,6028.728515625,38560,1107.4451904296875,202757,1247.8785400390625,6826232,158.2489013671875,10339,247.94049072265625,38560,6227.3515625,202757,4789.70703125,6826232,742.9313354492188,10339,1166.95654296875,38560,9282.5576171875,202757,7022.14404296875,6826232,1105.5501708984375,10339,1735.779052734375,38560
HEM_PA107.nii.gz,all,1,context,language_only,original+language,0,202757,6826232,10339,38560,0.8923908472061157,156279.5625,202757,5260.443359375,6826232,5426.42626953125,10339,5667.712890625,38560,120.42538452148438,202757,30.48214340209961,6826232,5.2103118896484375,10339,18.19742202758789,38560,2008.89208984375,202757,546.67822265625,6826232,108.39286041259766,10339,305.6059875488281,38560,4017.7841796875,202757,1093.3564453125,6826232,216.7857208251953,10339,611.2119750976562,38560
HEM_PA107.nii.gz,all,1,context,visual_language,original+gamma_0.30+blur_1.5+language,0,202757,6826232,10339,38560,0.8923908472061157,157813.03125,202757,7149.3193359375,6826232,5682.341796875,10339,5956.1943359375,38560,880.2351684570312,202757,1004.8468627929688,6826232,126.06253051757812,10339,196.5332489013672,38560,5708.76513671875,202757,4315.6748046875,6826232,670.4578857421875,10339,1065.2532958984375,38560,7760.1455078125,202757,5435.22509765625,6826232,873.6876220703125,10339,1418.050048828125,38560
HEM_PA107.nii.gz,all,2,foreground,visual_only,original+gamma_0.30+blur_1.5,0,181529,6740842,7759,147758,0.7001070380210876,107296.6796875,181529,3645.0380859375,6740842,3726.456298828125,7759,8608.083984375,147758,1189.3436279296875,181529,334.11279296875,6740842,56.59636688232422,7759,637.0592041015625,147758,7043.966796875,181529,1834.47705078125,6740842,413.7225341796875,7759,3400.866943359375,147758,10486.7626953125,181529,2655.340087890625,6740842,620.0889282226562,7759,4940.18359375,147758
HEM_PA107.nii.gz,all,2,foreground,language_only,original+language,0,181529,6740842,7759,147758,0.7001070380210876,105578.921875,181529,2836.48193359375,6740842,3618.86328125,7759,7050.609375,147758,167.23480224609375,181529,29.526105880737305,6740842,5.347092628479004,7759,51.274295806884766,147758,2642.9658203125,181529,393.5841979980469,6740842,100.70917510986328,7759,831.9944458007812,147758,5285.931640625,181529,787.1683959960938,6740842,201.41835021972656,7759,1663.9888916015625,147758
HEM_PA107.nii.gz,all,2,foreground,visual_language,original+gamma_0.30+blur_1.5+language,0,181529,6740842,7759,147758,0.7001070380210876,107264.390625,181529,3533.498046875,6740842,3723.62060546875,7759,8382.75,147758,949.64794921875,181529,270.9515686035156,6740842,45.955238342285156,7759,502.92437744140625,147758,6538.66455078125,181529,1676.107666015625,6740842,376.1689453125,7759,3062.89013671875,147758,8935.142578125,181529,2138.732666015625,6740842,503.1910705566406,7759,3977.12255859375,147758
HEM_PA107.nii.gz,all,3,context_fill,visual_only,original+gamma_0.30+blur_1.5,0,0,7076743,0,1145,0.0,0.0,0,2.725097658640152e-07,7076743,0.0,0,3.114396151453029e-15,1145,0.0,0,2.771635370951137e-20,7076743,0.0,0,1.4453590541594896e-31,1145,0.0,0,5.379798295734872e-08,7076743,0.0,0,4.291160813865063e-15,1145,0.0,0,8.126900752358779e-08,7076743,0.0,0,6.074140180363421e-15,1145
HEM_PA107.nii.gz,all,3,context_fill,language_only,original+language,0,0,7076743,0,1145,0.0,0.0,0,1.9561294095638004e-07,7076743,0.0,0,1.9960139496145475e-16,1145,0.0,0,7.063434191083818e-20,7076743,0.0,0,9.604028192479951e-35,1145,0.0,0,2.8567741949814263e-08,7076743,0.0,0,1.2773168170833183e-16,1145,0.0,0,5.7135483899628525e-08,7076743,0.0,0,2.554634692957821e-16,1145
HEM_PA107.nii.gz,all,3,context_fill,visual_language,original+gamma_0.30+blur_1.5+language,0,0,7076743,0,1145,0.0,0.0,0,2.462662394009385e-07,7076743,0.0,0,2.4176302371734307e-15,1145,0.0,0,9.656833465779945e-20,7076743,0.0,0,1.2010735780939208e-31,1145,0.0,0,6.922607553860871e-08,7076743,0.0,0,3.907363409200561e-15,1145,0.0,0,9.330734940249386e-08,7076743,0.0,0,4.595426906980069e-15,1145
