level,case,uncertainty_variant,score_metric,scope,num_voxels,positive_voxels,error_prevalence,pr_random_baseline,roc_auc,pr_auc,excluded_both_empty
case,HEM_PA107.nii.gz,visual_language,mean_probability,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.11290027247624083,0.20861747760352026,True
case,HEM_PA107.nii.gz,visual_language,mean_probability,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.3763481640272818,0.03328628731970397,True
case,HEM_PA107.nii.gz,visual_language,mean_probability,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9594788241921718,0.39985582523090163,True
case,HEM_PA107.nii.gz,visual_language,variance,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9651774135723193,0.19129121018639741,False
case,HEM_PA107.nii.gz,visual_language,variance,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.41320383381764,0.308671440329358,True
case,HEM_PA107.nii.gz,visual_language,variance,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6162075344490012,0.07001222344898947,True
case,HEM_PA107.nii.gz,visual_language,variance,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9636851571884231,0.35713070922566725,True
case,HEM_PA107.nii.gz,visual_language,std,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9651774134727952,0.19129120984291054,False
case,HEM_PA107.nii.gz,visual_language,std,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.41320383176052733,0.308671437023645,True
case,HEM_PA107.nii.gz,visual_language,std,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6162075349522502,0.07001222297081326,True
case,HEM_PA107.nii.gz,visual_language,std,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.96368515711297,0.35713070787659185,True
case,HEM_PA107.nii.gz,visual_language,pairwise_abs,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9648899524493001,0.19003282641922586,False
case,HEM_PA107.nii.gz,visual_language,pairwise_abs,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.40893115329455276,0.304954356379764,True
case,HEM_PA107.nii.gz,visual_language,pairwise_abs,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6136631906757787,0.06783925500680009,True
case,HEM_PA107.nii.gz,visual_language,pairwise_abs,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9634466057844518,0.359155089453844,True
case,HEM_PA107.nii.gz,visual_only,mean_probability,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9600941715593064,0.12886582894803042,False
case,HEM_PA107.nii.gz,visual_only,mean_probability,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.11379029140981806,0.20875747992394195,True
case,HEM_PA107.nii.gz,visual_only,mean_probability,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.3775218782358028,0.03335126748233237,True
case,HEM_PA107.nii.gz,visual_only,mean_probability,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9602253281968285,0.39822424897675285,True
case,HEM_PA107.nii.gz,visual_only,variance,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9652068781061444,0.1925044392354171,False
case,HEM_PA107.nii.gz,visual_only,variance,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.41857573297476225,0.3108981189233398,True
case,HEM_PA107.nii.gz,visual_only,variance,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6189400831294952,0.07030014192631111,True
case,HEM_PA107.nii.gz,visual_only,variance,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9636373396190077,0.35650009446641223,True
case,HEM_PA107.nii.gz,visual_only,std,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9652068781127215,0.19250443881945323,False
case,HEM_PA107.nii.gz,visual_only,std,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.41857573585471997,0.31089811760500363,True
case,HEM_PA107.nii.gz,visual_only,std,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6189401140433607,0.0703001348199997,True
case,HEM_PA107.nii.gz,visual_only,std,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9636373395497562,0.35650009243452596,True
case,HEM_PA107.nii.gz,visual_only,pairwise_abs,all_voxels,28311552,205561,0.007260675783510561,0.007260675783510561,0.9651189545183535,0.1919248357309225,False
case,HEM_PA107.nii.gz,visual_only,pairwise_abs,foreground_union,589847,205561,0.3484988480063474,0.3484988480063474,0.41629577756583647,0.3097847520505057,True
case,HEM_PA107.nii.gz,visual_only,pairwise_abs,predicted_positive,402384,18098,0.044976937452781425,0.044976937452781425,0.6187841085870444,0.07090605731314298,True
case,HEM_PA107.nii.gz,visual_only,pairwise_abs,predicted_negative,20831280,187463,0.008999110952375466,0.008999110952375466,0.9636503477503073,0.35698941694256614,True
