split,case,patch_index,patch_kind,gamma_strength,input_normalized_mse,state_normalized_mse,mask_logit_normalized_mse
train,CYST_PA69.nii.gz,1,context,0.3,0.009717399254441261,0.004128902219235897,0.0008158304262906313
train,CYST_PA69.nii.gz,2,foreground,-0.3,0.057469651103019714,0.046553835272789,0.009365953505039215
train,CYST_PA69.nii.gz,2,foreground,-0.15,0.013217444531619549,0.013877703808248043,0.0027592030819505453
train,CYST_PA69.nii.gz,2,foreground,0.15,0.010902385227382183,0.01327794510871172,0.003161650151014328
train,CYST_PA69.nii.gz,2,foreground,0.3,0.03909922018647194,0.041895877569913864,0.0116757582873106
train,CYST_PA69.nii.gz,3,foreground,-0.3,0.06538236141204834,0.055068228393793106,0.02841295674443245
train,CYST_PA69.nii.gz,3,foreground,-0.15,0.014523761346936226,0.014988801442086697,0.006854470353573561
train,CYST_PA69.nii.gz,3,foreground,0.15,0.011146153323352337,0.008471247740089893,0.0018312103347852826
train,CYST_PA69.nii.gz,3,foreground,0.3,0.038883257657289505,0.025889895856380463,0.004955172538757324
train,HCC_10076307_20130925.nii.gz,0,context,-0.3,0.027344830334186554,0.023525435477495193,0.010494525544345379
train,HCC_10076307_20130925.nii.gz,0,context,-0.15,0.006113715935498476,0.008931219577789307,0.0048373364843428135
train,HCC_10076307_20130925.nii.gz,0,context,0.15,0.004864932037889957,0.007094436325132847,0.004070700146257877
train,HCC_10076307_20130925.nii.gz,0,context,0.3,0.017405755817890167,0.01876116544008255,0.010390432551503181
train,HCC_10076307_20130925.nii.gz,1,context,-0.3,0.023695435374975204,0.02490072138607502,0.006494741886854172
train,HCC_10076307_20130925.nii.gz,1,context,-0.15,0.005603966768831015,0.004695096053183079,0.0010097883641719818
train,HCC_10076307_20130925.nii.gz,1,context,0.15,0.004926583264023066,0.0033131837844848633,0.0006554369465447962
train,HCC_10076307_20130925.nii.gz,1,context,0.3,0.018341967836022377,0.011111808009445667,0.0020656962879002094
train,HCC_10076307_20130925.nii.gz,2,foreground,-0.3,0.051412180066108704,0.02078947052359581,0.004237696994096041
train,HCC_10076307_20130925.nii.gz,2,foreground,-0.15,0.013295609503984451,0.006496192887425423,0.001333130756393075
train,HCC_10076307_20130925.nii.gz,2,foreground,0.15,0.013732466846704483,0.005711280275136232,0.0012802219716832042
train,HCC_10076307_20130925.nii.gz,2,foreground,0.3,0.054859086871147156,0.018835056573152542,0.00487273745238781
train,HCC_10076307_20130925.nii.gz,3,foreground,-0.3,0.03808579593896866,0.015362728387117386,0.002735863672569394
train,HCC_10076307_20130925.nii.gz,3,foreground,-0.15,0.00921495072543621,0.004153934307396412,0.0007289819768629968
train,HCC_10076307_20130925.nii.gz,3,foreground,0.15,0.008308175019919872,0.0034540588967502117,0.0006003805319778621
train,HCC_10076307_20130925.nii.gz,3,foreground,0.3,0.031088031828403473,0.011540422216057777,0.0020019588991999626
train,CYST_PA20.nii.gz,0,context,-0.3,0.014322003349661827,0.05829861760139465,0.036710552871227264
train,CYST_PA20.nii.gz,0,context,-0.15,0.003368533682078123,0.006052728742361069,0.0034976003225892782
train,CYST_PA20.nii.gz,0,context,0.15,0.002965532010421157,0.0018902490846812725,0.0005109735066071153
train,CYST_PA20.nii.gz,0,context,0.3,0.011098764836788177,0.0061929249204695225,0.0016033872961997986
train,CYST_PA20.nii.gz,1,context,-0.3,0.01843305677175522,0.012043450027704239,0.002610627794638276
