case,patch_index,patch_kind,action,comparison_group,state_shape,channels,spatial_resolution,normalized_mse_to_real_A,group_delta_norm,true_delta_norm,predicted_delta_norm,magnitude_ratio,delta_cosine_to_true,delta_cosine_valid,group_delta_rms,true_delta_rms
HCC_PA0.nii.gz,2,foreground,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.01590009592473507,0.0,291.31475830078125,0.0,0.0,,False,0.0,0.14599882066249847
HCC_PA0.nii.gz,2,foreground,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.015969811007380486,17.52799415588379,291.31475830078125,17.52799415588379,0.06016857593526453,-0.00635127117857337,True,0.008784541860222816,0.14599882066249847
HCC_PA0.nii.gz,2,foreground,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,291.31475830078125,291.31475830078125,291.31475830078125,1.0,0.9999998807907104,True,0.14599882066249847,0.14599882066249847
HCC_PA0.nii.gz,2,foreground,blur,identity_source,1x288x24x24x24,288,24x24x24,0.12572211027145386,0.0,809.2294311523438,0.0,0.0,,False,0.0,0.40556323528289795
HCC_PA0.nii.gz,2,foreground,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.11266658455133438,237.2152557373047,809.2294311523438,237.2152557373047,0.2931372075772255,0.3236941993236542,True,0.11888567358255386,0.40556323528289795
HCC_PA0.nii.gz,2,foreground,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,809.2294311523438,809.2294311523438,809.2294311523438,1.0,1.0000001192092896,True,0.40556323528289795,0.40556323528289795
HCC_PA0.nii.gz,3,context_fill,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.014927590265870094,0.0,307.8934326171875,0.0,0.0,,False,0.0,0.15430758893489838
HCC_PA0.nii.gz,3,context_fill,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.014966364949941635,14.457993507385254,307.8934326171875,14.457993507385254,0.04695778466103654,-0.004179181065410376,True,0.007245942950248718,0.15430758893489838
HCC_PA0.nii.gz,3,context_fill,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,307.8934326171875,307.8934326171875,307.8934326171875,1.0,0.9999999403953552,True,0.15430758893489838,0.15430758893489838
HCC_PA0.nii.gz,3,context_fill,blur,identity_source,1x288x24x24x24,288,24x24x24,0.11734365671873093,0.0,836.5848999023438,0.0,0.0,,False,0.0,0.4192729890346527
HCC_PA0.nii.gz,3,context_fill,blur,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.098188117146492,267.303466796875,836.5848999023438,267.303466796875,0.31951744147913486,0.41521137952804565,True,0.13396503031253815,0.4192729890346527
HCC_PA0.nii.gz,3,context_fill,blur,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,836.5848999023438,836.5848999023438,836.5848999023438,1.0,0.9999999403953552,True,0.4192729890346527,0.4192729890346527
CYST_PA37.nii.gz,0,context,gamma,identity_source,1x288x24x24x24,288,24x24x24,0.003960673231631517,0.0,309.3125,0.0,0.0,,False,0.0,0.15501879155635834
CYST_PA37.nii.gz,0,context,gamma,existing_WP_predicted,1x288x24x24x24,288,24x24x24,0.0039633093401789665,18.92206382751465,309.3125,18.92206382751465,0.061174585015201934,0.025147048756480217,True,0.009483210742473602,0.15501879155635834
CYST_PA37.nii.gz,0,context,gamma,real_A_state_oracle,1x288x24x24x24,288,24x24x24,0.0,309.3125,309.3125,309.3125,1.0,1.0,True,0.15501879155635834,0.15501879155635834
CYST_PA37.nii.gz,0,context,blur,identity_source,1x288x24x24x24,288,24x24x24,0.036920636892318726,0.0,919.241455078125,0.0,0.0,,False,0.0,0.4606981575489044
